https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume BRL,tradecount
1663545600000,2022-09-19 00:00:00,BTC/BRL,102612.00000000,102796.00000000,102456.00000000,102527.00000000,3.43830000,352576.84312000,217
1663542000000,2022-09-18 23:00:00,BTC/BRL,102758.00000000,103166.00000000,102381.00000000,102614.00000000,7.87006000,807747.58348000,718
1663538400000,2022-09-18 22:00:00,BTC/BRL,102658.00000000,102865.00000000,102150.00000000,102693.00000000,20.80284000,2132145.53858000,1349
1663534800000,2022-09-18 21:00:00,BTC/BRL,104087.00000000,104123.00000000,102505.00000000,102698.00000000,24.57233000,2530764.39694000,2000
1663531200000,2022-09-18 20:00:00,BTC/BRL,104134.00000000,104264.00000000,103836.00000000,104114.00000000,3.61687000,376622.19460000,531
1663527600000,2022-09-18 19:00:00,BTC/BRL,103608.00000000,104220.00000000,103405.00000000,104201.00000000,5.48630000,570676.84492000,617
1663524000000,2022-09-18 18:00:00,BTC/BRL,103586.00000000,104038.00000000,103266.00000000,103663.00000000,10.86608000,1126687.54242000,741
1663520400000,2022-09-18 17:00:00,BTC/BRL,104189.00000000,104244.00000000,103500.00000000,103638.00000000,10.07524000,1046886.64640000,843
1663516800000,2022-09-18 16:00:00,BTC/BRL,104486.00000000,104800.00000000,103747.00000000,104217.00000000,16.80118000,1749361.84928000,1046
1663513200000,2022-09-18 15:00:00,BTC/BRL,104483.00000000,104777.00000000,104348.00000000,104476.00000000,6.06857000,634610.26572000,576
1663509600000,2022-09-18 14:00:00,BTC/BRL,105230.00000000,105230.00000000,104160.00000000,104516.00000000,14.65865000,1535901.54694000,883
1663506000000,2022-09-18 13:00:00,BTC/BRL,105386.00000000,105487.00000000,105136.00000000,105251.00000000,4.67096000,491847.79756000,429
1663502400000,2022-09-18 12:00:00,BTC/BRL,105023.00000000,105557.00000000,104776.00000000,105343.00000000,4.67245000,491526.53141000,606
1663498800000,2022-09-18 11:00:00,BTC/BRL,104954.00000000,105143.00000000,104817.00000000,105083.00000000,4.54728000,477628.66183000,395
1663495200000,2022-09-18 10:00:00,BTC/BRL,104592.00000000,105600.00000000,104343.00000000,104959.00000000,12.06388000,1266806.20878000,737
1663491600000,2022-09-18 09:00:00,BTC/BRL,105583.00000000,105747.00000000,104568.00000000,104655.00000000,6.04095000,634375.10589000,420
1663488000000,2022-09-18 08:00:00,BTC/BRL,105563.00000000,105833.00000000,105469.00000000,105578.00000000,1.74649000,184676.04476000,154
1663484400000,2022-09-18 07:00:00,BTC/BRL,105583.00000000,105853.00000000,105493.00000000,105574.00000000,1.59431000,168448.86400000,193
1663480800000,2022-09-18 06:00:00,BTC/BRL,105780.00000000,105911.00000000,105548.00000000,105574.00000000,2.79052000,295038.54041000,185
1663477200000,2022-09-18 05:00:00,BTC/BRL,105506.00000000,105847.00000000,105449.00000000,105800.00000000,2.66453000,281635.81111000,332
1663473600000,2022-09-18 04:00:00,BTC/BRL,105414.00000000,105626.00000000,105210.00000000,105536.00000000,1.82373000,192415.99820000,270
1663470000000,2022-09-18 03:00:00,BTC/BRL,105581.00000000,105626.00000000,105187.00000000,105436.00000000,4.15418000,438016.90510000,388
1663466400000,2022-09-18 02:00:00,BTC/BRL,105452.00000000,105650.00000000,105361.00000000,105554.00000000,3.87550000,408965.19076000,468
1663462800000,2022-09-18 01:00:00,BTC/BRL,105282.00000000,105725.00000000,105200.00000000,105461.00000000,6.13334000,647258.45279000,748
1663459200000,2022-09-18 00:00:00,BTC/BRL,105902.00000000,105950.00000000,105200.00000000,105261.00000000,17.35402000,1829027.42792000,950
1663455600000,2022-09-17 23:00:00,BTC/BRL,105975.00000000,106131.00000000,105868.00000000,105900.00000000,5.59337000,592757.01330000,509
1663452000000,2022-09-17 22:00:00,BTC/BRL,105641.00000000,106006.00000000,105600.00000000,105976.00000000,11.95883000,1266051.15161000,756
1663448400000,2022-09-17 21:00:00,BTC/BRL,105683.00000000,105824.00000000,105150.00000000,105671.00000000,9.57485000,1010615.77588000,706
1663444800000,2022-09-17 20:00:00,BTC/BRL,105412.00000000,105809.00000000,105204.00000000,105719.00000000,6.24746000,659272.16034000,565
1663441200000,2022-09-17 19:00:00,BTC/BRL,105862.00000000,105897.00000000,105338.00000000,105412.00000000,6.50214000,685903.95745000,595
1663437600000,2022-09-17 18:00:00,BTC/BRL,105821.00000000,105935.00000000,105566.00000000,105819.00000000,4.20783000,445123.65050000,644
1663434000000,2022-09-17 17:00:00,BTC/BRL,106125.00000000,106336.00000000,105656.00000000,105865.00000000,10.39844000,1101798.22493000,809
1663430400000,2022-09-17 16:00:00,BTC/BRL,105282.00000000,106297.00000000,105123.00000000,106120.00000000,24.08471000,2550783.41111000,1577
1663426800000,2022-09-17 15:00:00,BTC/BRL,104986.00000000,105491.00000000,104709.00000000,105283.00000000,8.16417000,857340.13660000,863
1663423200000,2022-09-17 14:00:00,BTC/BRL,104813.00000000,105187.00000000,104750.00000000,104979.00000000,8.92979000,937024.94722000,796
1663419600000,2022-09-17 13:00:00,BTC/BRL,104630.00000000,104919.00000000,104599.00000000,104812.00000000,10.00283000,1048058.59667000,1010
1663416000000,2022-09-17 12:00:00,BTC/BRL,104539.00000000,104739.00000000,104262.00000000,104629.00000000,8.15612000,852243.39325000,671
1663412400000,2022-09-17 11:00:00,BTC/BRL,104631.00000000,104799.00000000,104490.00000000,104547.00000000,4.51421000,472350.78988000,638
1663408800000,2022-09-17 10:00:00,BTC/BRL,104855.00000000,104987.00000000,104548.00000000,104656.00000000,3.15622000,330628.00232000,480
1663405200000,2022-09-17 09:00:00,BTC/BRL,104832.00000000,105053.00000000,104758.00000000,104855.00000000,1.36548000,143231.96042000,267
1663401600000,2022-09-17 08:00:00,BTC/BRL,104657.00000000,104902.00000000,104644.00000000,104799.00000000,2.22776000,233392.07304000,301
1663398000000,2022-09-17 07:00:00,BTC/BRL,104649.00000000,104789.00000000,104473.00000000,104644.00000000,2.33863000,244794.76050000,197
1663394400000,2022-09-17 06:00:00,BTC/BRL,104737.00000000,104854.00000000,104408.00000000,104631.00000000,2.15275000,225247.51237000,256
1663390800000,2022-09-17 05:00:00,BTC/BRL,105200.00000000,105200.00000000,104628.00000000,104750.00000000,3.55345000,372396.01274000,297
1663387200000,2022-09-17 04:00:00,BTC/BRL,104921.00000000,105283.00000000,104790.00000000,105236.00000000,9.59833000,1008775.60041000,702
1663383600000,2022-09-17 03:00:00,BTC/BRL,105001.00000000,105139.00000000,104870.00000000,104891.00000000,1.72303000,180959.58854000,325
1663380000000,2022-09-17 02:00:00,BTC/BRL,105461.00000000,105517.00000000,104708.00000000,105027.00000000,12.76345000,1340425.62770000,845
1663376400000,2022-09-17 01:00:00,BTC/BRL,105245.00000000,105826.00000000,105245.00000000,105461.00000000,5.99003000,632402.47043000,705
1663372800000,2022-09-17 00:00:00,BTC/BRL,104343.00000000,105800.00000000,104186.00000000,105303.00000000,24.83738000,2606228.62894000,1539
1663369200000,2022-09-16 23:00:00,BTC/BRL,104182.00000000,104350.00000000,104003.00000000,104310.00000000,8.93129000,930770.56806000,716
1663365600000,2022-09-16 22:00:00,BTC/BRL,104220.00000000,104356.00000000,104035.00000000,104177.00000000,13.81985000,1440244.10741000,943
1663362000000,2022-09-16 21:00:00,BTC/BRL,104108.00000000,104394.00000000,103988.00000000,104220.00000000,14.97356000,1559842.47742000,934
1663358400000,2022-09-16 20:00:00,BTC/BRL,103651.00000000,104195.00000000,103243.00000000,104070.00000000,52.59254000,5462234.47991000,2199
1663354800000,2022-09-16 19:00:00,BTC/BRL,103364.00000000,103750.00000000,103253.00000000,103641.00000000,27.98819000,2896777.15949000,1408
1663351200000,2022-09-16 18:00:00,BTC/BRL,103090.00000000,103688.00000000,102817.00000000,103404.00000000,62.42687000,6449563.77937000,2831
1663347600000,2022-09-16 17:00:00,BTC/BRL,103592.00000000,103709.00000000,102665.00000000,103090.00000000,39.70284000,4094585.53116000,2072
1663344000000,2022-09-16 16:00:00,BTC/BRL,104198.00000000,104281.00000000,103501.00000000,103592.00000000,51.40762000,5341030.96309000,2484
1663340400000,2022-09-16 15:00:00,BTC/BRL,103913.00000000,104463.00000000,103850.00000000,104204.00000000,50.90168000,5301049.42387000,2375
1663336800000,2022-09-16 14:00:00,BTC/BRL,103907.00000000,104663.00000000,103750.00000000,103911.00000000,123.86180000,12907226.62224000,4838
1663333200000,2022-09-16 13:00:00,BTC/BRL,104269.00000000,104825.00000000,103473.00000000,103848.00000000,39.10519000,4076060.68325000,2067
1663329600000,2022-09-16 12:00:00,BTC/BRL,104631.00000000,104823.00000000,104173.00000000,104257.00000000,29.80557000,3114659.99647000,1825
1663326000000,2022-09-16 11:00:00,BTC/BRL,104286.00000000,104762.00000000,104124.00000000,104642.00000000,13.33394000,1391244.81378000,952
