https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EURT,Volume USDT
1663545600000.0,2022-09-19 00:00:00,EURT/USDT,0.9988,0.9988,0.9988,0.9988,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,EURT/USDT,0.9989,1.0007,0.9947,0.9988,526.8930716860233,526.2608
1663372800000.0,2022-09-17 00:00:00,EURT/USDT,1.001,1.0069,0.992,0.9989,3506.3922314546,3502.5352
1663286400000.0,2022-09-16 00:00:00,EURT/USDT,0.9981,1.001,0.99,1.001,13066.47202797203,13079.5385
1663200000000.0,2022-09-15 00:00:00,EURT/USDT,0.9969,1.0008,0.9894,0.9981,2215.917342951608,2211.7071
1663113600000.0,2022-09-14 00:00:00,EURT/USDT,0.9968,0.9991,0.99,0.9969,2841.730163506871,2832.9208
1663027200000.0,2022-09-13 00:00:00,EURT/USDT,1.0125,1.0157,0.9894,0.9968,7393.199939807383,7369.5417
1662940800000.0,2022-09-12 00:00:00,EURT/USDT,1.0073,1.0157,1.0013,1.0125,6971.646222222223,7058.7918
1662854400000.0,2022-09-11 00:00:00,EURT/USDT,1.0028,1.0102,0.9967,1.0073,2003.1791918991362,2017.8024
1662768000000.0,2022-09-10 00:00:00,EURT/USDT,0.9989,1.0115,0.9942,1.0028,14084.737834064621,14124.1751
1662681600000.0,2022-09-09 00:00:00,EURT/USDT,0.9968,1.0165,0.9947,0.9989,14870.230954049455,14853.8737
1662595200000.0,2022-09-08 00:00:00,EURT/USDT,0.9988,1.0102,0.9905,0.9968,16502.87981540931,16450.0706
1662508800000.0,2022-09-07 00:00:00,EURT/USDT,0.9864,1.0114,0.9864,0.9988,110802.55857028434,110669.5955
1662422400000.0,2022-09-06 00:00:00,EURT/USDT,0.9915,1.0051,0.9864,0.9864,14042.823296836981,13851.8409
1662336000000.0,2022-09-05 00:00:00,EURT/USDT,0.9886,1.0051,0.9264,0.9915,6744.9036812909735,6687.572
1662249600000.0,2022-09-04 00:00:00,EURT/USDT,0.9913,1.0008,0.9886,0.9886,2241.409569087599,2215.8575
1662163200000.0,2022-09-03 00:00:00,EURT/USDT,0.9896,0.9916,0.9896,0.9913,475.95137697972365,471.8106
1662076800000.0,2022-09-02 00:00:00,EURT/USDT,0.9887,1.0007,0.9887,0.9896,655.5751818916734,648.7572
1661990400000.0,2022-09-01 00:00:00,EURT/USDT,0.9994,0.9994,0.9887,0.9887,814.8402953373117,805.6326
1661904000000.0,2022-08-31 00:00:00,EURT/USDT,1.0004,1.0127,0.9972,0.9994,4651.77766659996,4648.9866
1661817600000.0,2022-08-30 00:00:00,EURT/USDT,0.9897,1.0006,0.9897,1.0004,1796.8792483006798,1797.598
1661731200000.0,2022-08-29 00:00:00,EURT/USDT,0.9907,1.0008,0.9897,0.9897,7159.14893402041,7085.4097
1661644800000.0,2022-08-28 00:00:00,EURT/USDT,0.9954,0.9954,0.9898,0.9907,238.4004239426668,236.1833
1661558400000.0,2022-08-27 00:00:00,EURT/USDT,0.9942,1.0108,0.9942,0.9954,1420.499095840868,1413.9648
1661472000000.0,2022-08-26 00:00:00,EURT/USDT,0.9997,1.0106,0.9897,0.9942,5422.6777308388655,5391.2262
1661385600000.0,2022-08-25 00:00:00,EURT/USDT,0.9947,1.0006,0.9947,0.9997,517.2790837251175,517.1239
1661299200000.0,2022-08-24 00:00:00,EURT/USDT,1.0008,1.0049,0.9896,0.9947,2825.3407057404243,2810.3664
1661212800000.0,2022-08-23 00:00:00,EURT/USDT,1.0046,1.0092,0.9896,1.0008,9155.010291766588,9162.3343
1661126400000.0,2022-08-22 00:00:00,EURT/USDT,1.0042,1.0108,0.9821,1.0046,4472.760203065897,4493.3349
1661040000000.0,2022-08-21 00:00:00,EURT/USDT,1.005,1.0054,0.9956,1.0042,547.6485759808803,549.9487
1660953600000.0,2022-08-20 00:00:00,EURT/USDT,1.0043,1.0062,0.9977,1.005,187.61592039800996,188.554
1660867200000.0,2022-08-19 00:00:00,EURT/USDT,1.01,1.01,0.9928,1.0043,5307.210295728368,5330.0313
1660780800000.0,2022-08-18 00:00:00,EURT/USDT,1.0153,1.0184,1.002,1.01,9152.15217821782,9243.6737
1660694400000.0,2022-08-17 00:00:00,EURT/USDT,1.0183,1.0191,1.0152,1.0153,927.5022160937652,941.693
1660608000000.0,2022-08-16 00:00:00,EURT/USDT,1.0163,1.0215,1.004,1.0183,2781.8673278994406,2832.7755
1660521600000.0,2022-08-15 00:00:00,EURT/USDT,1.0246,1.0257,1.0146,1.0163,3079.5251402145036,3129.7214
1660435200000.0,2022-08-14 00:00:00,EURT/USDT,1.0277,1.0278,1.0236,1.0246,424.47755221549875,434.9197
1660348800000.0,2022-08-13 00:00:00,EURT/USDT,1.0251,1.0278,1.0251,1.0277,73.97888488858615,76.0281
