https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BCHSV,Volume BTC
1663459200,2022-09-18 00:00:00,BCHSV/BTC,0.002602,0.002625,0.002599,0.002616,59.28333484,0.15471147250244
1663372800,2022-09-17 00:00:00,BCHSV/BTC,0.002623,0.002653,0.002593,0.0026,629.70652568,1.6506768697603
1663286400,2022-09-16 00:00:00,BCHSV/BTC,0.002643,0.00266,0.00261,0.002622,850.80208705,2.23954123796581
1663200000,2022-09-15 00:00:00,BCHSV/BTC,0.002594,0.002715,0.00254,0.002635,1066.32949182,2.80340660345182
1663113600,2022-09-14 00:00:00,BCHSV/BTC,0.002546,0.002606,0.002545,0.002589,767.68714838,1.97623405803448
1663027200,2022-09-13 00:00:00,BCHSV/BTC,0.002437,0.002584,0.002415,0.002549,822.35090371,2.04214876149496
1662940800,2022-09-12 00:00:00,BCHSV/BTC,0.002497,0.00252,0.002439,0.002441,817.58599603,2.02575286992276
1662854400,2022-09-11 00:00:00,BCHSV/BTC,0.002553,0.002567,0.00249,0.002502,553.65606238,1.39814031686045
1662768000,2022-09-10 00:00:00,BCHSV/BTC,0.002605,0.002611,0.002526,0.002549,500.40898341,1.28641256132895
1662681600,2022-09-09 00:00:00,BCHSV/BTC,0.00276,0.002761,0.002592,0.002593,605.96493451,1.60909827840937
1662595200,2022-09-08 00:00:00,BCHSV/BTC,0.00269,0.0028,0.002661,0.002754,817.63638379,2.24051802768015
1662508800,2022-09-07 00:00:00,BCHSV/BTC,0.002633,0.002686,0.002628,0.002685,1019.38801735,2.7133094092545
1662422400,2022-09-06 00:00:00,BCHSV/BTC,0.002719,0.002747,0.002609,0.002635,887.35934038,2.38358287441557
1662336000,2022-09-05 00:00:00,BCHSV/BTC,0.002666,0.002721,0.00262,0.002702,892.94104647,2.37945114796516
1662249600,2022-09-04 00:00:00,BCHSV/BTC,0.002647,0.002695,0.00264,0.002666,477.02054322,1.2711830153131
1662163200,2022-09-03 00:00:00,BCHSV/BTC,0.002691,0.002691,0.00263,0.002648,638.01528848,1.69238357644213
1662076800,2022-09-02 00:00:00,BCHSV/BTC,0.002605,0.00272,0.002602,0.002695,817.61786179,2.17440592149484
1661990400,2022-09-01 00:00:00,BCHSV/BTC,0.002592,0.002623,0.002551,0.002616,505.03695264,1.30618680214734
