https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume ZEC
1663545600000,2022-09-19 00:00:00,ZEC/EUR,53.176043,54.089953,52.912854,53.875065,3012.876755068434,55.92339898
1663459200000,2022-09-18 00:00:00,ZEC/EUR,58.677049,58.68798,52.052519,53.194561,63183.21075478441,1187.77577194
1663372800000,2022-09-17 00:00:00,ZEC/EUR,56.563766,58.798701,56.525425,58.656049,62150.88358161834,1059.5818273
1663286400000,2022-09-16 00:00:00,ZEC/EUR,58.382684,58.809573,55.790589,56.54749,61738.81795695301,1091.80474601
1663200000000,2022-09-15 00:00:00,ZEC/EUR,62.080393,62.153416,58.143556,58.407384,67468.45926325537,1155.13578323
1663113600000,2022-09-14 00:00:00,ZEC/EUR,58.859027,62.221457,58.859025,62.02712,54275.8492018346,875.03416573
1663027200000,2022-09-13 00:00:00,ZEC/EUR,62.14412,62.742907,58.723771,58.918951,59440.44416955048,1008.85102604
1662940800000,2022-09-12 00:00:00,ZEC/EUR,63.764641,65.777383,61.236626,62.196443,64884.06766224539,1043.21187085
1662854400000,2022-09-11 00:00:00,ZEC/EUR,65.031633,65.492538,62.823956,63.747927,69440.16631457684,1089.29293206
1662768000000,2022-09-10 00:00:00,ZEC/EUR,65.749197,65.761888,64.027854,64.945678,69885.35444133643,1076.05858609
1662681600000,2022-09-09 00:00:00,ZEC/EUR,61.109056,66.429722,60.797142,65.556336,69991.57274731851,1067.65534833
1662595200000,2022-09-08 00:00:00,ZEC/EUR,59.331593,61.423295,58.335104,61.033251,64356.80450707142,1054.4548005
1662508800000,2022-09-07 00:00:00,ZEC/EUR,58.763634,59.88771,57.965954,59.399041,62669.54670186072,1055.05990748
1662422400000,2022-09-06 00:00:00,ZEC/EUR,63.750507,66.344445,58.761627,58.765081,67374.01768279963,1146.49748688
1662336000000,2022-09-05 00:00:00,ZEC/EUR,64.643381,64.80994,62.507049,63.647206,65158.614953535216,1023.74666617
1662249600000,2022-09-04 00:00:00,ZEC/EUR,62.868166,64.543439,62.283176,64.543439,67089.53029135226,1039.44771662
1662163200000,2022-09-03 00:00:00,ZEC/EUR,60.691612,62.913362,60.203884,62.883284,67235.0748802837,1069.20425594
1662076800000,2022-09-02 00:00:00,ZEC/EUR,59.360708,61.604333,58.387625,60.63893,62753.15441507929,1034.86579356
1661990400000,2022-09-01 00:00:00,ZEC/EUR,59.628847,60.117075,57.289138,59.330792,66952.18854940444,1128.4560056
1661904000000,2022-08-31 00:00:00,ZEC/EUR,59.917816,61.68488,59.43318,59.686342,59821.51466086108,1002.26471679
1661817600000,2022-08-30 00:00:00,ZEC/EUR,63.755734,64.409437,59.707536,59.810809,65340.65136648316,1092.4555688
1661731200000,2022-08-29 00:00:00,ZEC/EUR,61.636727,63.967189,60.593427,63.767236,66484.4014490116,1042.61068253
1661644800000,2022-08-28 00:00:00,ZEC/EUR,61.676409,63.089501,61.167138,61.683438,64599.49998121874,1047.27463442
1661558400000,2022-08-27 00:00:00,ZEC/EUR,61.439002,62.423676,60.364691,61.716782,66735.46204262422,1081.31791516
1661472000000,2022-08-26 00:00:00,ZEC/EUR,67.896441,67.952926,60.719727,61.413801,66286.79600477143,1079.34690453
1661385600000,2022-08-25 00:00:00,ZEC/EUR,68.060502,69.546046,67.094541,68.0277,71254.78494066912,1047.43780755
1661299200000,2022-08-24 00:00:00,ZEC/EUR,66.693869,69.675344,65.241973,68.031722,72527.63337314143,1066.08551483
1661212800000,2022-08-23 00:00:00,ZEC/EUR,65.261679,66.878307,63.28434,66.553785,73656.78118171614,1106.72565327
1661126400000,2022-08-22 00:00:00,ZEC/EUR,64.551469,64.551469,63.498984,63.770498,3548.665160189074,55.64744312
1661040000000,2022-08-21 00:00:00,ZEC/EUR,62.663272,65.500986,62.663272,64.540564,70496.55562820903,1092.28291882
1660953600000,2022-08-20 00:00:00,ZEC/EUR,61.911194,64.387196,61.524592,62.738843,66069.44602529875,1053.08677792
1660867200000,2022-08-19 00:00:00,ZEC/EUR,69.625891,69.853261,61.279567,62.019468,71407.41247484188,1151.3709288
1660780800000,2022-08-18 00:00:00,ZEC/EUR,72.938018,75.384787,69.58078,69.61935,79093.86734244306,1136.09028729
1660694400000,2022-08-17 00:00:00,ZEC/EUR,74.675669,76.380931,70.762264,72.872964,77365.23714286517,1061.64526453
1660608000000,2022-08-16 00:00:00,ZEC/EUR,72.703306,75.547276,71.29331,74.766457,78255.31325667546,1046.66338886
1660521600000,2022-08-15 00:00:00,ZEC/EUR,71.945207,73.942873,70.396697,72.68146,77653.98721914887,1068.4153458
1660435200000,2022-08-14 00:00:00,ZEC/EUR,74.226588,75.663872,71.30988,72.025175,77504.13596255233,1076.07008192
1660348800000,2022-08-13 00:00:00,ZEC/EUR,75.304662,77.121546,73.6218,74.164272,78816.67129614572,1062.73100471
1660262400000,2022-08-12 00:00:00,ZEC/EUR,76.627664,78.458401,74.566765,75.308781,81621.88622343408,1083.82960313
1660176000000,2022-08-11 00:00:00,ZEC/EUR,76.183354,79.853995,75.580601,76.674396,79634.7581365014,1038.60952666
1660089600000,2022-08-10 00:00:00,ZEC/EUR,77.718496,77.829146,71.425472,76.192198,71245.26661491787,935.07299284
