https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FORESTPLUS,Volume BTC
1663372800,2022-09-17 00:00:00,FORESTPLUS/BTC,0.0000002579,0.0000002579,0.0000002565,0.0000002565,1644.3495,0.00042279094825
1663369200,2022-09-16 23:00:00,FORESTPLUS/BTC,0.0000002591,0.0000002591,0.0000002583,0.0000002583,1468.8799,0.00038006478555
1663365600,2022-09-16 22:00:00,FORESTPLUS/BTC,0.0000002598,0.0000002598,0.0000002598,0.0000002598,401.5358,0.00010431900084
1663362000,2022-09-16 21:00:00,FORESTPLUS/BTC,0.000000259,0.0000002595,0.0000002583,0.0000002595,1644.3496,0.0004257030083
1663358400,2022-09-16 20:00:00,FORESTPLUS/BTC,0.0000002601,0.0000002613,0.000000259,0.000000259,15142.7247,0.00393892943878
1663354800,2022-09-16 19:00:00,FORESTPLUS/BTC,0.0000002608,0.0000002616,0.0000002601,0.0000002601,1239.0751,0.00032306723487
1663351200,2022-09-16 18:00:00,FORESTPLUS/BTC,0.0000002619,0.0000002619,0.0000002608,0.0000002619,3042.7031,0.00079555854455
1663347600,2022-09-16 17:00:00,FORESTPLUS/BTC,0.0000002617,0.0000002656,0.0000002617,0.0000002619,11175.6759,0.00294902021003
1663344000,2022-09-16 16:00:00,FORESTPLUS/BTC,0.0000002609,0.0000002627,0.0000002609,0.0000002627,2447.421,0.00064076733003
1663340400,2022-09-16 15:00:00,FORESTPLUS/BTC,0.0000002603,0.0000002605,0.0000002597,0.0000002597,728.1872,0.00018945778316
1663336800,2022-09-16 14:00:00,FORESTPLUS/BTC,0.0000002616,0.0000002616,0.0000002594,0.0000002594,2848.9583,0.0007420542265
1663333200,2022-09-16 13:00:00,FORESTPLUS/BTC,0.0000002602,0.0000002624,0.0000002602,0.0000002624,22060.7914,0.0057838512731
1663329600,2022-09-16 12:00:00,FORESTPLUS/BTC,0.0000002585,0.00000026,0.0000002579,0.00000026,2848.9569,0.00073759681476
1663326000,2022-09-16 11:00:00,FORESTPLUS/BTC,0.0000002583,0.0000002583,0.0000002576,0.0000002576,803.0716,0.00020699170497
1663322400,2022-09-16 10:00:00,FORESTPLUS/BTC,0.0000002592,0.0000002592,0.0000002584,0.0000002584,156.6909,0.00004058371624
1663318800,2022-09-16 09:00:00,FORESTPLUS/BTC,0.0000002594,0.0000002594,0.0000002587,0.0000002587,1204.6074,0.00031203347018
1663315200,2022-09-16 08:00:00,FORESTPLUS/BTC,0.0000002595,0.0000002609,0.0000002595,0.0000002597,2052.1937,0.00053345557882
1663311600,2022-09-16 07:00:00,FORESTPLUS/BTC,0.0000002583,0.0000002583,0.0000002583,0.0000002583,0,0
1663308000,2022-09-16 06:00:00,FORESTPLUS/BTC,0.0000002596,0.0000002596,0.0000002583,0.0000002583,953.2948,0.00024659209524
1663304400,2022-09-16 05:00:00,FORESTPLUS/BTC,0.0000002587,0.0000002587,0.0000002587,0.0000002587,0,0
1663300800,2022-09-16 04:00:00,FORESTPLUS/BTC,0.0000002594,0.0000002594,0.0000002587,0.0000002587,1056.8417,0.00027384701731
1663297200,2022-09-16 03:00:00,FORESTPLUS/BTC,0.0000002577,0.0000002609,0.0000002577,0.0000002597,7138.5952,0.00185032549152
1663293600,2022-09-16 02:00:00,FORESTPLUS/BTC,0.0000002576,0.0000002576,0.0000002565,0.0000002573,2046.2111,0.00052610959808
1663290000,2022-09-16 01:00:00,FORESTPLUS/BTC,0.0000002579,0.0000002579,0.0000002579,0.0000002579,0,0
1663286400,2022-09-16 00:00:00,FORESTPLUS/BTC,0.0000002584,0.0000002595,0.0000002572,0.0000002579,4734.5674,0.00122289552331
1663282800,2022-09-15 23:00:00,FORESTPLUS/BTC,0.0000002601,0.0000002609,0.0000002587,0.0000002587,2810.7506,0.00072995193082
1663279200,2022-09-15 22:00:00,FORESTPLUS/BTC,0.000000258,0.0000002613,0.000000258,0.0000002613,3289.9924,0.00085450874484
1663275600,2022-09-15 21:00:00,FORESTPLUS/BTC,0.0000002565,0.000000258,0.0000002562,0.000000258,1606.1431,0.00041326061959
1663272000,2022-09-15 20:00:00,FORESTPLUS/BTC,0.0000002572,0.0000002584,0.0000002565,0.0000002565,3659.9138,0.00094209108076
1663268400,2022-09-15 19:00:00,FORESTPLUS/BTC,0.0000002577,0.0000002577,0.0000002565,0.0000002573,882.7457,0.00022678269257
1663264800,2022-09-15 18:00:00,FORESTPLUS/BTC,0.0000002566,0.0000002573,0.0000002566,0.0000002573,1334.5075,0.000342963904
1663261200,2022-09-15 17:00:00,FORESTPLUS/BTC,0.0000002572,0.0000002572,0.0000002533,0.0000002566,14683.3215,0.00375003759588
1663257600,2022-09-15 16:00:00,FORESTPLUS/BTC,0.0000002597,0.0000002605,0.0000002576,0.0000002576,4619.5548,0.00119687158459
1663254000,2022-09-15 15:00:00,FORESTPLUS/BTC,0.0000002597,0.0000002635,0.0000002596,0.0000002597,16709.6582,0.00436100057364
