https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUNA3L,Volume USDT
1652385600,2022-05-12 20:00:00,LUNA3L/USDT,0.000019,0.000019,0.000019,0.000019,7539.6612,0.1432535628
1652382000,2022-05-12 19:00:00,LUNA3L/USDT,0.000019,0.000019,0.000019,0.000019,0,0
1652378400,2022-05-12 18:00:00,LUNA3L/USDT,0.000019,0.000019,0.000019,0.000019,0,0
1652374800,2022-05-12 17:00:00,LUNA3L/USDT,0.000019,0.000019,0.000019,0.000019,0,0
1652371200,2022-05-12 16:00:00,LUNA3L/USDT,0.000019,0.000019,0.000019,0.000019,28482.0338,0.5411586422
1652367600,2022-05-12 15:00:00,LUNA3L/USDT,0.000019,0.000019,0.000019,0.000019,0,0
1652364000,2022-05-12 14:00:00,LUNA3L/USDT,0.000019,0.000019,0.000019,0.000019,0,0
1652360400,2022-05-12 13:00:00,LUNA3L/USDT,0.000019,0.000019,0.000019,0.000019,0,0
1652356800,2022-05-12 12:00:00,LUNA3L/USDT,0.000019,0.000019,0.000019,0.000019,11670.7328,0.2217439232
1652353200,2022-05-12 11:00:00,LUNA3L/USDT,0.000019,0.000019,0.000019,0.000019,133251.7435,2.5317831265
1652349600,2022-05-12 10:00:00,LUNA3L/USDT,0.000019,0.000019,0.000019,0.000019,13786.0544,0.2619350336
1652346000,2022-05-12 09:00:00,LUNA3L/USDT,0.00002468,0.00002468,0.00002097,0.00002097,10995.8887,0.24481550965
1652342400,2022-05-12 08:00:00,LUNA3L/USDT,0.00002468,0.00002468,0.00002468,0.00002468,1163.9559,0.028726431612
1652338800,2022-05-12 07:00:00,LUNA3L/USDT,0.0502,0.0502,0.0502,0.0502,0,0
1652335200,2022-05-12 06:00:00,LUNA3L/USDT,0.0502,0.0502,0.0502,0.0502,0,0
1652331600,2022-05-12 05:00:00,LUNA3L/USDT,0.0502,0.0502,0.0502,0.0502,0,0
1652328000,2022-05-12 04:00:00,LUNA3L/USDT,0.0502,0.0502,0.0502,0.0502,0,0
1652324400,2022-05-12 03:00:00,LUNA3L/USDT,0.0502,0.0502,0.0502,0.0502,0,0
1652320800,2022-05-12 02:00:00,LUNA3L/USDT,0.07,0.07,0.0502,0.0502,215675.7642,13575.868747637356
1652317200,2022-05-12 01:00:00,LUNA3L/USDT,0.088,0.09500001,0.07,0.07,210298.68353658,16926.753874254731
1652313600,2022-05-12 00:00:00,LUNA3L/USDT,0.07300001,0.12000011,0.071,0.088,927980.27158012,84361.3373265959622621
1652310000,2022-05-11 23:00:00,LUNA3L/USDT,0.07310001,0.07891884,0.0695,0.075,248122.5243596,18705.3039827523423672
1652306400,2022-05-11 22:00:00,LUNA3L/USDT,0.068,0.145,0.058,0.07310001,3569873.05948188,310505.4701607697795947
1652302800,2022-05-11 21:00:00,LUNA3L/USDT,0.056501,0.09238987,0.05200001,0.068,2627483.44097971,176139.5591176880627662
1652299200,2022-05-11 20:00:00,LUNA3L/USDT,0.1057228,0.1335567,0.05006709,0.05650111,1516992.9155998,132415.2143298816668601
1652295600,2022-05-11 19:00:00,LUNA3L/USDT,0.17889581,0.17889581,0.06540023,0.10000013,2019160.08432491,202268.4069577206587896
1652292000,2022-05-11 18:00:00,LUNA3L/USDT,0.27298186,0.28303002,0.14562437,0.1788958,656209.00708963,130811.5994615307306021
