https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BETA,Volume USDT
1663462800,2022-09-18 01:00:00,BETA/USDT,0.10072,0.10072,0.10072,0.10072,27.9042,2.810511024
1663459200,2022-09-18 00:00:00,BETA/USDT,0.10137,0.10138,0.10068,0.10068,817.1713,82.623794658
1663455600,2022-09-17 23:00:00,BETA/USDT,0.10108,0.10108,0.10107,0.10107,1860.9004,188.082278061
1663452000,2022-09-17 22:00:00,BETA/USDT,0.10118,0.1017,0.10075,0.1017,532.9542,53.711535232
1663448400,2022-09-17 21:00:00,BETA/USDT,0.10177,0.10194,0.10177,0.10194,1090.7306,111.011589927
1663444800,2022-09-17 20:00:00,BETA/USDT,0.10197,0.10197,0.10194,0.10194,394.6693,40.233277722
1663441200,2022-09-17 19:00:00,BETA/USDT,0.101,0.10177,0.101,0.10177,781.4437,79.37049733
1663437600,2022-09-17 18:00:00,BETA/USDT,0.10118,0.1016,0.10105,0.10106,5314.3802,537.872884552
1663434000,2022-09-17 17:00:00,BETA/USDT,0.10146,0.10146,0.10146,0.10146,1006.6515,102.13486119
1663430400,2022-09-17 16:00:00,BETA/USDT,0.10161,0.10227,0.10154,0.10227,3751.9061,381.112717351
1663426800,2022-09-17 15:00:00,BETA/USDT,0.10176,0.10283,0.10095,0.101,3442.1898,348.839469322
1663423200,2022-09-17 14:00:00,BETA/USDT,0.10064,0.10168,0.10064,0.10168,127.1354,12.912659164
1663419600,2022-09-17 13:00:00,BETA/USDT,0.10048,0.10085,0.10048,0.10085,2449.0047,246.943075425
1663416000,2022-09-17 12:00:00,BETA/USDT,0.10176,0.10176,0.09984,0.10048,2021.2058,201.925831898
1663412400,2022-09-17 11:00:00,BETA/USDT,0.10266,0.10269,0.10177,0.10177,1595.2971,163.562112786
1663408800,2022-09-17 10:00:00,BETA/USDT,0.09983,0.10292,0.09983,0.10292,6675.3875,677.920809736
1663405200,2022-09-17 09:00:00,BETA/USDT,0.09983,0.09983,0.09895,0.09895,5431.487,538.916497424
1663401600,2022-09-17 08:00:00,BETA/USDT,0.09975,0.09975,0.09923,0.09943,147.0274,14.610846098
1663398000,2022-09-17 07:00:00,BETA/USDT,0.1,0.1,0.09894,0.09908,343.6739,34.239775444
1663394400,2022-09-17 06:00:00,BETA/USDT,0.1,0.1,0.1,0.1,0,0
1663390800,2022-09-17 05:00:00,BETA/USDT,0.1001,0.10011,0.1,0.1,10464.0388,1047.416663605
1663387200,2022-09-17 04:00:00,BETA/USDT,0.09999,0.10065,0.09999,0.10065,219.4651,22.065360681
1663383600,2022-09-17 03:00:00,BETA/USDT,0.1,0.1,0.1,0.1,40.2829,4.02829
1663380000,2022-09-17 02:00:00,BETA/USDT,0.10059,0.10065,0.10036,0.10065,210.141,21.091907852
1663376400,2022-09-17 01:00:00,BETA/USDT,0.10068,0.10118,0.10068,0.10118,3044.8612,307.394252577
1663372800,2022-09-17 00:00:00,BETA/USDT,0.09859,0.10068,0.0984,0.10068,11945.2869,1188.478309658
1663369200,2022-09-16 23:00:00,BETA/USDT,0.09912,0.09912,0.09912,0.09912,201.5519,19.977824328
1663365600,2022-09-16 22:00:00,BETA/USDT,0.09906,0.09923,0.09906,0.09923,794.3343,78.820530614
1663362000,2022-09-16 21:00:00,BETA/USDT,0.09905,0.09905,0.0989,0.0989,328.7561,32.54436436
1663358400,2022-09-16 20:00:00,BETA/USDT,0.09882,0.09882,0.09827,0.09882,2004.6418,197.007544296
1663354800,2022-09-16 19:00:00,BETA/USDT,0.09775,0.09888,0.09775,0.09822,1068.177,105.309936755
1663351200,2022-09-16 18:00:00,BETA/USDT,0.09726,0.09775,0.09689,0.09724,2083.0676,202.739804607
1663347600,2022-09-16 17:00:00,BETA/USDT,0.09783,0.09783,0.09648,0.09726,1610.03,156.099916816
1663344000,2022-09-16 16:00:00,BETA/USDT,0.09882,0.09882,0.09751,0.09751,1011.7465,98.856868817
1663340400,2022-09-16 15:00:00,BETA/USDT,0.09884,0.09884,0.09884,0.09884,386.0633,38.158496572
1663336800,2022-09-16 14:00:00,BETA/USDT,0.09791,0.09954,0.09791,0.09882,3317.4581,329.263560414
1663333200,2022-09-16 13:00:00,BETA/USDT,0.09865,0.09865,0.09736,0.09736,2443.9302,238.570549368
1663329600,2022-09-16 12:00:00,BETA/USDT,0.09854,0.09903,0.09808,0.09808,1450.191,142.974110174
1663326000,2022-09-16 11:00:00,BETA/USDT,0.09852,0.09854,0.09852,0.09854,708.0961,69.775767772
1663322400,2022-09-16 10:00:00,BETA/USDT,0.09773,0.09854,0.09773,0.09854,371.1387,36.323496111
1663318800,2022-09-16 09:00:00,BETA/USDT,0.09792,0.09792,0.09792,0.09792,0,0
1663315200,2022-09-16 08:00:00,BETA/USDT,0.0992,0.0992,0.09792,0.09792,8957.7631,882.919810281
1663311600,2022-09-16 07:00:00,BETA/USDT,0.0999,0.10055,0.09924,0.09924,2304.602,230.024022818
