https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SUSHI3S,Volume USDT
1663462800,2022-09-18 01:00:00,SUSHI3S/USDT,1.1789,1.18,1.1703,1.1703,158.1039,186.51502193
1663459200,2022-09-18 00:00:00,SUSHI3S/USDT,1.1325,1.1789,1.1299,1.1789,8211.1031,9323.50356746
1663455600,2022-09-17 23:00:00,SUSHI3S/USDT,1.1603,1.1603,1.1091,1.1385,1512.8333,1711.18601232
1663452000,2022-09-17 22:00:00,SUSHI3S/USDT,1.1707,1.1762,1.1603,1.1603,411.2895,480.67588044
1663448400,2022-09-17 21:00:00,SUSHI3S/USDT,1.1829,1.1859,1.1543,1.1668,1120.3753,1320.59906276
1663444800,2022-09-17 20:00:00,SUSHI3S/USDT,1.1944,1.1965,1.1707,1.1707,340.8049,402.68260139
1663441200,2022-09-17 19:00:00,SUSHI3S/USDT,1.2092,1.2208,1.2016,1.2016,156.7228,190.06970732
1663437600,2022-09-17 18:00:00,SUSHI3S/USDT,1.21,1.2136,1.2016,1.2136,93.0539,112.58669813
1663434000,2022-09-17 17:00:00,SUSHI3S/USDT,1.2038,1.2198,1.1959,1.2098,2652.4281,3195.46787477
1663430400,2022-09-17 16:00:00,SUSHI3S/USDT,1.23,1.2302,1.1778,1.211,2932.1839,3548.40358127
1663426800,2022-09-17 15:00:00,SUSHI3S/USDT,1.2398,1.2487,1.2301,1.2301,1317.2033,1633.16219852
1663423200,2022-09-17 14:00:00,SUSHI3S/USDT,1.2884,1.2884,1.24,1.24,2696.4263,3377.71593558
1663419600,2022-09-17 13:00:00,SUSHI3S/USDT,1.2979,1.2979,1.2798,1.2798,424.0257,549.77271088
1663416000,2022-09-17 12:00:00,SUSHI3S/USDT,1.3068,1.3068,1.3005,1.3066,46.9165,61.30783618
1663412400,2022-09-17 11:00:00,SUSHI3S/USDT,1.3174,1.3174,1.3069,1.3069,20.0468,26.31083963
1663408800,2022-09-17 10:00:00,SUSHI3S/USDT,1.305,1.3278,1.305,1.3263,1225.9687,1601.31830432
1663405200,2022-09-17 09:00:00,SUSHI3S/USDT,1.3077,1.31,1.2963,1.305,589.7494,770.9151764
1663401600,2022-09-17 08:00:00,SUSHI3S/USDT,1.282,1.3092,1.2589,1.3092,1669.7746,2137.67429295
1663398000,2022-09-17 07:00:00,SUSHI3S/USDT,1.2856,1.2999,1.2834,1.2844,185.75,239.66854661
1663394400,2022-09-17 06:00:00,SUSHI3S/USDT,1.3,1.3,1.3,1.3,0,0
