https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MOVR,Volume USDT
1663459200,2022-09-18 00:00:00,MOVR/USDT,11.8013,11.8013,11.6398,11.6544,794.96270428,9300.61219370868
1663372800,2022-09-17 00:00:00,MOVR/USDT,11.2757,12.0079,11.2757,11.8009,21819.20190997,251995.5860560028
1663286400,2022-09-16 00:00:00,MOVR/USDT,11.3298,11.4195,10.9741,11.2902,20288.56641549,227387.216570100911
1663200000,2022-09-15 00:00:00,MOVR/USDT,12.0054,12.0164,11.2857,11.3264,28796.56537809,336634.009146591204
1663113600,2022-09-14 00:00:00,MOVR/USDT,11.8923,12.1645,11.6702,11.9946,25453.49094831,303458.454364161718
1663027200,2022-09-13 00:00:00,MOVR/USDT,12.6533,13.7347,11.7215,11.906,53132.04763637,654629.063791586857
1662940800,2022-09-12 00:00:00,MOVR/USDT,12.9269,13.2141,12.5405,12.6659,36108.05304238,464228.142178488493
1662854400,2022-09-11 00:00:00,MOVR/USDT,13.4151,13.6157,12.62,12.928,49840.76141814,652600.105907994716
1662768000,2022-09-10 00:00:00,MOVR/USDT,12.9037,14.1315,12.6213,13.4215,71324.03470872,934771.314514949192
1662681600,2022-09-09 00:00:00,MOVR/USDT,12.3368,13.1301,12.2352,12.9354,60213.69410609,765562.662856561445
1662595200,2022-09-08 00:00:00,MOVR/USDT,12.1312,12.4708,11.84,12.3307,38710.94720837,471054.195999644831
1662508800,2022-09-07 00:00:00,MOVR/USDT,12.0206,12.3415,11.6131,12.1276,40462.99703286,483949.651572163021
1662422400,2022-09-06 00:00:00,MOVR/USDT,12.706,13.2294,11.8613,12.0238,40932.28139075,512292.881032170115
1662336000,2022-09-05 00:00:00,MOVR/USDT,13.1429,13.3191,12.3256,12.6917,26952.73027724,343151.141901383462
1662249600,2022-09-04 00:00:00,MOVR/USDT,12.7099,13.3824,12.544,13.1488,34744.78843806,448573.475648765142
1662163200,2022-09-03 00:00:00,MOVR/USDT,12.8597,12.8597,12.3349,12.7106,25903.45546446,325400.065044321791
1662076800,2022-09-02 00:00:00,MOVR/USDT,12.1594,14.0589,11.9798,12.8462,75427.21857475,973616.439074496761
1661990400,2022-09-01 00:00:00,MOVR/USDT,12.2029,12.7187,11.8052,12.1622,36236.16658242,437918.709664585042
1661904000,2022-08-31 00:00:00,MOVR/USDT,12.2533,12.6709,12.065,12.2023,28149.72244306,348317.440503733179
1661817600,2022-08-30 00:00:00,MOVR/USDT,12.6408,12.8405,12.0196,12.2511,44426.97162378,555650.013274840371
1661731200,2022-08-29 00:00:00,MOVR/USDT,12.0561,12.9423,12,12.6667,35116.12173609,434429.727039343647
1661644800,2022-08-28 00:00:00,MOVR/USDT,12.5581,12.9856,12.0196,12.0386,24404.87097623,306050.92097454356
1661558400,2022-08-27 00:00:00,MOVR/USDT,12.2346,13.1655,11.9312,12.5501,33601.17073264,414664.151732845432
1661472000,2022-08-26 00:00:00,MOVR/USDT,13.5199,13.5208,12.0826,12.2352,41933.51328938,539253.632407556162
1661385600,2022-08-25 00:00:00,MOVR/USDT,13.8158,14.2678,13.4021,13.5199,23739.95545288,327714.205006726931
1661299200,2022-08-24 00:00:00,MOVR/USDT,13.8257,14.1999,13.36,13.8282,25255.59949468,347874.462629575666
1661212800,2022-08-23 00:00:00,MOVR/USDT,13.6502,14.9576,13.1063,13.8251,38768.08894733,528938.159903907614
1661126400,2022-08-22 00:00:00,MOVR/USDT,14.1854,14.1854,13.2077,13.6502,44717.57094531,605482.410304800907
1661040000,2022-08-21 00:00:00,MOVR/USDT,12.9066,15.8,12.8572,14.1707,82809.00016743,1186779.394209992908
1660953600,2022-08-20 00:00:00,MOVR/USDT,13.0299,13.7119,12.5458,12.9066,31992.56072708,419544.868009306571
1660867200,2022-08-19 00:00:00,MOVR/USDT,14.4346,14.478,12.7261,13.047,59593.2780371,797629.929743046442
1660780800,2022-08-18 00:00:00,MOVR/USDT,14.8546,15.5747,14.4326,14.4621,38121.2974126,571009.015783725436
1660694400,2022-08-17 00:00:00,MOVR/USDT,15.0651,15.8743,14.5643,14.8614,38739.80263917,585266.437051003971
