https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FTT,Volume EUR
1663545600,2022-09-19 00:00:00,FTT/EUR,23.92094,23.92094,23.92094,23.92094,0.00000000,0.0
1663459200,2022-09-18 00:00:00,FTT/EUR,24.41915,24.41915,23.92094,23.92094,18.60983361,445.1647131947934
1663372800,2022-09-17 00:00:00,FTT/EUR,23.97837,23.97837,23.97837,23.97837,0.00000000,0.0
1663286400,2022-09-16 00:00:00,FTT/EUR,24.17683,24.17683,23.97837,23.97837,49.50187347,1186.9742377568439
1663200000,2022-09-15 00:00:00,FTT/EUR,25.05360,25.06108,24.00000,24.27020,207.04870016,5025.113362623232
1663113600,2022-09-14 00:00:00,FTT/EUR,25.82534,25.89232,25.00000,25.40935,45.67142046,1160.481107465301
1663027200,2022-09-13 00:00:00,FTT/EUR,28.20494,28.54123,26.10207,26.19803,80.15329900,2099.85853180097
1662940800,2022-09-12 00:00:00,FTT/EUR,27.71722,27.97673,27.49798,27.97673,23.26705562,650.9361329757227
1662854400,2022-09-11 00:00:00,FTT/EUR,27.47164,27.50401,27.17218,27.17218,60.92870974,1655.5658682230332
1662768000,2022-09-10 00:00:00,FTT/EUR,26.98477,27.21323,26.98477,27.21323,20.34000282,553.5171749413086
1662681600,2022-09-09 00:00:00,FTT/EUR,26.63435,27.43708,26.63435,27.42911,153.34836776,4206.209247609494
1662595200,2022-09-08 00:00:00,FTT/EUR,25.94475,26.03487,25.70494,26.03487,67.84629744,1766.369533831733
1662508800,2022-09-07 00:00:00,FTT/EUR,25.42547,25.79264,25.34663,25.79264,77.77670477,2006.0665465188927
1662422400,2022-09-06 00:00:00,FTT/EUR,26.81827,27.05544,26.06801,26.06801,94.74451918,2469.8010734294317
1662336000,2022-09-05 00:00:00,FTT/EUR,26.31517,26.31517,26.31517,26.31517,1.01914475,26.818967350857495
1662249600,2022-09-04 00:00:00,FTT/EUR,26.25633,26.38890,26.23869,26.38308,20.49283390,540.664076210412
1662163200,2022-09-03 00:00:00,FTT/EUR,26.50884,26.50884,26.18000,26.18000,430.45664471,11269.3549585078
1662076800,2022-09-02 00:00:00,FTT/EUR,26.75850,27.01483,26.45444,26.45444,17.32624304,458.35605692709765
1661990400,2022-09-01 00:00:00,FTT/EUR,26.62998,26.65761,26.62998,26.65416,34.96342115,931.9206214794841
