https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTCG,Volume USD
1663545600000,2022-09-19 00:00:00,BTCG/USD,19400.0,19490.29,19400.0,19490.29,0.03587719,699.2568374851
1663542000000,2022-09-18 23:00:00,BTCG/USD,19439.14,19449.95,19400.0,19400.0,2.1953324,42589.44856
1663538400000,2022-09-18 22:00:00,BTCG/USD,19457.05,19462.33,19390.63,19439.14,1.31113556,25487.3477098184
1663534800000,2022-09-18 21:00:00,BTCG/USD,19811.12,19811.12,19455.04,19457.05,0.2864975,5574.3961823750005
1663531200000,2022-09-18 20:00:00,BTCG/USD,19716.1,19811.12,19716.1,19811.12,0.00050299,9.9647952488
1663527600000,2022-09-18 19:00:00,BTCG/USD,19708.46,19716.1,19621.63,19716.1,0.00788589,155.47899582899998
1663524000000,2022-09-18 18:00:00,BTCG/USD,19638.28,19712.86,19627.87,19708.46,0.0451591,890.016315986
1663520400000,2022-09-18 17:00:00,BTCG/USD,19720.0,19720.0,19638.28,19638.28,0.16437196,3227.9825746288
1663516800000,2022-09-18 16:00:00,BTCG/USD,19913.64,19913.64,19698.26,19720.0,1.10468237,21784.3363364
1663513200000,2022-09-18 15:00:00,BTCG/USD,19913.64,19913.64,19913.64,19913.64,0.0,0.0
1663509600000,2022-09-18 14:00:00,BTCG/USD,20526.94,20526.94,19913.64,19913.64,0.00126811,25.2526860204
1663506000000,2022-09-18 13:00:00,BTCG/USD,20526.94,20526.94,20526.94,20526.94,0.0,0.0
1663502400000,2022-09-18 12:00:00,BTCG/USD,19560.68,20526.94,19560.68,20526.94,0.01293735,265.56420720899996
1663498800000,2022-09-18 11:00:00,BTCG/USD,20049.0,20049.0,19560.68,19560.68,0.00015,2.9341019999999998
1663495200000,2022-09-18 10:00:00,BTCG/USD,20049.0,20049.0,20049.0,20049.0,0.0,0.0
1663491600000,2022-09-18 09:00:00,BTCG/USD,20055.0,20055.0,20049.0,20049.0,1.0,20049.0
