https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XDC,Volume USDT
1663459200,2022-09-18 00:00:00,XDC/USDT,0.02697,0.02703,0.02692,0.02702,272256.5776,7345.774209826
1663372800,2022-09-17 00:00:00,XDC/USDT,0.02673,0.02711,0.02655,0.02698,12604519.5598,338291.510365559
1663286400,2022-09-16 00:00:00,XDC/USDT,0.02643,0.02672,0.02632,0.02672,7848284.5448,207968.562966424
1663200000,2022-09-15 00:00:00,XDC/USDT,0.02675,0.02715,0.02617,0.02637,13805054.47225917,368266.9932331765793
1663113600,2022-09-14 00:00:00,XDC/USDT,0.02652,0.02683,0.02638,0.02681,9524234.9262,253237.629451002
1663027200,2022-09-13 00:00:00,XDC/USDT,0.02724,0.02728,0.02645,0.02656,23221417.9667,623516.137029519
1662940800,2022-09-12 00:00:00,XDC/USDT,0.02665,0.02759,0.02657,0.02724,13673463.7273,368228.110633709
1662854400,2022-09-11 00:00:00,XDC/USDT,0.02611,0.02685,0.02601,0.02664,11434423.3468,301659.233704178
1662768000,2022-09-10 00:00:00,XDC/USDT,0.02634,0.02667,0.02592,0.0261,11459343.3654,299554.353231744
1662681600,2022-09-09 00:00:00,XDC/USDT,0.02516,0.02646,0.02516,0.02633,19078298.6129,491675.335324174
1662595200,2022-09-08 00:00:00,XDC/USDT,0.0254,0.02545,0.02495,0.02516,22307430.7689,560758.921613153
1662508800,2022-09-07 00:00:00,XDC/USDT,0.02549,0.02578,0.02527,0.02544,21150245.9502,538975.096439966
1662422400,2022-09-06 00:00:00,XDC/USDT,0.02606,0.02651,0.02547,0.0255,12660334.695,327933.426022465
1662336000,2022-09-05 00:00:00,XDC/USDT,0.02616,0.0263,0.02593,0.02602,7797788.295,203152.90515959
1662249600,2022-09-04 00:00:00,XDC/USDT,0.02617,0.02628,0.02588,0.02613,7357329.1005,191885.902819621
1662163200,2022-09-03 00:00:00,XDC/USDT,0.02604,0.02618,0.02567,0.02612,9736751.8505,252521.662037805
1662076800,2022-09-02 00:00:00,XDC/USDT,0.02582,0.02635,0.0258,0.026,13171399.1513,342619.061411175
1661990400,2022-09-01 00:00:00,XDC/USDT,0.0266,0.02677,0.02557,0.02582,19166285.4713,498713.019950219
1661904000,2022-08-31 00:00:00,XDC/USDT,0.02674,0.02736,0.02657,0.02662,10069459.55145731,272029.320993603467
1661817600,2022-08-30 00:00:00,XDC/USDT,0.02661,0.02775,0.02626,0.02673,21936242.81897625,590239.2956474005513
1661731200,2022-08-29 00:00:00,XDC/USDT,0.02611,0.02665,0.0253,0.0265,19544941.07260529,508525.8187124528984
1661644800,2022-08-28 00:00:00,XDC/USDT,0.02735,0.02752,0.0261,0.0261,27415867.14090171,740734.6578878717651
