https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume ETH
1663549200000,2022-09-19 01:00:00,ETH/LTC,25.14858,25.270098,25.106967,25.205608,198.9554256264,7.8933
1663545600000,2022-09-19 00:00:00,ETH/LTC,25.355344,25.416057,25.093959,25.139106,700.926684902251,27.88192567
1663542000000,2022-09-18 23:00:00,ETH/LTC,25.099489,25.443393,25.087102,25.415883,774.3430409807145,30.46689509
1663538400000,2022-09-18 22:00:00,ETH/LTC,24.916529,25.185766,24.894458,25.185766,730.5786258216,29.0076
1663534800000,2022-09-18 21:00:00,ETH/LTC,24.44187,25.455137,24.422155,24.891628,798.3639296487621,32.07359236
1663531200000,2022-09-18 20:00:00,ETH/LTC,24.457525,24.561991,24.422155,24.438727,714.1384878873042,29.22159112
1663527600000,2022-09-18 19:00:00,ETH/LTC,24.642863,24.642863,24.455457,24.489458,600.8983797547537,24.53702241
1663524000000,2022-09-18 18:00:00,ETH/LTC,24.656398,24.821495,24.541955,24.569895,688.2102640701268,28.01030546
1663520400000,2022-09-18 17:00:00,ETH/LTC,24.897113,24.914358,24.654328,24.656399,764.9572321443941,31.02469392
1663516800000,2022-09-18 16:00:00,ETH/LTC,25.118013,25.157671,24.89598,24.906801,648.4033116154671,26.03318313
1663513200000,2022-09-18 15:00:00,ETH/LTC,25.231718,25.24251,25.083635,25.1132,767.44934672,30.5596
1663509600000,2022-09-18 14:00:00,ETH/LTC,25.226482,25.236762,25.137107,25.229925,748.9842596402199,29.68634507
1663506000000,2022-09-18 13:00:00,ETH/LTC,25.242011,25.291023,25.200255,25.218897,764.6649381627884,30.32110953
1663502400000,2022-09-18 12:00:00,ETH/LTC,25.404851,25.420212,25.204339,25.232312,665.2726149608,26.3659
1663498800000,2022-09-18 11:00:00,ETH/LTC,25.353256,25.372346,25.290958,25.368038,724.8505954630888,28.57338023
1663495200000,2022-09-18 10:00:00,ETH/LTC,25.346961,25.411834,25.274947,25.343155,777.8830484397821,30.69400982
1663491600000,2022-09-18 09:00:00,ETH/LTC,25.439659,25.483689,25.351153,25.351153,703.2799669414796,27.74153771
1663488000000,2022-09-18 08:00:00,ETH/LTC,25.446321,25.493241,25.423012,25.460905,801.278634224033,31.47094081
1663484400000,2022-09-18 07:00:00,ETH/LTC,25.585103,25.585103,25.417517,25.459623,711.8165707108955,27.95864537
1663480800000,2022-09-18 06:00:00,ETH/LTC,25.404408,25.6,25.354677,25.575056,746.5181892587536,29.1893081
1663477200000,2022-09-18 05:00:00,ETH/LTC,25.374578,25.409525,25.307854,25.405314,756.4356027558,29.7747
1663473600000,2022-09-18 04:00:00,ETH/LTC,25.327645,25.396852,25.258843,25.379138,756.4074426934001,29.8043
1663470000000,2022-09-18 03:00:00,ETH/LTC,25.394247,25.40202,25.307995,25.350397,669.0426075446001,26.3918
1663466400000,2022-09-18 02:00:00,ETH/LTC,25.440918,25.440918,25.251572,25.374295,720.2316015685,28.3843
1663462800000,2022-09-18 01:00:00,ETH/LTC,25.45382,25.518525,25.397937,25.433834,698.2096109680001,27.452
1663459200000,2022-09-18 00:00:00,ETH/LTC,25.391224,25.54607,25.298375,25.465999,673.6087793487,26.4513
1663455600000,2022-09-17 23:00:00,ETH/LTC,25.47039,25.51993,25.413093,25.42722,728.339832402,28.6441
1663452000000,2022-09-17 22:00:00,ETH/LTC,25.182328,25.471499,25.176286,25.450008,717.8836456608,28.2076
1663448400000,2022-09-17 21:00:00,ETH/LTC,25.099624,25.16881,24.995405,25.152762,809.5087647764584,32.18369278
1663444800000,2022-09-17 20:00:00,ETH/LTC,25.180388,25.206179,25.106312,25.10845,659.45837418,26.2644
1663441200000,2022-09-17 19:00:00,ETH/LTC,25.228922,25.288485,25.158411,25.179401,713.6874598841,28.3441
1663437600000,2022-09-17 18:00:00,ETH/LTC,25.344918,25.372104,25.142216,25.254173,688.4590609876,27.2612
1663434000000,2022-09-17 17:00:00,ETH/LTC,25.321587,25.400668,25.229241,25.312187,687.8810475734332,27.1758836
1663430400000,2022-09-17 16:00:00,ETH/LTC,25.053245,25.391235,25.016205,25.336233,636.9069440273962,25.13818625
1663426800000,2022-09-17 15:00:00,ETH/LTC,25.091603,25.212448,25.03943,25.076364,756.518749080654,30.16859817
1663423200000,2022-09-17 14:00:00,ETH/LTC,24.917,25.081515,24.810261,25.081515,705.9556482529891,28.14645161
1663419600000,2022-09-17 13:00:00,ETH/LTC,24.925805,25.051521,24.828267,24.911193,816.1355686639951,32.76180184
1663416000000,2022-09-17 12:00:00,ETH/LTC,25.054515,25.078309,24.918229,24.918229,708.5036479528975,28.43314619
1663412400000,2022-09-17 11:00:00,ETH/LTC,25.295476,25.309085,25.012644,25.029877,649.5830353062214,25.95230633
1663408800000,2022-09-17 10:00:00,ETH/LTC,25.345716,25.395229,25.25,25.281791,654.6649190161348,25.89472079
1663405200000,2022-09-17 09:00:00,ETH/LTC,25.388903,25.410561,25.268936,25.346513,736.6529619979509,29.06328622
1663401600000,2022-09-17 08:00:00,ETH/LTC,25.496327,25.514127,25.360673,25.376266,637.2386412856,25.1116
1663398000000,2022-09-17 07:00:00,ETH/LTC,25.504594,25.527653,25.419952,25.509504,664.930731264,26.066
1663394400000,2022-09-17 06:00:00,ETH/LTC,25.432059,25.546069,25.418027,25.50708,806.4636547304592,31.61724724
1663390800000,2022-09-17 05:00:00,ETH/LTC,25.551455,25.577108,25.426268,25.435892,778.0550446677128,30.58886414
1663387200000,2022-09-17 04:00:00,ETH/LTC,25.563615,25.647897,25.558615,25.558615,750.5159501675,29.3645
1663383600000,2022-09-17 03:00:00,ETH/LTC,25.655681,25.709936,25.549578,25.572047,732.153277657,28.631
1663380000000,2022-09-17 02:00:00,ETH/LTC,25.57759,25.659091,25.5,25.62656,748.6219346870816,29.21273611
1663376400000,2022-09-17 01:00:00,ETH/LTC,25.69027,25.735469,25.553891,25.57697,715.740813086,27.9838
1663372800000,2022-09-17 00:00:00,ETH/LTC,25.645105,25.825416,25.614343,25.687375,780.51752904769,30.38525848
1663369200000,2022-09-16 23:00:00,ETH/LTC,25.766365,25.770977,25.625149,25.636223,796.218130068379,31.05832439
1663365600000,2022-09-16 22:00:00,ETH/LTC,25.875305,25.924438,25.75588,25.775795,754.0599909050648,29.25457744
1663362000000,2022-09-16 21:00:00,ETH/LTC,25.700376,25.917436,25.672633,25.821954,808.5142050454698,31.31111631
1663358400000,2022-09-16 20:00:00,ETH/LTC,25.685284,25.740055,25.62,25.687724,658.0835260664,25.6186
1663354800000,2022-09-16 19:00:00,ETH/LTC,25.864585,25.939283,25.655144,25.662769,660.4360819078684,25.73518399
1663351200000,2022-09-16 18:00:00,ETH/LTC,25.794471,25.92751,25.775842,25.865159,727.5066915332978,28.1268981
