https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume USD
1663545600000.0,2022-09-19 00:00:00,USDT/USD,1.0001,1.0001,1.0,1.0001,235719.45059994003,235743.022545
1663542000000.0,2022-09-18 23:00:00,USDT/USD,1.0001,1.0001,1.0,1.0001,1375670.2537366264,1375807.820762
1663538400000.0,2022-09-18 22:00:00,USDT/USD,1.0001,1.0001,1.0,1.0001,2264853.0756054395,2265079.560913
1663534800000.0,2022-09-18 21:00:00,USDT/USD,1.0001,1.0001,1.0,1.0,1807296.602742,1807296.602742
1663531200000.0,2022-09-18 20:00:00,USDT/USD,1.0001,1.0001,1.0,1.0001,398663.85717828217,398703.723564
1663527600000.0,2022-09-18 19:00:00,USDT/USD,1.0001,1.0001,1.0,1.0001,361200.5779162084,361236.697974
1663524000000.0,2022-09-18 18:00:00,USDT/USD,1.0001,1.0001,1.0,1.0001,697711.4820577942,697781.253206
1663520400000.0,2022-09-18 17:00:00,USDT/USD,1.0,1.0001,1.0,1.0001,2933818.013909609,2934111.395711
1663516800000.0,2022-09-18 16:00:00,USDT/USD,1.0001,1.0001,1.0,1.0,9063322.969421,9063322.969421
1663513200000.0,2022-09-18 15:00:00,USDT/USD,1.0001,1.0001,1.0,1.0001,677049.1278532146,677116.832766
1663509600000.0,2022-09-18 14:00:00,USDT/USD,1.0001,1.0001,1.0,1.0001,585828.461510849,585887.044357
1663506000000.0,2022-09-18 13:00:00,USDT/USD,1.0001,1.0001,1.0,1.0001,1470182.5977922208,1470329.616052
1663502400000.0,2022-09-18 12:00:00,USDT/USD,1.0001,1.0001,1.0,1.0001,353753.7573152685,353789.132691
1663498800000.0,2022-09-18 11:00:00,USDT/USD,1.0001,1.0001,1.0,1.0001,118217.07325767423,118228.894965
1663495200000.0,2022-09-18 10:00:00,USDT/USD,1.0001,1.0001,1.0,1.0001,948488.2498460154,948583.098671
1663491600000.0,2022-09-18 09:00:00,USDT/USD,1.0,1.0001,0.9999,1.0001,927105.0201019899,927197.730604
1663488000000.0,2022-09-18 08:00:00,USDT/USD,1.0,1.0,0.9999,1.0,1373970.982008,1373970.982008
1663484400000.0,2022-09-18 07:00:00,USDT/USD,1.0,1.0,0.9999,1.0,1440448.418346,1440448.418346
1663480800000.0,2022-09-18 06:00:00,USDT/USD,1.0,1.0,0.9999,1.0,262363.570869,262363.570869
1663477200000.0,2022-09-18 05:00:00,USDT/USD,1.0,1.0,0.9999,1.0,659374.060648,659374.060648
1663473600000.0,2022-09-18 04:00:00,USDT/USD,1.0,1.0,0.9999,1.0,355448.138735,355448.138735
1663470000000.0,2022-09-18 03:00:00,USDT/USD,1.0,1.0,0.9999,1.0,692779.699485,692779.699485
1663466400000.0,2022-09-18 02:00:00,USDT/USD,1.0,1.0,0.9999,1.0,267399.956174,267399.956174
1663462800000.0,2022-09-18 01:00:00,USDT/USD,1.0,1.0,0.9999,1.0,3224614.792743,3224614.792743
1663459200000.0,2022-09-18 00:00:00,USDT/USD,1.0,1.0,0.9999,1.0,9451006.697587,9451006.697587
1663455600000.0,2022-09-17 23:00:00,USDT/USD,1.0,1.0,0.9999,1.0,222374.071525,222374.071525
1663452000000.0,2022-09-17 22:00:00,USDT/USD,1.0,1.0,0.9999,1.0,142425.126677,142425.126677
1663448400000.0,2022-09-17 21:00:00,USDT/USD,1.0,1.0,0.9999,1.0,756023.645441,756023.645441
1663444800000.0,2022-09-17 20:00:00,USDT/USD,1.0,1.0,0.9999,1.0,150154.344568,150154.344568
1663441200000.0,2022-09-17 19:00:00,USDT/USD,1.0,1.0,0.9999,1.0,138758.031082,138758.031082
1663437600000.0,2022-09-17 18:00:00,USDT/USD,1.0,1.0,0.9999,1.0,315804.780161,315804.780161
1663434000000.0,2022-09-17 17:00:00,USDT/USD,1.0,1.0,0.9999,1.0,416181.561472,416181.561472
1663430400000.0,2022-09-17 16:00:00,USDT/USD,1.0,1.0,0.9999,1.0,324400.984795,324400.984795
1663426800000.0,2022-09-17 15:00:00,USDT/USD,1.0,1.0,0.9999,1.0,1342697.560503,1342697.560503
1663423200000.0,2022-09-17 14:00:00,USDT/USD,1.0,1.0,0.9999,1.0,190908.077332,190908.077332
1663419600000.0,2022-09-17 13:00:00,USDT/USD,1.0,1.0,0.9999,1.0,157182.505328,157182.505328
1663416000000.0,2022-09-17 12:00:00,USDT/USD,1.0,1.0,0.9999,1.0,322375.913324,322375.913324
1663412400000.0,2022-09-17 11:00:00,USDT/USD,1.0,1.0,0.9999,1.0,224984.372941,224984.372941
1663408800000.0,2022-09-17 10:00:00,USDT/USD,1.0,1.0,0.9999,1.0,703234.283561,703234.283561
1663405200000.0,2022-09-17 09:00:00,USDT/USD,1.0,1.0,0.9999,1.0,1031470.321321,1031470.321321
1663401600000.0,2022-09-17 08:00:00,USDT/USD,1.0,1.0,0.9999,1.0,275929.034016,275929.034016
1663398000000.0,2022-09-17 07:00:00,USDT/USD,1.0,1.0,0.9999,1.0,871102.998824,871102.998824
1663394400000.0,2022-09-17 06:00:00,USDT/USD,1.0,1.0,0.9999,0.9999,825357.0663116311,825274.530605
1663390800000.0,2022-09-17 05:00:00,USDT/USD,0.9999,1.0,0.9999,1.0,319831.474225,319831.474225
1663387200000.0,2022-09-17 04:00:00,USDT/USD,1.0,1.0,0.9999,0.9999,163780.5895969597,163764.211538
