https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ELA,Volume BTC
1663459200,2022-09-18 00:00:00,ELA/BTC,0.00007544,0.00007545,0.00007542,0.00007542,3.0148,0.000227436381
1663372800,2022-09-17 00:00:00,ELA/BTC,0.00007596,0.00007671,0.00007477,0.00007544,1033.6687,0.077700395252
1663286400,2022-09-16 00:00:00,ELA/BTC,0.00007494,0.0000782,0.00007441,0.00007587,1403.5003,0.107644403041
1663200000,2022-09-15 00:00:00,ELA/BTC,0.00007566,0.00007656,0.00007334,0.0000764,3137.8079,0.236918922198
1663113600,2022-09-14 00:00:00,ELA/BTC,0.00007693,0.00007797,0.00007334,0.00007566,3634.4083,0.273649431411
1663027200,2022-09-13 00:00:00,ELA/BTC,0.00007328,0.00007962,0.00007196,0.00007687,5431.4255,0.403172859779
1662940800,2022-09-12 00:00:00,ELA/BTC,0.00007677,0.00007855,0.00007236,0.00007245,6086.4641,0.460455213311
1662854400,2022-09-11 00:00:00,ELA/BTC,0.00007848,0.00008417,0.00007647,0.00007678,15130.5283,1.215034495649
1662768000,2022-09-10 00:00:00,ELA/BTC,0.0000801,0.00008269,0.0000771,0.00007776,8872.3354,0.702541368562
1662681600,2022-09-09 00:00:00,ELA/BTC,0.00008717,0.00008888,0.0000799,0.00008021,4882.8856,0.396384340421
1662595200,2022-09-08 00:00:00,ELA/BTC,0.00008922,0.00008984,0.00008468,0.00008712,1763.8635,0.15329195504
1662508800,2022-09-07 00:00:00,ELA/BTC,0.00009089,0.00009101,0.00008803,0.00008817,355.3071,0.031884102255
1662422400,2022-09-06 00:00:00,ELA/BTC,0.00008855,0.0000914,0.00008679,0.00009077,793.9116,0.070817705553
1662336000,2022-09-05 00:00:00,ELA/BTC,0.00008943,0.00009026,0.00008713,0.00008877,469.4575,0.041320493733
1662249600,2022-09-04 00:00:00,ELA/BTC,0.00008984,0.00009105,0.0000877,0.00008928,833.8241,0.074474619923
1662163200,2022-09-03 00:00:00,ELA/BTC,0.00008577,0.0000894,0.00008518,0.0000894,1489.2957,0.13036115425
1662076800,2022-09-02 00:00:00,ELA/BTC,0.00008904,0.00008936,0.0000853,0.00008647,733.8804,0.064061952609
1661990400,2022-09-01 00:00:00,ELA/BTC,0.00009003,0.0000903,0.00008591,0.00008984,2492.3392,0.219776851795
1661904000,2022-08-31 00:00:00,ELA/BTC,0.00009091,0.0000927,0.00008893,0.00008971,974.247,0.088525057929
1661817600,2022-08-30 00:00:00,ELA/BTC,0.00008715,0.00009101,0.00008577,0.00009022,1438.9322,0.127782808218
1661731200,2022-08-29 00:00:00,ELA/BTC,0.00008607,0.00008802,0.00008439,0.00008637,1524.8271,0.132345074368
1661644800,2022-08-28 00:00:00,ELA/BTC,0.00008697,0.00008843,0.0000835,0.00008588,815.1365,0.069116054473
