https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UBXT,Volume USDT
1663459200,2022-09-18 00:00:00,UBXT/USDT,0.0053404,0.0053404,0.0053214,0.0053318,858941.7491,4583.33596294237
1663372800,2022-09-17 00:00:00,UBXT/USDT,0.00546,0.0054916,0.005237,0.0053318,25906269.4666,139273.96247739915
1663286400,2022-09-16 00:00:00,UBXT/USDT,0.0055655,0.005571,0.0054481,0.0054688,17772750.9569,97848.64998225033
1663200000,2022-09-15 00:00:00,UBXT/USDT,0.0056632,0.0057786,0.0054571,0.0055655,7842826.9058,44344.84248572458
1663113600,2022-09-14 00:00:00,UBXT/USDT,0.0056998,0.0057289,0.0056104,0.005636,702303.656,3990.68336337277
1663027200,2022-09-13 00:00:00,UBXT/USDT,0.0059088,0.0059208,0.0056999,0.0057061,18711799.01,108659.34890228373
1662940800,2022-09-12 00:00:00,UBXT/USDT,0.0059329,0.0059373,0.0058748,0.0059183,33286016.3078,196707.21883771005
1662854400,2022-09-11 00:00:00,UBXT/USDT,0.0058708,0.005958,0.0058288,0.0059329,34951623.3865,206481.92762283713
1662768000,2022-09-10 00:00:00,UBXT/USDT,0.0059155,0.006112,0.005753,0.0059014,37551839.8392,221331.56385297568
1662681600,2022-09-09 00:00:00,UBXT/USDT,0.0057861,0.0059596,0.005707,0.0059155,35789777.5944,210270.33686426538
1662595200,2022-09-08 00:00:00,UBXT/USDT,0.0057594,0.0058837,0.00567,0.0057861,27670441.5153,160529.19636478809
1662508800,2022-09-07 00:00:00,UBXT/USDT,0.0058439,0.006005,0.0057429,0.0057429,2434253.6753,14257.03014670791
1662422400,2022-09-06 00:00:00,UBXT/USDT,0.0058672,0.0060159,0.0057559,0.0058472,3060215.9908,18229.97753210661
1662336000,2022-09-05 00:00:00,UBXT/USDT,0.0059261,0.0059496,0.0058087,0.0058657,25480656.0783,150205.75958689464
1662249600,2022-09-04 00:00:00,UBXT/USDT,0.0059506,0.0059769,0.005783,0.005938,28266235.6909,166920.19330955622
1662163200,2022-09-03 00:00:00,UBXT/USDT,0.0060224,0.0060471,0.0058222,0.0059391,29363820.6186,175305.49197884983
1662076800,2022-09-02 00:00:00,UBXT/USDT,0.0059744,0.0060916,0.0059052,0.0060099,21413129.167,128755.76096394024
1661990400,2022-09-01 00:00:00,UBXT/USDT,0.005995,0.006023,0.0059305,0.0059864,21680793.7431,129729.29683211435
1661904000,2022-08-31 00:00:00,UBXT/USDT,0.0059877,0.0061222,0.005914,0.0059863,16618738.363,100485.02611185258
1661817600,2022-08-30 00:00:00,UBXT/USDT,0.0060012,0.0060982,0.0059033,0.0059989,14310401.2668,86234.7602617432
