https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HBAR,Volume EUR
1663545600,2022-09-19 00:00:00,HBAR/EUR,0.05757,0.05757,0.05757,0.05757,0.00000000,0.0
1663459200,2022-09-18 00:00:00,HBAR/EUR,0.06130,0.06152,0.05641,0.05757,516350.20897196,29726.28153051574
1663372800,2022-09-17 00:00:00,HBAR/EUR,0.06189,0.06189,0.06085,0.06122,244776.89469423,14985.24149318076
1663286400,2022-09-16 00:00:00,HBAR/EUR,0.06099,0.06145,0.06000,0.06055,301507.05921153,18256.252435258142
1663200000,2022-09-15 00:00:00,HBAR/EUR,0.06434,0.06434,0.06038,0.06099,533992.93743517,32568.229254171023
1663113600,2022-09-14 00:00:00,HBAR/EUR,0.06477,0.06503,0.06282,0.06434,355960.77870708,22902.516502013525
1663027200,2022-09-13 00:00:00,HBAR/EUR,0.07160,0.07160,0.06444,0.06565,892103.06083694,58566.565943945105
1662940800,2022-09-12 00:00:00,HBAR/EUR,0.06267,0.07299,0.06267,0.07252,600459.97890167,43545.35766994911
1662854400,2022-09-11 00:00:00,HBAR/EUR,0.06374,0.06455,0.06245,0.06254,244510.63578984,15291.695162296592
1662768000,2022-09-10 00:00:00,HBAR/EUR,0.06356,0.06399,0.06292,0.06311,300000.76441186,18933.048242032484
1662681600,2022-09-09 00:00:00,HBAR/EUR,0.06152,0.06327,0.06109,0.06326,281224.86881413,17790.285201181865
1662595200,2022-09-08 00:00:00,HBAR/EUR,0.06091,0.06128,0.05969,0.06106,335698.69129209,20497.762090295015
1662508800,2022-09-07 00:00:00,HBAR/EUR,0.05941,0.06107,0.05883,0.06051,287848.20896039,17417.6951241932
1662422400,2022-09-06 00:00:00,HBAR/EUR,0.06332,0.06391,0.05850,0.05926,321218.71083614,19035.420804149653
1662336000,2022-09-05 00:00:00,HBAR/EUR,0.06191,0.06278,0.06075,0.06221,354264.05083019,22038.766602146123
1662249600,2022-09-04 00:00:00,HBAR/EUR,0.06110,0.06186,0.06074,0.06175,264142.14699786,16310.777577117855
1662163200,2022-09-03 00:00:00,HBAR/EUR,0.06233,0.06233,0.06088,0.06097,199817.29777475,12182.86064532651
1662076800,2022-09-02 00:00:00,HBAR/EUR,0.06359,0.06359,0.06162,0.06207,310620.78821501,19280.232324505672
1661990400,2022-09-01 00:00:00,HBAR/EUR,0.06250,0.06364,0.06141,0.06364,196784.41915140,12523.360434795097
1661904000,2022-08-31 00:00:00,HBAR/EUR,0.06397,0.06548,0.06322,0.06349,128542.46190987,8161.1609066576475
1661817600,2022-08-30 00:00:00,HBAR/EUR,0.06563,0.06602,0.06237,0.06349,153042.72819621,9716.682813177373
1661731200,2022-08-29 00:00:00,HBAR/EUR,0.06299,0.06601,0.06299,0.06601,194532.43007162,12841.085709027637
1661644800,2022-08-28 00:00:00,HBAR/EUR,0.06285,0.06544,0.06285,0.06317,195534.17657075,12351.893933974277
1661558400,2022-08-27 00:00:00,HBAR/EUR,0.06250,0.06385,0.06208,0.06291,153710.04930648,9669.899201870656
1661472000,2022-08-26 00:00:00,HBAR/EUR,0.06850,0.06872,0.06242,0.06298,668167.57396634,42081.193808400094
1661385600,2022-08-25 00:00:00,HBAR/EUR,0.06754,0.06882,0.06753,0.06793,225920.09837865,15346.752282861695
1661299200,2022-08-24 00:00:00,HBAR/EUR,0.06699,0.07065,0.06576,0.06825,279843.76386261,19099.33688362313
1661212800,2022-08-23 00:00:00,HBAR/EUR,0.06707,0.06749,0.06500,0.06730,684800.84829001,46087.097089917675
1661126400,2022-08-22 00:00:00,HBAR/EUR,0.06917,0.06917,0.06434,0.06598,382344.11756432,25227.06487689383
1661040000,2022-08-21 00:00:00,HBAR/EUR,0.06682,0.06990,0.06682,0.06941,100717.05406422,6990.770722597511
1660953600,2022-08-20 00:00:00,HBAR/EUR,0.06572,0.06824,0.06562,0.06716,199701.60100301,13411.959523362151
1660867200,2022-08-19 00:00:00,HBAR/EUR,0.06990,0.06990,0.06394,0.06505,740188.91855908,48149.28915226815
1660780800,2022-08-18 00:00:00,HBAR/EUR,0.07257,0.07345,0.06991,0.06991,187225.90043411,13088.962699348629
1660694400,2022-08-17 00:00:00,HBAR/EUR,0.07569,0.07753,0.07188,0.07213,209210.81922756,15090.376390883901
1660608000,2022-08-16 00:00:00,HBAR/EUR,0.07569,0.07653,0.07484,0.07509,294618.07524440,22122.871270101998
1660521600,2022-08-15 00:00:00,HBAR/EUR,0.07814,0.07876,0.07582,0.07600,258071.06172405,19613.4006910278
1660435200,2022-08-14 00:00:00,HBAR/EUR,0.08001,0.08025,0.07675,0.07728,1917121.91200931,148155.18136007947
1660348800,2022-08-13 00:00:00,HBAR/EUR,0.08025,0.08157,0.07912,0.07915,315751.69102558,24991.746344674655
1660262400,2022-08-12 00:00:00,HBAR/EUR,0.07863,0.08088,0.07783,0.08078,269531.37867719,21772.74476954341
1660176000,2022-08-11 00:00:00,HBAR/EUR,0.07726,0.08039,0.07643,0.07828,654284.57822754,51217.396783651835
1660089600,2022-08-10 00:00:00,HBAR/EUR,0.07258,0.07622,0.07141,0.07618,345994.30529734,26357.846177551357
1660003200,2022-08-09 00:00:00,HBAR/EUR,0.07815,0.07954,0.07200,0.07358,509558.79113215,37493.3358515036
1659916800,2022-08-08 00:00:00,HBAR/EUR,0.07691,0.07853,0.07643,0.07835,768619.87187712,60221.366961572356
1659830400,2022-08-07 00:00:00,HBAR/EUR,0.07581,0.07696,0.07404,0.07688,133008.05608292,10225.65935165489
1659744000,2022-08-06 00:00:00,HBAR/EUR,0.07428,0.07743,0.07426,0.07633,135938.68649221,10376.199939950387
1659657600,2022-08-05 00:00:00,HBAR/EUR,0.07161,0.07454,0.07161,0.07454,254585.21721333,18976.78209108162
1659571200,2022-08-04 00:00:00,HBAR/EUR,0.07030,0.07170,0.06924,0.06997,104680.30021685,7324.480606172995
1659484800,2022-08-03 00:00:00,HBAR/EUR,0.07020,0.07262,0.06898,0.07195,534474.76407295,38455.45927504875
1659398400,2022-08-02 00:00:00,HBAR/EUR,0.07200,0.07402,0.07100,0.07206,139079.22933404,10022.049265810921
1659312000,2022-08-01 00:00:00,HBAR/EUR,0.07594,0.07618,0.07284,0.07369,356641.80141036,26280.934345929432
1659225600,2022-07-31 00:00:00,HBAR/EUR,0.07410,0.07913,0.07380,0.07397,426876.84037362,31576.07988243667
1659139200,2022-07-30 00:00:00,HBAR/EUR,0.07126,0.07618,0.07068,0.07084,306150.13306475,21687.67542630689
1659052800,2022-07-29 00:00:00,HBAR/EUR,0.07048,0.07220,0.06833,0.07116,267586.47870255,19041.453824473458
1658966400,2022-07-28 00:00:00,HBAR/EUR,0.06827,0.07134,0.06733,0.07058,306049.69801249,21600.987685721546
1658880000,2022-07-27 00:00:00,HBAR/EUR,0.06495,0.06817,0.06345,0.06817,134113.52801694,9142.519204914799
1658793600,2022-07-26 00:00:00,HBAR/EUR,0.06274,0.06494,0.06200,0.06494,132488.36100605,8603.794163732886
1658707200,2022-07-25 00:00:00,HBAR/EUR,0.06694,0.06772,0.06400,0.06400,330391.80086112,21145.07525511168
1658620800,2022-07-24 00:00:00,HBAR/EUR,0.06725,0.07232,0.06667,0.07174,726568.13144198,52123.99774964764
1658534400,2022-07-23 00:00:00,HBAR/EUR,0.06903,0.06983,0.06572,0.06708,190005.40394526,12745.56249664804
1658448000,2022-07-22 00:00:00,HBAR/EUR,0.07108,0.07389,0.06780,0.06837,216236.80676070,14784.11047822906
1658361600,2022-07-21 00:00:00,HBAR/EUR,0.06928,0.07032,0.06676,0.06971,320299.29763393,22328.064038061257
1658275200,2022-07-20 00:00:00,HBAR/EUR,0.07260,0.07560,0.06890,0.06976,422525.77973686,29475.398394443357
1658188800,2022-07-19 00:00:00,HBAR/EUR,0.07217,0.07295,0.06784,0.07283,190042.23003910,13840.775613747654
1658102400,2022-07-18 00:00:00,HBAR/EUR,0.06591,0.07051,0.06591,0.06969,806292.69374896,56190.53782736503
1658016000,2022-07-17 00:00:00,HBAR/EUR,0.06635,0.06635,0.06372,0.06493,156369.95219902,10153.100996282368
1657929600,2022-07-16 00:00:00,HBAR/EUR,0.06381,0.06656,0.06329,0.06582,66648.60092627,4386.810912967091
1657843200,2022-07-15 00:00:00,HBAR/EUR,0.06319,0.06563,0.06319,0.06464,89059.61764641,5756.813684663943
1657756800,2022-07-14 00:00:00,HBAR/EUR,0.06279,0.06392,0.06087,0.06292,243705.49648524,15333.949838851302
1657670400,2022-07-13 00:00:00,HBAR/EUR,0.05900,0.06153,0.05777,0.06153,171345.14466343,10542.866751140848
1657584000,2022-07-12 00:00:00,HBAR/EUR,0.06020,0.06155,0.05960,0.05997,256830.01387999,15402.095932383001
1657497600,2022-07-11 00:00:00,HBAR/EUR,0.06384,0.06395,0.06000,0.06000,257194.13905008,15431.6483430048
1657411200,2022-07-10 00:00:00,HBAR/EUR,0.06710,0.06713,0.06280,0.06400,229832.50767503,14709.28049120192
1657324800,2022-07-09 00:00:00,HBAR/EUR,0.06382,0.07439,0.06356,0.06754,293347.83261970,19812.71261513454
1657238400,2022-07-08 00:00:00,HBAR/EUR,0.06356,0.06457,0.06225,0.06321,121438.23881943,7676.111075776171
1657152000,2022-07-07 00:00:00,HBAR/EUR,0.06139,0.06437,0.06075,0.06360,438693.58450493,27900.91197451355
1657065600,2022-07-06 00:00:00,HBAR/EUR,0.05963,0.06114,0.05957,0.06084,319491.62403752,19437.87040644272
