https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETHBEAR,Volume USD
1663545600000.0,2022-09-19 00:00:00,ETHBEAR/USD,5e-08,6e-08,5e-08,5e-08,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,ETHBEAR/USD,4e-08,6e-08,4e-08,5e-08,0.0,0.0
1663372800000.0,2022-09-17 00:00:00,ETHBEAR/USD,4e-08,6e-08,4e-08,4e-08,3156000000.0,126.24
1663286400000.0,2022-09-16 00:00:00,ETHBEAR/USD,4e-08,6e-08,3e-08,4e-08,2828750000.0,113.15
1663200000000.0,2022-09-15 00:00:00,ETHBEAR/USD,5e-08,6e-08,4e-08,4e-08,1765749999.9999998,70.63
1663113600000.0,2022-09-14 00:00:00,ETHBEAR/USD,5e-08,6e-08,5e-08,5e-08,0.0,0.0
1663027200000.0,2022-09-13 00:00:00,ETHBEAR/USD,5e-08,6e-08,5e-08,5e-08,1610000000.0,80.5
1662940800000.0,2022-09-12 00:00:00,ETHBEAR/USD,5e-08,6e-08,5e-08,5e-08,0.0,0.0
1662854400000.0,2022-09-11 00:00:00,ETHBEAR/USD,5e-08,6e-08,5e-08,5e-08,750000000.0,37.5
1662768000000.0,2022-09-10 00:00:00,ETHBEAR/USD,5e-08,6e-08,5e-08,5e-08,0.0,0.0
1662681600000.0,2022-09-09 00:00:00,ETHBEAR/USD,5e-08,6e-08,5e-08,5e-08,190000000.0,9.5
1662595200000.0,2022-09-08 00:00:00,ETHBEAR/USD,5e-08,6e-08,5e-08,5e-08,0.0,0.0
1662508800000.0,2022-09-07 00:00:00,ETHBEAR/USD,5e-08,6e-08,5e-08,5e-08,0.0,0.0
1662422400000.0,2022-09-06 00:00:00,ETHBEAR/USD,5e-08,6e-08,5e-08,5e-08,256000000.00000003,12.8
1662336000000.0,2022-09-05 00:00:00,ETHBEAR/USD,5e-08,6e-08,5e-08,5e-08,0.0,0.0
1662249600000.0,2022-09-04 00:00:00,ETHBEAR/USD,5e-08,6e-08,5e-08,5e-08,160000000.0,8.0
1662163200000.0,2022-09-03 00:00:00,ETHBEAR/USD,5e-08,6e-08,5e-08,5e-08,1000000.0000000001,0.05
1662076800000.0,2022-09-02 00:00:00,ETHBEAR/USD,5e-08,6e-08,5e-08,5e-08,0.0,0.0
1661990400000.0,2022-09-01 00:00:00,ETHBEAR/USD,5e-08,6e-08,5e-08,5e-08,65000000.0,3.25
1661904000000.0,2022-08-31 00:00:00,ETHBEAR/USD,5e-08,6e-08,5e-08,5e-08,90000000.0,4.5
