https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC,Volume USDT
1663459200,2022-09-18 00:00:00,MATIC/USDT,0.8283,0.8285,0.8212,0.8221,313115.88226919,258023.525551798944
1663372800,2022-09-17 00:00:00,MATIC/USDT,0.8067,0.8315,0.8049,0.828,5166667.5371062,4230370.816370459396
1663286400,2022-09-16 00:00:00,MATIC/USDT,0.8249,0.831,0.7871,0.8067,9381749.22612811,7586832.982232911158
1663200000,2022-09-15 00:00:00,MATIC/USDT,0.8647,0.876,0.8175,0.8246,12221791.58326814,10304147.376742814749
1663113600,2022-09-14 00:00:00,MATIC/USDT,0.8462,0.869,0.8303,0.8647,10925161.69379269,9331902.41931235926
1663027200,2022-09-13 00:00:00,MATIC/USDT,0.9303,0.9441,0.8394,0.8465,23899849.37587368,21266137.048334224037
1662940800,2022-09-12 00:00:00,MATIC/USDT,0.8938,0.9405,0.8719,0.9302,18537296.94962545,16894517.408309214874
1662854400,2022-09-11 00:00:00,MATIC/USDT,0.9059,0.9176,0.8761,0.8938,6699122.54095722,5997449.509877838577
1662768000,2022-09-10 00:00:00,MATIC/USDT,0.8905,0.9122,0.8781,0.9058,8332716.7474126,7451303.230969812239
1662681600,2022-09-09 00:00:00,MATIC/USDT,0.8449,0.9005,0.8421,0.8904,12905925.40713048,11343781.557913953105
1662595200,2022-09-08 00:00:00,MATIC/USDT,0.8407,0.85,0.8157,0.8446,11140982.79848505,9296669.805452925672
1662508800,2022-09-07 00:00:00,MATIC/USDT,0.8152,0.8508,0.7919,0.8405,12707272.40467694,10402485.661109685096
1662422400,2022-09-06 00:00:00,MATIC/USDT,0.882,0.9235,0.8112,0.8155,19408277.77280545,16912847.22982898987
1662336000,2022-09-05 00:00:00,MATIC/USDT,0.8949,0.903,0.8618,0.8817,6453491.42435361,5671432.265951684731
1662249600,2022-09-04 00:00:00,MATIC/USDT,0.8892,0.8986,0.8722,0.8949,8265834.36645363,7312420.920846872693
1662163200,2022-09-03 00:00:00,MATIC/USDT,0.8718,0.8906,0.8664,0.889,8941746.25490633,7851457.128618171073
1662076800,2022-09-02 00:00:00,MATIC/USDT,0.8845,0.9131,0.8628,0.8722,17725631.09220034,15698145.836963550777
1661990400,2022-09-01 00:00:00,MATIC/USDT,0.8327,0.8955,0.8219,0.8844,30610331.46103631,26370864.780769893485
1661904000,2022-08-31 00:00:00,MATIC/USDT,0.815,0.8568,0.815,0.8327,17804702.39306491,14837548.672549579222
1661817600,2022-08-30 00:00:00,MATIC/USDT,0.8165,0.845,0.7826,0.8149,20969022.19248649,17083788.266206465281
1661731200,2022-08-29 00:00:00,MATIC/USDT,0.7825,0.8212,0.7616,0.8166,19181566.53186452,15240438.813906892939
1661644800,2022-08-28 00:00:00,MATIC/USDT,0.8051,0.834,0.7774,0.7827,20140454.99248807,16337395.206080970599
1661558400,2022-08-27 00:00:00,MATIC/USDT,0.7653,0.8138,0.7556,0.805,22249459.80996979,17576563.34847414024
1661472000,2022-08-26 00:00:00,MATIC/USDT,0.8185,0.8474,0.7539,0.7653,23018318.4649297,18456045.334747339254
1661385600,2022-08-25 00:00:00,MATIC/USDT,0.8134,0.8321,0.8047,0.8183,10404441.63868198,8503446.694757900997
1661299200,2022-08-24 00:00:00,MATIC/USDT,0.8322,0.8403,0.8018,0.8132,11777416.43198358,9664407.978802413472
1661212800,2022-08-23 00:00:00,MATIC/USDT,0.8097,0.8371,0.7913,0.832,14770599.35918563,12065935.525664508719
1661126400,2022-08-22 00:00:00,MATIC/USDT,0.8206,0.8228,0.7687,0.8096,14649462.73664464,11626921.975044699462
1661040000,2022-08-21 00:00:00,MATIC/USDT,0.7864,0.8301,0.7789,0.8205,13441808.06831143,10823537.862282507631
1660953600,2022-08-20 00:00:00,MATIC/USDT,0.7693,0.8169,0.757,0.7864,23125804.51142515,18226016.072092177813
1660867200,2022-08-19 00:00:00,MATIC/USDT,0.8569,0.8581,0.7634,0.7693,30673551.39355212,24568435.609162257201
1660780800,2022-08-18 00:00:00,MATIC/USDT,0.8848,0.9093,0.8527,0.8568,14159958.28481626,12584565.048394186625
1660694400,2022-08-17 00:00:00,MATIC/USDT,0.9344,0.964,0.8764,0.8847,21336237.71273366,19466452.265985041764
1660608000,2022-08-16 00:00:00,MATIC/USDT,0.9504,0.9678,0.9242,0.9343,13793762.85427548,13045370.002336681788
1660521600,2022-08-15 00:00:00,MATIC/USDT,1.0005,1.0339,0.9305,0.9505,26417758.7993707,25618176.244366620005
1660435200,2022-08-14 00:00:00,MATIC/USDT,1.0256,1.0542,0.9858,1.0004,18439290.93940728,18827491.010001809804
1660348800,2022-08-13 00:00:00,MATIC/USDT,0.9345,1.0341,0.9293,1.0256,27831057.81706454,27722463.569260260299
1660262400,2022-08-12 00:00:00,MATIC/USDT,0.9209,0.9353,0.9057,0.9344,10547326.31193587,9721394.090795574706
1660176000,2022-08-11 00:00:00,MATIC/USDT,0.9381,0.9607,0.9157,0.9208,15640453.66629746,14676581.78170682739
1660089600,2022-08-10 00:00:00,MATIC/USDT,0.8907,0.9409,0.8705,0.9379,18368996.54469002,16755572.547125752583
1660003200,2022-08-09 00:00:00,MATIC/USDT,0.9218,0.9307,0.869,0.8907,16776663.35060075,15134091.763959557289
1659916800,2022-08-08 00:00:00,MATIC/USDT,0.9071,0.9519,0.9048,0.922,21098979.22533799,19654991.380120807489
1659830400,2022-08-07 00:00:00,MATIC/USDT,0.9078,0.9249,0.8926,0.907,9350981.84573265,8520648.93256418349
1659744000,2022-08-06 00:00:00,MATIC/USDT,0.9281,0.941,0.9025,0.9078,11816501.50555981,10901249.259179026642
1659657600,2022-08-05 00:00:00,MATIC/USDT,0.8918,0.9379,0.8893,0.928,24893591.32333139,22805256.20160980649
1659571200,2022-08-04 00:00:00,MATIC/USDT,0.8882,0.912,0.8752,0.8916,19791147.57224597,17686013.083768396531
1659484800,2022-08-03 00:00:00,MATIC/USDT,0.8766,0.926,0.8566,0.8881,26771832.11260838,23976154.446030858129
1659398400,2022-08-02 00:00:00,MATIC/USDT,0.8913,0.9062,0.8488,0.8768,34297172.80298789,30048561.517431488997
1659312000,2022-08-01 00:00:00,MATIC/USDT,0.9276,0.9469,0.8787,0.8913,32915498.42546151,29944255.997038513257
1659225600,2022-07-31 00:00:00,MATIC/USDT,0.931,1.018,0.9107,0.9277,38569269.81276872,37003308.188243265729
1659139200,2022-07-30 00:00:00,MATIC/USDT,0.9385,0.9842,0.9141,0.9309,29871910.67654094,28250152.331898835679
1659052800,2022-07-29 00:00:00,MATIC/USDT,0.9342,0.994,0.9044,0.9384,52900197.9105364,50219342.608612999945
1658966400,2022-07-28 00:00:00,MATIC/USDT,0.8971,0.975,0.8454,0.9341,58908496.35744267,53480583.145493011632
1658880000,2022-07-27 00:00:00,MATIC/USDT,0.7834,0.8987,0.7619,0.8972,48138252.99467556,40118492.18869191342
1658793600,2022-07-26 00:00:00,MATIC/USDT,0.7703,0.7851,0.7222,0.7833,32491614.56786342,24500844.632559153313
1658707200,2022-07-25 00:00:00,MATIC/USDT,0.8794,0.8847,0.7678,0.7702,31281127.6489121,25852881.32883662789
1658620800,2022-07-24 00:00:00,MATIC/USDT,0.871,0.911,0.8467,0.8794,24515088.95390761,21486881.38498346635
1658534400,2022-07-23 00:00:00,MATIC/USDT,0.8511,0.888,0.814,0.8709,23849165.45161216,20243090.090436185379
1658448000,2022-07-22 00:00:00,MATIC/USDT,0.9056,0.935,0.8447,0.8511,31482879.68911589,28006424.579417747833
1658361600,2022-07-21 00:00:00,MATIC/USDT,0.8315,0.9291,0.7968,0.9058,49451144.12506856,42896344.843545991113
1658275200,2022-07-20 00:00:00,MATIC/USDT,0.9256,0.953,0.81,0.8316,54000664.79362121,47803511.927023797003
1658188800,2022-07-19 00:00:00,MATIC/USDT,0.959,0.98,0.8827,0.9256,51042587.60809278,47128245.928477587089
1658102400,2022-07-18 00:00:00,MATIC/USDT,0.7529,0.9847,0.7452,0.9588,83704702.80284031,75124426.404519738346
1658016000,2022-07-17 00:00:00,MATIC/USDT,0.7293,0.7902,0.7185,0.7528,30054715.81839143,22845694.321168433821
1657929600,2022-07-16 00:00:00,MATIC/USDT,0.7034,0.7445,0.6825,0.7295,28597785.9694588,20479746.572563242614
1657843200,2022-07-15 00:00:00,MATIC/USDT,0.7097,0.7356,0.6741,0.7036,40036966.51209931,28125011.155181275269
1657756800,2022-07-14 00:00:00,MATIC/USDT,0.639,0.7192,0.6134,0.7097,60179461.00341581,39481691.565182858836
1657670400,2022-07-13 00:00:00,MATIC/USDT,0.536,0.6454,0.52,0.639,38751167.52218937,22031927.057773967141
1657584000,2022-07-12 00:00:00,MATIC/USDT,0.563,0.5933,0.5336,0.5359,34715095.29085839,19652618.85452552581
1657497600,2022-07-11 00:00:00,MATIC/USDT,0.5715,0.598,0.5365,0.5629,23191757.41001973,13204155.237060899713
1657411200,2022-07-10 00:00:00,MATIC/USDT,0.5898,0.5901,0.5527,0.5707,14656238.6026453,8361820.003453208424
1657324800,2022-07-09 00:00:00,MATIC/USDT,0.606,0.6119,0.5821,0.5898,14206160.31546085,8445753.130516714182
1657238400,2022-07-08 00:00:00,MATIC/USDT,0.563,0.62,0.5555,0.6061,31988819.31358628,18720149.981949988599
