https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RAD,Volume EUR
1663545600,2022-09-19 00:00:00,RAD/EUR,2.17,2.17,2.17,2.17,0.00,0.0
1663459200,2022-09-18 00:00:00,RAD/EUR,2.23,2.23,2.15,2.17,371.69,806.5672999999999
1663372800,2022-09-17 00:00:00,RAD/EUR,2.14,2.18,2.14,2.18,236.84,516.3112000000001
1663286400,2022-09-16 00:00:00,RAD/EUR,2.23,2.29,2.12,2.12,799.59,1695.1308000000001
1663200000,2022-09-15 00:00:00,RAD/EUR,2.32,2.32,2.27,2.27,1323.37,3004.0499
1663113600,2022-09-14 00:00:00,RAD/EUR,2.33,2.33,2.30,2.32,153.88,357.00159999999994
1663027200,2022-09-13 00:00:00,RAD/EUR,2.45,2.45,2.34,2.34,249.75,584.415
1662940800,2022-09-12 00:00:00,RAD/EUR,2.60,2.60,2.45,2.45,627.48,1537.3260000000002
1662854400,2022-09-11 00:00:00,RAD/EUR,2.57,2.64,2.57,2.64,79.49,209.8536
1662768000,2022-09-10 00:00:00,RAD/EUR,2.60,2.60,2.57,2.58,190.43,491.30940000000004
1662681600,2022-09-09 00:00:00,RAD/EUR,2.61,2.68,2.55,2.55,799.71,2039.2604999999999
1662595200,2022-09-08 00:00:00,RAD/EUR,2.80,3.00,2.60,2.60,2766.25,7192.25
1662508800,2022-09-07 00:00:00,RAD/EUR,2.50,2.72,2.50,2.65,1150.84,3049.7259999999997
1662422400,2022-09-06 00:00:00,RAD/EUR,2.31,2.33,2.31,2.33,170.56,397.4048
1662336000,2022-09-05 00:00:00,RAD/EUR,2.30,2.33,2.30,2.33,372.92,868.9036000000001
1662249600,2022-09-04 00:00:00,RAD/EUR,2.38,2.38,2.38,2.38,30.16,71.7808
1662163200,2022-09-03 00:00:00,RAD/EUR,2.32,2.33,2.30,2.30,300.39,690.8969999999999
1662076800,2022-09-02 00:00:00,RAD/EUR,2.43,2.43,2.30,2.30,375.36,863.328
1661990400,2022-09-01 00:00:00,RAD/EUR,2.12,2.34,2.11,2.27,1084.13,2460.9751
1661904000,2022-08-31 00:00:00,RAD/EUR,2.11,2.14,2.11,2.14,104.04,222.64560000000003
1661817600,2022-08-30 00:00:00,RAD/EUR,2.09,2.09,2.09,2.09,0.00,0.0
1661731200,2022-08-29 00:00:00,RAD/EUR,2.09,2.09,2.09,2.09,7.09,14.8181
1661644800,2022-08-28 00:00:00,RAD/EUR,2.16,2.27,2.16,2.27,82.71,187.7517
1661558400,2022-08-27 00:00:00,RAD/EUR,2.20,2.20,2.15,2.15,152.68,328.262
1661472000,2022-08-26 00:00:00,RAD/EUR,2.34,2.36,2.27,2.27,233.43,529.8861
1661385600,2022-08-25 00:00:00,RAD/EUR,2.34,2.34,2.34,2.34,42.19,98.7246
1661299200,2022-08-24 00:00:00,RAD/EUR,2.32,2.35,2.32,2.32,531.41,1232.8711999999998
1661212800,2022-08-23 00:00:00,RAD/EUR,2.31,2.32,2.29,2.29,162.90,373.041
1661126400,2022-08-22 00:00:00,RAD/EUR,2.27,2.29,2.27,2.29,252.77,578.8433
1661040000,2022-08-21 00:00:00,RAD/EUR,2.33,2.33,2.33,2.33,0.00,0.0
1660953600,2022-08-20 00:00:00,RAD/EUR,2.33,2.33,2.33,2.33,5.09,11.8597
1660867200,2022-08-19 00:00:00,RAD/EUR,2.28,2.56,2.28,2.43,566.05,1375.5015
1660780800,2022-08-18 00:00:00,RAD/EUR,2.45,2.45,2.45,2.45,70.34,172.33300000000003
1660694400,2022-08-17 00:00:00,RAD/EUR,2.38,2.67,2.30,2.30,426.02,979.8459999999999
1660608000,2022-08-16 00:00:00,RAD/EUR,2.32,2.34,2.29,2.32,1051.09,2438.5287999999996
1660521600,2022-08-15 00:00:00,RAD/EUR,2.44,2.44,2.43,2.43,431.56,1048.6908
1660435200,2022-08-14 00:00:00,RAD/EUR,2.57,2.57,2.56,2.56,155.18,397.2608
1660348800,2022-08-13 00:00:00,RAD/EUR,2.56,2.56,2.55,2.55,147.31,375.6405
1660262400,2022-08-12 00:00:00,RAD/EUR,2.52,2.52,2.52,2.52,0.00,0.0
1660176000,2022-08-11 00:00:00,RAD/EUR,2.52,2.52,2.52,2.52,70.89,178.6428
1660089600,2022-08-10 00:00:00,RAD/EUR,2.48,2.54,2.48,2.52,405.92,1022.9184
1660003200,2022-08-09 00:00:00,RAD/EUR,2.69,2.78,2.53,2.66,884.27,2352.1582
1659916800,2022-08-08 00:00:00,RAD/EUR,2.58,2.64,2.45,2.50,628.95,1572.375
1659830400,2022-08-07 00:00:00,RAD/EUR,2.40,2.45,2.40,2.45,52.67,129.0415
1659744000,2022-08-06 00:00:00,RAD/EUR,2.47,2.47,2.45,2.46,104.00,255.84
1659657600,2022-08-05 00:00:00,RAD/EUR,2.43,2.45,2.43,2.45,133.31,326.6095
1659571200,2022-08-04 00:00:00,RAD/EUR,2.50,2.50,2.37,2.43,648.17,1575.0531
