https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume POL,Volume USDT
1663459200,2022-09-18 00:00:00,POL/USDT,0.02369,0.0237,0.02368,0.02369,318168.9691,7537.420569085
1663372800,2022-09-17 00:00:00,POL/USDT,0.02484,0.025,0.02368,0.02369,13429316.8484,329948.660225767
1663286400,2022-09-16 00:00:00,POL/USDT,0.02371,0.025,0.02302,0.02487,12040737.8321,290543.43995712
1663200000,2022-09-15 00:00:00,POL/USDT,0.02294,0.025,0.0229,0.02371,13027339.6487,305012.747682488
1663113600,2022-09-14 00:00:00,POL/USDT,0.02335,0.02342,0.0229,0.02298,13495277.6555,311855.03821949
1663027200,2022-09-13 00:00:00,POL/USDT,0.02383,0.02412,0.02312,0.02334,13451228.5023,318058.422068193
1662940800,2022-09-12 00:00:00,POL/USDT,0.02433,0.02506,0.02335,0.02373,13344891.9959,322111.633514662
1662854400,2022-09-11 00:00:00,POL/USDT,0.02425,0.0259,0.02406,0.02436,13325341.2555,329066.146405644
1662768000,2022-09-10 00:00:00,POL/USDT,0.02422,0.025,0.02347,0.02423,13456095.3437,326858.535076193
1662681600,2022-09-09 00:00:00,POL/USDT,0.02386,0.0248,0.02366,0.02419,13637931.7056,328910.444573607
1662595200,2022-09-08 00:00:00,POL/USDT,0.02341,0.02418,0.0231,0.02386,13296553.15455308,314308.8834733566788
1662508800,2022-09-07 00:00:00,POL/USDT,0.02313,0.02417,0.02303,0.02338,14778720.9375,344614.078888878
1662422400,2022-09-06 00:00:00,POL/USDT,0.02364,0.02417,0.02307,0.0231,12959377.4727,305178.568404323
1662336000,2022-09-05 00:00:00,POL/USDT,0.02375,0.024,0.02349,0.02362,13892976.2265,330515.986376824
1662249600,2022-09-04 00:00:00,POL/USDT,0.02408,0.02427,0.02349,0.02391,13772850.0263,330454.967286054
1662163200,2022-09-03 00:00:00,POL/USDT,0.0248,0.02492,0.02405,0.02409,12838194.0919,313661.892177167
1662076800,2022-09-02 00:00:00,POL/USDT,0.02471,0.02539,0.0245,0.02481,14013197.2174,346993.226095238
1661990400,2022-09-01 00:00:00,POL/USDT,0.02495,0.0251,0.0245,0.02468,13205919.9333,326122.595765895
1661904000,2022-08-31 00:00:00,POL/USDT,0.02413,0.02504,0.02412,0.02489,11802409.3202,291303.986807403
1661817600,2022-08-30 00:00:00,POL/USDT,0.0242,0.02467,0.024,0.02412,13611027.3937,330120.163734147
