https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT
1659225600,2022-07-31 00:00:00,ETH/USDT,1695.6635492,1712.8751915,1686.79969276,1704.99657971,246584.35846545,144.72191483
1659139200,2022-07-30 00:00:00,ETH/USDT,1721.61267984,1743.01734365,1675.636368,1695.88151146,9892348.32216978,5783.67301428
1659052800,2022-07-29 00:00:00,ETH/USDT,1724.93217367,1764.89245615,1656.19301912,1721.32496102,9028013.59578436,5272.760109
1658966400,2022-07-28 00:00:00,ETH/USDT,1636.57689914,1782.81250006,1597.34216526,1725.44756679,12837417.07647757,7731.76986464
1658880000,2022-07-27 00:00:00,ETH/USDT,1450.09898361,1642.8,1421.1398338,1636.0205114,14579342.15540618,9506.7542785
1658793600,2022-07-26 00:00:00,ETH/USDT,1439.70988762,1454.403936,1356.73234105,1451.30141454,11948382.26575719,8505.30341402
1658707200,2022-07-25 00:00:00,ETH/USDT,1597.724135,1607.95740444,1436.62873321,1439.30338657,8567183.03892343,5695.5244785
1658620800,2022-07-24 00:00:00,ETH/USDT,1548.79609607,1662.78261679,1547.23486598,1598.15828916,11155828.16682438,6991.9064023
1658534400,2022-07-23 00:00:00,ETH/USDT,1535.38966342,1596.37718125,1489.59115549,1549.07764585,7230743.34494497,4702.56347451
1658448000,2022-07-22 00:00:00,ETH/USDT,1575.87281449,1645.03045921,1517.71929331,1535.57644134,11892025.32461005,7500.31129317
1658361600,2022-07-21 00:00:00,ETH/USDT,1521.4510552,1604.99999999,1465.38704746,1575.67686182,7156517.00849409,4682.42173667
1658275200,2022-07-20 00:00:00,ETH/USDT,1543.53636152,1620.37301865,1486.23905096,1521.77305231,9150769.42546507,5872.8442102
1658188800,2022-07-19 00:00:00,ETH/USDT,1582.43305778,1630.0,1493.73473994,1542.90932033,10514566.97481091,6780.05439314
1658102400,2022-07-18 00:00:00,ETH/USDT,1338.12610655,1595.16255666,1337.52287396,1580.97847098,12793110.90475902,8720.53604413
1658016000,2022-07-17 00:00:00,ETH/USDT,1356.38413735,1385.06839145,1320.0,1338.22230679,7697556.55615749,5688.0245238
1657929600,2022-07-16 00:00:00,ETH/USDT,1230.87623927,1420.0,1192.58615129,1356.19913507,7754871.46164202,5997.59582112
1657843200,2022-07-15 00:00:00,ETH/USDT,1192.52691444,1287.96862527,1180.13602634,1231.67651414,7441804.35713454,6064.01360521
1657756800,2022-07-14 00:00:00,ETH/USDT,1114.78709973,1212.13630494,1072.74131077,1192.74995856,8764335.75360157,7709.57361572
1657670400,2022-07-13 00:00:00,ETH/USDT,1040.02181059,1118.47461295,1007.75457616,1115.62266384,8971911.38416391,8468.82919846
1657584000,2022-07-12 00:00:00,ETH/USDT,1096.06327863,1097.88729623,1034.77315288,1037.81024362,5206081.34544333,4835.2215121
1657497600,2022-07-11 00:00:00,ETH/USDT,1168.12587775,1170.83161362,1092.34265015,1096.38275038,3724699.1628618,3266.4752628
1657411200,2022-07-10 00:00:00,ETH/USDT,1217.05729423,1219.61046735,1153.1851,1167.62175404,3784517.12356739,3206.65004497
1657324800,2022-07-09 00:00:00,ETH/USDT,1214.99993994,1233.04063727,1204.99835337,1216.92724501,2572482.81109418,2112.73698285
1657238400,2022-07-08 00:00:00,ETH/USDT,1237.25014753,1275.0,1193.59068518,1214.84441378,6730376.52864676,5468.56818275
1657152000,2022-07-07 00:00:00,ETH/USDT,1186.60610449,1253.62402912,1163.55263851,1237.80296137,5225389.82559234,4309.30474066
1657065600,2022-07-06 00:00:00,ETH/USDT,1132.3391435,1204.25883642,1111.11577057,1186.30959558,7323591.78111345,6391.93941353
1656979200,2022-07-05 00:00:00,ETH/USDT,1151.13758223,1172.30065105,1078.5817891,1132.70494252,5513791.618363,4866.88018302
1656892800,2022-07-04 00:00:00,ETH/USDT,1074.10426943,1160.42830938,1045.43121892,1150.83093327,5505533.80557188,4958.97772846
1656806400,2022-07-03 00:00:00,ETH/USDT,1067.33997576,1086.9516516,1041.07990554,1074.2255995,1795087.4491488,1688.49949719
1656720000,2022-07-02 00:00:00,ETH/USDT,1060.1,1078.62794972,1029.40337603,1066.81316554,2896917.23824895,2750.65966457
1656633600,2022-07-01 00:00:00,ETH/USDT,1071.18877696,1115.40354169,1034.02389256,1059.3740447,6442679.00932773,6021.20962103
