https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume WAVES
1663545600000,2022-09-19 00:00:00,WAVES/ETH,0.00290844,0.00291462,0.00289272,0.00289984,7.035794796799999,2426.27
1663459200000,2022-09-18 00:00:00,WAVES/ETH,0.00297443,0.00305,0.00277757,0.00291727,137.99052883132956,47301.25385423
1663372800000,2022-09-17 00:00:00,WAVES/ETH,0.00300465,0.00302953,0.00295004,0.00297659,131.16866936056897,44066.75738364
1663286400000,2022-09-16 00:00:00,WAVES/ETH,0.00286526,0.0030285,0.0028485,0.00300567,133.58020483906077,44442.73817121
1663200000000,2022-09-15 00:00:00,WAVES/ETH,0.00272744,0.00288486,0.00266012,0.00286629,126.09644892323239,43992.91380957
1663113600000,2022-09-14 00:00:00,WAVES/ETH,0.00278033,0.00279222,0.00270447,0.0027126,96.23226829811404,35476.02606286
1663027200000,2022-09-13 00:00:00,WAVES/ETH,0.00283133,0.0028392,0.00270888,0.00277719,113.50676543453184,40871.08387778
1662940800000,2022-09-12 00:00:00,WAVES/ETH,0.00278124,0.00285833,0.00272743,0.00282408,121.33570164969352,42964.68288777
1662854400000,2022-09-11 00:00:00,WAVES/ETH,0.00280795,0.00291294,0.00274459,0.00278277,121.41546788713481,43631.15452845
1662768000000,2022-09-10 00:00:00,WAVES/ETH,0.00274249,0.00304092,0.00268986,0.00278973,121.6173110563374,43594.65290775
1662681600000,2022-09-09 00:00:00,WAVES/ETH,0.00273342,0.00279158,0.00268267,0.00274045,118.3142321648991,43173.28619931
1662595200000,2022-09-08 00:00:00,WAVES/ETH,0.00270684,0.00273559,0.00267765,0.00272887,123.70053386358417,45330.31396277
1662508800000,2022-09-07 00:00:00,WAVES/ETH,0.0027324,0.0028392,0.00267823,0.00270356,119.81316362954817,44316.81324977
1662422400000,2022-09-06 00:00:00,WAVES/ETH,0.00284127,0.00300641,0.0027,0.00273259,125.83090688582557,46048.22051088
1662336000000,2022-09-05 00:00:00,WAVES/ETH,0.00292201,0.00297595,0.00282024,0.00283227,116.83145722728486,41250.11288729
1662249600000,2022-09-04 00:00:00,WAVES/ETH,0.00289024,0.0030085,0.00289024,0.0029204,126.47289149629448,43306.70164919
1662163200000,2022-09-03 00:00:00,WAVES/ETH,0.0028518,0.00291194,0.00284234,0.00289177,127.89315785974752,44226.60096057
1662076800000,2022-09-02 00:00:00,WAVES/ETH,0.00286711,0.00287846,0.00278076,0.0028523,120.40577014338864,42213.57155397
1661990400000,2022-09-01 00:00:00,WAVES/ETH,0.00289027,0.00300827,0.00284756,0.00286251,127.49724173788893,44540.36553161
1661904000000,2022-08-31 00:00:00,WAVES/ETH,0.00293156,0.00293156,0.0028402,0.00289572,123.59392015442407,42681.58528947
1661817600000,2022-08-30 00:00:00,WAVES/ETH,0.0029571,0.00298348,0.00286533,0.00293444,135.4797153279355,46168.84834174
1661731200000,2022-08-29 00:00:00,WAVES/ETH,0.00305085,0.00309932,0.00293836,0.00295131,129.37159601773925,43835.31246048
1661644800000,2022-08-28 00:00:00,WAVES/ETH,0.00303399,0.00307175,0.00302353,0.0030493,137.00737825717317,44930.76386619
1661558400000,2022-08-27 00:00:00,WAVES/ETH,0.00302369,0.00308983,0.00298583,0.00303696,133.2158192896491,43864.85804543
1661472000000,2022-08-26 00:00:00,WAVES/ETH,0.00300465,0.00303071,0.00292814,0.00302367,142.44198129462865,47108.97065309
1661385600000,2022-08-25 00:00:00,WAVES/ETH,0.00305854,0.00307139,0.00295856,0.00301032,127.12704741691977,42230.40986238
1661299200000,2022-08-24 00:00:00,WAVES/ETH,0.0030813,0.00324508,0.0030452,0.00305889,136.27955899000213,44551.96459827
1661212800000,2022-08-23 00:00:00,WAVES/ETH,0.00297046,0.00316154,0.00295293,0.00309018,140.95288294346946,45613.16264537
1661126400000,2022-08-22 00:00:00,WAVES/ETH,0.00305885,0.00305885,0.00304031,0.00305074,6.6062554404,2165.46
1661040000000,2022-08-21 00:00:00,WAVES/ETH,0.00307657,0.00308754,0.00300802,0.0030596,135.60091778454552,44319.81886016
1660953600000,2022-08-20 00:00:00,WAVES/ETH,0.00304252,0.00308508,0.00299606,0.00307921,135.72625579520815,44078.27195781
1660867200000,2022-08-19 00:00:00,WAVES/ETH,0.00291166,0.00304194,0.00284306,0.00303505,135.90606747636375,44778.85618898
1660780800000,2022-08-18 00:00:00,WAVES/ETH,0.00305992,0.00307478,0.00284231,0.00292095,135.03602946838484,46230.17493226
