https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BULL,Volume USDT
1663545600000.0,2022-09-19 00:00:00,BULL/USDT,90.325,90.675,89.95,90.275,33.471244807532536,3021.616625
1663459200000.0,2022-09-18 00:00:00,BULL/USDT,100.725,100.825,89.275,90.325,4011.5340110711318,362341.80955
1663372800000.0,2022-09-17 00:00:00,BULL/USDT,95.875,101.475,95.575,100.725,2102.3922648299827,211763.460875
1663286400000.0,2022-09-16 00:00:00,BULL/USDT,94.65,97.2,89.3,95.875,6690.305423468058,641433.032475
1663200000000.0,2022-09-15 00:00:00,BULL/USDT,102.65,104.075,91.4,94.65,13166.622752245112,1246220.8435
1663113600000.0,2022-09-14 00:00:00,BULL/USDT,102.0,107.35,93.925,102.65,13869.361881149536,1423689.9971
1663027200000.0,2022-09-13 00:00:00,BULL/USDT,146.8,154.0,98.2,102.0,17067.723906372546,1740907.83845
1662940800000.0,2022-09-12 00:00:00,BULL/USDT,136.45,148.3,131.35,146.8,8205.882625681199,1204623.56945
1662854400000.0,2022-09-11 00:00:00,BULL/USDT,133.35,136.7,128.0,136.45,3043.0130516672775,415219.1309
1662768000000.0,2022-09-10 00:00:00,BULL/USDT,128.05,135.75,124.1,133.35,4394.350534308212,585986.64375
1662681600000.0,2022-09-09 00:00:00,BULL/USDT,97.225,131.55,96.9,128.05,11133.24491800078,1425612.01175
1662595200000.0,2022-09-08 00:00:00,BULL/USDT,96.825,99.6,92.85,97.225,3993.9896927230657,388315.647875
1662508800000.0,2022-09-07 00:00:00,BULL/USDT,89.975,99.275,85.85,96.825,6442.8061629228,623824.706725
1662422400000.0,2022-09-06 00:00:00,BULL/USDT,105.95,111.85,88.325,89.975,14075.446193664908,1266438.271275
1662336000000.0,2022-09-05 00:00:00,BULL/USDT,109.3,109.95,103.6,105.95,1233.756442189712,130716.49505
1662249600000.0,2022-09-04 00:00:00,BULL/USDT,106.65,109.7,102.75,109.3,1592.5436697163768,174065.0231
