https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BURGER,Volume USDT
1663459200,2022-09-18 00:00:00,BURGER/USDT,1.0473,1.0473,1.039,1.039,3160.8721,3293.61358286
1663372800,2022-09-17 00:00:00,BURGER/USDT,1.0175,1.0692,1.0174,1.048,52398.26950901,54620.069043025937
1663286400,2022-09-16 00:00:00,BURGER/USDT,1.036,1.0627,0.9918,1.0133,84025.37057145,86153.406546649725
1663200000,2022-09-15 00:00:00,BURGER/USDT,1.1006,1.1036,1.0266,1.0367,68277.31435371,72263.979198035005
1663113600,2022-09-14 00:00:00,BURGER/USDT,1.05,1.225,1.0439,1.1006,233852.84036673,258839.591902217518
1663027200,2022-09-13 00:00:00,BURGER/USDT,1.1233,1.1262,1.0301,1.0483,114502.79727771,122975.074999481873
1662940800,2022-09-12 00:00:00,BURGER/USDT,1.1374,1.1465,1.0986,1.1251,86542.94297515,97618.052982317237
1662854400,2022-09-11 00:00:00,BURGER/USDT,1.1423,1.1599,1.1301,1.1406,74936.61773579,85508.200370559908
1662768000,2022-09-10 00:00:00,BURGER/USDT,1.1535,1.1669,1.0843,1.1402,255794.97318273,289914.219505057444
1662681600,2022-09-09 00:00:00,BURGER/USDT,1.1001,1.2546,1.099,1.1567,395884.58020289,454555.529353839048
1662595200,2022-09-08 00:00:00,BURGER/USDT,1.1139,1.1211,1.0793,1.0985,142621.41593583,156578.176169098663
1662508800,2022-09-07 00:00:00,BURGER/USDT,1.0625,1.1646,1.0373,1.1123,115362.6352626,126155.605954089604
1662422400,2022-09-06 00:00:00,BURGER/USDT,1.1293,1.154,1.0437,1.0614,123735.49352086,137444.030484429373
1662336000,2022-09-05 00:00:00,BURGER/USDT,1.1391,1.1657,1.1112,1.1305,87748.66972512,99400.328331366927
1662249600,2022-09-04 00:00:00,BURGER/USDT,1.1178,1.264,1.116,1.1384,210133.04851118,246271.799849532231
1662163200,2022-09-03 00:00:00,BURGER/USDT,1.1168,1.2352,1.1067,1.1177,61996.02120326,69749.935960860866
1662076800,2022-09-02 00:00:00,BURGER/USDT,1.1203,1.2589,1.11,1.1186,110542.23167742,124919.624950376632
1661990400,2022-09-01 00:00:00,BURGER/USDT,1.1468,1.1668,1.0884,1.1159,106249.75424068,117789.500720494328
1661904000,2022-08-31 00:00:00,BURGER/USDT,1.1399,1.1879,1.1196,1.1449,101002.60164172,116041.664843794924
1661817600,2022-08-30 00:00:00,BURGER/USDT,1.0936,1.4376,1.0845,1.1376,596844.15617661,744797.130133876737
1661731200,2022-08-29 00:00:00,BURGER/USDT,1.0211,1.1038,1.0177,1.0945,70027.96405368,74403.230170133866
1661644800,2022-08-28 00:00:00,BURGER/USDT,1.0824,1.099,1.0179,1.0213,52523.72736598,56362.360385940271
1661558400,2022-08-27 00:00:00,BURGER/USDT,1.0939,1.1759,1.0641,1.0824,97340.24862363,107295.987085928217
1661472000,2022-08-26 00:00:00,BURGER/USDT,1.1862,1.1885,1.0823,1.0971,78483.14163817,89056.317604579754
1661385600,2022-08-25 00:00:00,BURGER/USDT,1.1701,1.2519,1.1701,1.1874,97084.97547263,116579.436762608414
1661299200,2022-08-24 00:00:00,BURGER/USDT,1.1837,1.2103,1.1519,1.1707,99611.10851492,117596.951479213246
1661212800,2022-08-23 00:00:00,BURGER/USDT,1.1803,1.2174,1.1516,1.1827,104233.9441296,123528.407426015636
1661126400,2022-08-22 00:00:00,BURGER/USDT,1.2185,1.2188,1.1183,1.1818,110724.73817784,128029.382871756492
1661040000,2022-08-21 00:00:00,BURGER/USDT,1.28,1.297,1.1867,1.2156,267042.24637947,327113.462378032855
1660953600,2022-08-20 00:00:00,BURGER/USDT,1.0759,1.506,1.0759,1.2796,712159.04238599,935216.723698177868
1660867200,2022-08-19 00:00:00,BURGER/USDT,1.3135,1.3135,1.0562,1.0751,255297.02855683,301651.686050420822
1660780800,2022-08-18 00:00:00,BURGER/USDT,1.4213,1.4529,1.3044,1.3136,196370.91577467,272818.991515848223
