https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PHNX,Volume BTC
1663459200,2022-09-18 00:00:00,PHNX/BTC,0.0000003511,0.0000003559,0.0000003511,0.0000003559,12598.4527,0.00447190822685
1663372800,2022-09-17 00:00:00,PHNX/BTC,0.00000035,0.0000004068,0.0000003448,0.0000003487,1267596.4663,0.48952374385985
1663286400,2022-09-16 00:00:00,PHNX/BTC,0.000000342,0.000000375,0.0000003221,0.00000035,1721132.4274,0.59478882859613
1663200000,2022-09-15 00:00:00,PHNX/BTC,0.0000003451,0.0000003786,0.0000003277,0.000000345,386207.7242,0.13743438652111
1663113600,2022-09-14 00:00:00,PHNX/BTC,0.0000003276,0.0000003634,0.000000322,0.0000003491,520626.5353,0.18049900519334
1663027200,2022-09-13 00:00:00,PHNX/BTC,0.0000002678,0.000000431,0.0000002671,0.000000329,2499627.5123,0.86536772535168
1662940800,2022-09-12 00:00:00,PHNX/BTC,0.0000003138,0.0000003185,0.0000002647,0.00000027,1132945.7313,0.32740338188899
1662854400,2022-09-11 00:00:00,PHNX/BTC,0.0000003331,0.0000003531,0.0000003046,0.0000003092,1476303.6362,0.49487971368258
1662768000,2022-09-10 00:00:00,PHNX/BTC,0.0000003209,0.0000004426,0.0000002989,0.0000003331,3195452.8139,1.24058300563875
1662681600,2022-09-09 00:00:00,PHNX/BTC,0.0000003839,0.0000003843,0.0000002875,0.000000316,3103071.901,1.09704561474224
1662595200,2022-09-08 00:00:00,PHNX/BTC,0.0000003497,0.00000062,0.00000034,0.0000003884,3808464.5307,1.60244979594419
1662508800,2022-09-07 00:00:00,PHNX/BTC,0.0000002748,0.0000006989,0.0000002624,0.00000034,3217517.3788,1.44611221082329
1662422400,2022-09-06 00:00:00,PHNX/BTC,0.00000027,0.0000002763,0.000000265,0.0000002748,42592.1042,0.01157870892289
