https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AMB,Volume BTC
1663459200,2022-09-18 00:00:00,AMB/BTC,0.0000012292,0.0000012292,0.000001181,0.000001181,30693.8017,0.03691770132139
1663372800,2022-09-17 00:00:00,AMB/BTC,0.000001145,0.000001391,0.0000011158,0.0000012351,2167651.8889,2.64419687380677
1663286400,2022-09-16 00:00:00,AMB/BTC,0.0000013186,0.0000015102,0.0000010726,0.000001145,3684722.135,4.51650016039004
1663200000,2022-09-15 00:00:00,AMB/BTC,0.000001338,0.0000014679,0.0000011208,0.0000013218,7523592.043,9.82581526125467
1663113600,2022-09-14 00:00:00,AMB/BTC,0.000001753,0.0000019182,0.0000012872,0.0000013325,4706486.1858,7.14159986276611
1663027200,2022-09-13 00:00:00,AMB/BTC,0.0000014861,0.0000020767,0.0000013128,0.0000017456,11882062.2417,20.17387860723002
1662940800,2022-09-12 00:00:00,AMB/BTC,0.0000011806,0.00000178,0.00000114,0.0000015008,13029240.8654,19.78609755353021
1662854400,2022-09-11 00:00:00,AMB/BTC,0.0000009876,0.0000013528,0.0000009571,0.0000011712,8488272.4794,9.77967585401379
1662768000,2022-09-10 00:00:00,AMB/BTC,0.0000009,0.0000013007,0.0000008301,0.0000009886,6294585.1226,6.44190165272895
1662681600,2022-09-09 00:00:00,AMB/BTC,0.0000013972,0.000001893,0.0000008279,0.0000008973,16338972.2851,20.62522996326864
1662595200,2022-09-08 00:00:00,AMB/BTC,0.0000005227,0.00000193,0.0000004899,0.0000013824,41130444.7368,52.794450237766253105
1662508800,2022-09-07 00:00:00,AMB/BTC,0.0000004506,0.0000005654,0.00000045,0.0000005227,3399163.1178,1.7276765471677
1662422400,2022-09-06 00:00:00,AMB/BTC,0.0000004637,0.00000051,0.0000004501,0.0000004504,1235274.8537,0.57587796903339
1662336000,2022-09-05 00:00:00,AMB/BTC,0.0000004897,0.0000004934,0.0000004563,0.000000461,305067.1422,0.14326934853414
1662249600,2022-09-04 00:00:00,AMB/BTC,0.0000004894,0.0000005073,0.0000004804,0.0000004889,224352.8555,0.11058583198468
1662163200,2022-09-03 00:00:00,AMB/BTC,0.0000004733,0.0000005143,0.0000004638,0.0000004894,1136005.6748,0.54801619766503
