https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FLY,Volume USDT
1663462800,2022-09-18 01:00:00,FLY/USDT,0.002357,0.002359,0.002351,0.002355,4463712.8614,10515.6361503419
1663459200,2022-09-18 00:00:00,FLY/USDT,0.00236,0.00237,0.00235,0.002362,23264585.501,54847.6201482933
1663455600,2022-09-17 23:00:00,FLY/USDT,0.002402,0.002404,0.002356,0.002361,24426278.45,58072.891384717
1663452000,2022-09-17 22:00:00,FLY/USDT,0.002484,0.002487,0.002386,0.002402,29676737.6172,72042.8507679425
1663448400,2022-09-17 21:00:00,FLY/USDT,0.00262,0.002674,0.002445,0.002485,40746567.2281,102661.9181913602
1663444800,2022-09-17 20:00:00,FLY/USDT,0.002529,0.002688,0.002516,0.002625,54268734.1815,141106.7531958489
1663441200,2022-09-17 19:00:00,FLY/USDT,0.002431,0.002532,0.002423,0.002532,39608662.7801,98328.2546732814
1663437600,2022-09-17 18:00:00,FLY/USDT,0.002445,0.002568,0.002401,0.002424,37017963.7828,91645.136490629
1663434000,2022-09-17 17:00:00,FLY/USDT,0.002257,0.002595,0.002256,0.002442,72257320.6327,174848.1093011434
1663430400,2022-09-17 16:00:00,FLY/USDT,0.002263,0.002267,0.002245,0.00226,25878577.0374,58317.1043891731
1663426800,2022-09-17 15:00:00,FLY/USDT,0.002276,0.002278,0.002246,0.002258,23753595.5295,53680.3263364393
1663423200,2022-09-17 14:00:00,FLY/USDT,0.002351,0.0024,0.002248,0.002273,30219490.8112,69664.548895409
1663419600,2022-09-17 13:00:00,FLY/USDT,0.002218,0.002368,0.002214,0.002351,34790715.3409,79560.2798976809
1663416000,2022-09-17 12:00:00,FLY/USDT,0.002206,0.002225,0.002205,0.002218,25228167.5188,55885.2335308688
1663412400,2022-09-17 11:00:00,FLY/USDT,0.002226,0.002231,0.002192,0.002206,21457469.5094,47453.4724172437
1663408800,2022-09-17 10:00:00,FLY/USDT,0.002207,0.002228,0.0022,0.002223,24099790.0742,53285.125787797
1663405200,2022-09-17 09:00:00,FLY/USDT,0.002242,0.002247,0.002207,0.002207,25928015.1119,57918.6306593163
1663401600,2022-09-17 08:00:00,FLY/USDT,0.002222,0.002247,0.002204,0.002247,25166826.4488,56203.7538865915
1663398000,2022-09-17 07:00:00,FLY/USDT,0.002254,0.002269,0.0022,0.002222,35194809.6544,78946.7520386565
1663394400,2022-09-17 06:00:00,FLY/USDT,0.00228,0.002287,0.002255,0.002255,24262361.6313,55271.8970417508
1663390800,2022-09-17 05:00:00,FLY/USDT,0.002284,0.002294,0.002272,0.002284,22850806.748,52198.0217479272
1663387200,2022-09-17 04:00:00,FLY/USDT,0.002287,0.002295,0.00228,0.002285,22949637.1242,52468.6166560131
1663383600,2022-09-17 03:00:00,FLY/USDT,0.002288,0.002296,0.002273,0.002289,23241117.6461,53146.9897804446
