https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNO,Volume USDT
1663459200,2022-09-18 00:00:00,UNO/USDT,0.03938,0.04038,0.0392,0.04026,76096.0781,3030.808822448
1663372800,2022-09-17 00:00:00,UNO/USDT,0.03956,0.0403,0.03802,0.03959,882355.4156,34809.700512977
1663286400,2022-09-16 00:00:00,UNO/USDT,0.04117,0.047,0.03845,0.03957,7098059.8812,306710.228738596
1663200000,2022-09-15 00:00:00,UNO/USDT,0.03972,0.045,0.0373,0.04116,4729661.5182,187040.423597819
1663113600,2022-09-14 00:00:00,UNO/USDT,0.03892,0.0408,0.03873,0.03961,3717986.9022,146778.275626786
1663027200,2022-09-13 00:00:00,UNO/USDT,0.04189,0.04509,0.03851,0.03902,4137845.04469473,170031.0987520926483
1662940800,2022-09-12 00:00:00,UNO/USDT,0.0421,0.044,0.0415,0.04189,3680431.8006,156337.258425783
1662854400,2022-09-11 00:00:00,UNO/USDT,0.04318,0.044,0.04181,0.04209,3839277.2184,166092.0935396
1662768000,2022-09-10 00:00:00,UNO/USDT,0.04028,0.044,0.0387,0.04309,3732455.5721,152863.594979214
1662681600,2022-09-09 00:00:00,UNO/USDT,0.04008,0.04418,0.03921,0.04039,3407673.9962,139463.558621585
1662595200,2022-09-08 00:00:00,UNO/USDT,0.03991,0.041,0.0386,0.04017,3590568.6464,142614.195080314
1662508800,2022-09-07 00:00:00,UNO/USDT,0.03825,0.0409,0.0374,0.03987,3912922.4363,154422.504375991
1662422400,2022-09-06 00:00:00,UNO/USDT,0.04003,0.0417,0.03706,0.03831,3958099.805,157701.514468481
1662336000,2022-09-05 00:00:00,UNO/USDT,0.04047,0.0419,0.03933,0.04002,3327675.3796,134067.287843809
1662249600,2022-09-04 00:00:00,UNO/USDT,0.03989,0.04063,0.03947,0.04034,3630230.2872,145234.551325612
1662163200,2022-09-03 00:00:00,UNO/USDT,0.03905,0.04171,0.039,0.03975,3657088.0193,146019.069314442
