https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FLUX,Volume USDT
1663459200,2022-09-18 00:00:00,FLUX/USDT,1.0969,1.0969,1.0583,1.0659,185805.70429602,199479.947493802908
1663372800,2022-09-17 00:00:00,FLUX/USDT,1.0661,1.1115,1.0628,1.0963,959123.2066911,1047286.851347936067
1663286400,2022-09-16 00:00:00,FLUX/USDT,1.1768,1.1768,1.0302,1.0641,2646837.79435525,2873444.729074566918
1663200000,2022-09-15 00:00:00,FLUX/USDT,1.2651,1.2662,1.1347,1.1766,2487516.2815884,2959379.602707514566
1663113600,2022-09-14 00:00:00,FLUX/USDT,1.144,1.2925,1.1205,1.2646,4697250.2191546,5780707.887113106825
1663027200,2022-09-13 00:00:00,FLUX/USDT,1.2387,1.2398,1.1,1.1425,2917189.14698629,3370939.109264511848
1662940800,2022-09-12 00:00:00,FLUX/USDT,1.3157,1.3157,1.1569,1.2372,2741291.74247488,3401541.660555852353
1662854400,2022-09-11 00:00:00,FLUX/USDT,1.2981,1.3557,1.2699,1.3163,1636000.08179378,2136231.882915370237
1662768000,2022-09-10 00:00:00,FLUX/USDT,1.3451,1.3723,1.2832,1.298,1941643.35220397,2572543.339098780767
1662681600,2022-09-09 00:00:00,FLUX/USDT,1.2425,1.39,1.2357,1.3445,3742281.18762195,4879125.187407029495
1662595200,2022-09-08 00:00:00,FLUX/USDT,1.2642,1.3142,1.2234,1.2421,3215701.82006358,4068160.508010721909
1662508800,2022-09-07 00:00:00,FLUX/USDT,1.1549,1.3232,1.1054,1.2644,5874500.89784367,7265895.346976960306
1662422400,2022-09-06 00:00:00,FLUX/USDT,1.3454,1.4017,1.148,1.1548,6306633.6167229,8211852.446461567104
1662336000,2022-09-05 00:00:00,FLUX/USDT,1.2056,1.3939,1.0866,1.3444,11233399.31985106,14007584.912681716966
1662249600,2022-09-04 00:00:00,FLUX/USDT,1.0062,1.2145,1.0051,1.2057,7189133.86525644,8102901.612429108841
1662163200,2022-09-03 00:00:00,FLUX/USDT,0.9945,1.0304,0.9864,1.0049,1485125.78649938,1489771.610697163345
1662076800,2022-09-02 00:00:00,FLUX/USDT,0.9601,1.012,0.9556,0.9935,2054953.4289745,2028221.219131987446
1661990400,2022-09-01 00:00:00,FLUX/USDT,0.9898,0.9911,0.9135,0.9579,1801489.55798274,1701010.639985937817
1661904000,2022-08-31 00:00:00,FLUX/USDT,0.9752,1.0387,0.9717,0.9899,2354488.19846625,2343851.797897335588
1661817600,2022-08-30 00:00:00,FLUX/USDT,1.0346,1.0557,0.9531,0.9753,2989185.44804473,2965288.451618511323
1661731200,2022-08-29 00:00:00,FLUX/USDT,1.0126,1.0909,0.9846,1.0345,4427460.11726222,4643377.782279983748
1661644800,2022-08-28 00:00:00,FLUX/USDT,0.9979,1.1049,0.9558,1.0103,5329565.67759679,5470237.613805468589
1661558400,2022-08-27 00:00:00,FLUX/USDT,0.9005,1.058,0.8876,0.9984,5743142.90483101,5603433.60180117452
1661472000,2022-08-26 00:00:00,FLUX/USDT,0.9744,0.9934,0.8816,0.9,2849629.4856321,2646008.871368956078
1661385600,2022-08-25 00:00:00,FLUX/USDT,0.849,1.0025,0.847,0.9725,5237488.43467297,4907226.603818753675
1661299200,2022-08-24 00:00:00,FLUX/USDT,0.8538,0.8778,0.8167,0.8469,1412170.46052918,1191028.525372732492
1661212800,2022-08-23 00:00:00,FLUX/USDT,0.8546,0.8689,0.8116,0.8522,1787743.82661911,1515297.819773748431
1661126400,2022-08-22 00:00:00,FLUX/USDT,0.8904,0.8904,0.8219,0.8546,1890973.14296624,1599019.319286817217
1661040000,2022-08-21 00:00:00,FLUX/USDT,0.9161,0.9244,0.87,0.89,1808390.71840131,1612852.594309635123
1660953600,2022-08-20 00:00:00,FLUX/USDT,0.8304,0.949,0.8288,0.9161,4858437.50723455,4373636.901156126748
1660867200,2022-08-19 00:00:00,FLUX/USDT,0.9807,0.988,0.8155,0.8314,4878609.70678059,4274192.85110687576
1660780800,2022-08-18 00:00:00,FLUX/USDT,1.0637,1.1525,0.9447,0.9794,6285495.85453066,6567207.709990453159
1660694400,2022-08-17 00:00:00,FLUX/USDT,0.9518,1.11,0.9306,1.0644,6929835.3817006,7088279.7588126263
1660608000,2022-08-16 00:00:00,FLUX/USDT,0.946,0.9928,0.9144,0.9506,1858762.91431256,1747546.798679822552
1660521600,2022-08-15 00:00:00,FLUX/USDT,1.0507,1.0883,0.9341,0.9446,3278563.47392782,3284687.390148135616
1660435200,2022-08-14 00:00:00,FLUX/USDT,1.1072,1.1942,1.0277,1.0496,5887554.68015922,6443485.667827444336
1660348800,2022-08-13 00:00:00,FLUX/USDT,0.9148,1.2178,0.913,1.1071,12632028.38669543,13837761.385407706323
1660262400,2022-08-12 00:00:00,FLUX/USDT,0.7607,0.9703,0.7477,0.913,9197035.71242162,8036053.71400225159
1660176000,2022-08-11 00:00:00,FLUX/USDT,0.7517,0.7771,0.7306,0.76,2224395.46318569,1677335.80707470007
1660089600,2022-08-10 00:00:00,FLUX/USDT,0.6632,0.8154,0.6507,0.7518,9646337.46602343,7104856.505460949381
1660003200,2022-08-09 00:00:00,FLUX/USDT,0.6394,0.6696,0.5914,0.6632,1418914.88620617,889252.007273387721
1659916800,2022-08-08 00:00:00,FLUX/USDT,0.6221,0.6627,0.616,0.6395,1331569.14840427,852984.448249051489
1659830400,2022-08-07 00:00:00,FLUX/USDT,0.61,0.6294,0.5908,0.6222,527591.95440595,322830.965186133257
1659744000,2022-08-06 00:00:00,FLUX/USDT,0.6122,0.6186,0.6033,0.6086,408346.84071224,249330.23163363401
1659657600,2022-08-05 00:00:00,FLUX/USDT,0.5881,0.6194,0.581,0.6121,1068053.69447455,644549.794087523589
1659571200,2022-08-04 00:00:00,FLUX/USDT,0.6109,0.6241,0.5759,0.5879,1426720.89925073,856108.321938606194
1659484800,2022-08-03 00:00:00,FLUX/USDT,0.6252,0.6424,0.6046,0.6109,1305975.79944458,818326.854581702495
1659398400,2022-08-02 00:00:00,FLUX/USDT,0.6833,0.6833,0.5966,0.6255,2146198.93069092,1341418.458995739899
1659312000,2022-08-01 00:00:00,FLUX/USDT,0.5744,0.7342,0.5634,0.6833,14920401.48365662,9856599.782652397004
1659225600,2022-07-31 00:00:00,FLUX/USDT,0.5342,0.6222,0.5324,0.5742,5432885.30830714,3110548.560650117816
1659139200,2022-07-30 00:00:00,FLUX/USDT,0.5309,0.5748,0.5207,0.5346,2036817.14471147,1109919.964626924965
1659052800,2022-07-29 00:00:00,FLUX/USDT,0.5089,0.5501,0.5064,0.5305,2237366.58748431,1179672.130784313679
1658966400,2022-07-28 00:00:00,FLUX/USDT,0.5038,0.5247,0.4893,0.5089,1766351.70510166,896282.369670422063
1658880000,2022-07-27 00:00:00,FLUX/USDT,0.4665,0.51,0.4665,0.5034,1624787.31570845,796048.949308866926
1658793600,2022-07-26 00:00:00,FLUX/USDT,0.4597,0.4664,0.4508,0.4664,1000300.16266624,456782.118496475895
1658707200,2022-07-25 00:00:00,FLUX/USDT,0.5038,0.5088,0.459,0.459,1399246.13053364,672358.849446422736
1658620800,2022-07-24 00:00:00,FLUX/USDT,0.5099,0.5166,0.5004,0.504,840333.78973287,427373.651059543019
1658534400,2022-07-23 00:00:00,FLUX/USDT,0.4845,0.5243,0.4812,0.5095,2416416.35847109,1215557.684056771493
1658448000,2022-07-22 00:00:00,FLUX/USDT,0.4915,0.5042,0.4786,0.4841,1412428.66085863,694792.544560383829
1658361600,2022-07-21 00:00:00,FLUX/USDT,0.4822,0.4934,0.467,0.4909,1967982.0424118,946126.10510911964
1658275200,2022-07-20 00:00:00,FLUX/USDT,0.4938,0.5339,0.4767,0.4813,3319881.01657828,1675211.970413578592
1658188800,2022-07-19 00:00:00,FLUX/USDT,0.4791,0.5033,0.4674,0.4944,3389162.01661671,1649313.304431765014
1658102400,2022-07-18 00:00:00,FLUX/USDT,0.4538,0.513,0.4516,0.48,3623465.94600307,1742652.227627737922
1658016000,2022-07-17 00:00:00,FLUX/USDT,0.4533,0.4675,0.4433,0.4529,1688823.97715221,772434.225978496819
1657929600,2022-07-16 00:00:00,FLUX/USDT,0.4421,0.4563,0.4305,0.4532,1108538.04783737,493779.60790372388
1657843200,2022-07-15 00:00:00,FLUX/USDT,0.4633,0.4644,0.4334,0.4414,1105886.76162369,496453.229765357936
1657756800,2022-07-14 00:00:00,FLUX/USDT,0.4332,0.482,0.4174,0.4625,2527211.70497412,1124490.715198743479
1657670400,2022-07-13 00:00:00,FLUX/USDT,0.4031,0.4468,0.395,0.4325,2298951.48043617,958839.309811891973
1657584000,2022-07-12 00:00:00,FLUX/USDT,0.4136,0.4225,0.4001,0.4031,889739.50476368,364982.067986320656
1657497600,2022-07-11 00:00:00,FLUX/USDT,0.434,0.4399,0.4051,0.4134,1131023.72175616,482305.927269148266
1657411200,2022-07-10 00:00:00,FLUX/USDT,0.4585,0.4594,0.4286,0.4334,1104812.91390509,490145.621177042272
1657324800,2022-07-09 00:00:00,FLUX/USDT,0.4504,0.47,0.4494,0.4585,1169651.93653197,537652.013860263247
1657238400,2022-07-08 00:00:00,FLUX/USDT,0.4544,0.4733,0.4356,0.4497,1885575.5613026,853460.184030353516
1657152000,2022-07-07 00:00:00,FLUX/USDT,0.4396,0.4661,0.4274,0.4531,1165620.99745991,517921.21330274966
1657065600,2022-07-06 00:00:00,FLUX/USDT,0.4299,0.4588,0.4206,0.4391,1490031.39159023,644081.355237512671
1656979200,2022-07-05 00:00:00,FLUX/USDT,0.4338,0.4401,0.4154,0.4299,1089375.62749161,466290.912540618334
1656892800,2022-07-04 00:00:00,FLUX/USDT,0.4166,0.4372,0.41,0.4334,922840.15101363,391736.680432055446
1656806400,2022-07-03 00:00:00,FLUX/USDT,0.4287,0.4374,0.4085,0.4165,1218221.55155425,511442.042081946427
1656720000,2022-07-02 00:00:00,FLUX/USDT,0.4194,0.43,0.412,0.4284,747322.67365909,313691.765114724589
1656633600,2022-07-01 00:00:00,FLUX/USDT,0.421,0.4422,0.4106,0.4194,1767006.33009671,751510.865410472426
1656547200,2022-06-30 00:00:00,FLUX/USDT,0.4255,0.4281,0.3968,0.4201,1940512.14195203,795544.889792737326
1656460800,2022-06-29 00:00:00,FLUX/USDT,0.4367,0.4415,0.421,0.4242,1183208.36473122,510434.827053696061
1656374400,2022-06-28 00:00:00,FLUX/USDT,0.4539,0.466,0.4327,0.4374,1190677.48102142,534234.715572991561
1656288000,2022-06-27 00:00:00,FLUX/USDT,0.4632,0.4778,0.4448,0.4531,1573657.53308939,725642.421823222592
1656201600,2022-06-26 00:00:00,FLUX/USDT,0.4729,0.52,0.461,0.4632,3650153.38114257,1778890.897398233505
1656115200,2022-06-25 00:00:00,FLUX/USDT,0.4696,0.4825,0.4514,0.4724,2739036.59123848,1280849.778626199923
1656028800,2022-06-24 00:00:00,FLUX/USDT,0.4696,0.4795,0.4583,0.4686,2151576.19009499,1004206.337902028539
1655942400,2022-06-23 00:00:00,FLUX/USDT,0.4358,0.48,0.4326,0.4677,2689134.15154986,1215304.796284073254
1655856000,2022-06-22 00:00:00,FLUX/USDT,0.4501,0.4539,0.4304,0.4357,4329022.82427569,1913858.686858290956
1655769600,2022-06-21 00:00:00,FLUX/USDT,0.4431,0.495,0.4371,0.4498,3671183.32070955,1713483.146338407977
1655683200,2022-06-20 00:00:00,FLUX/USDT,0.4628,0.4847,0.4273,0.4425,5178573.57296324,2322645.719751576892
1655596800,2022-06-19 00:00:00,FLUX/USDT,0.4135,0.4709,0.3956,0.4618,5201838.58193366,2206336.713978342822
1655510400,2022-06-18 00:00:00,FLUX/USDT,0.4526,0.4617,0.3793,0.413,5867506.0972687,2425568.086721268453
1655424000,2022-06-17 00:00:00,FLUX/USDT,0.4296,0.4593,0.4262,0.4521,2350271.11063363,1054073.115117984645
1655337600,2022-06-16 00:00:00,FLUX/USDT,0.483,0.4878,0.4201,0.4288,3438672.5141341,1556548.001207184433
1655251200,2022-06-15 00:00:00,FLUX/USDT,0.4533,0.4867,0.413,0.4815,8756610.3573875,3893737.846438993376
1655164800,2022-06-14 00:00:00,FLUX/USDT,0.4255,0.5872,0.4049,0.4532,12449527.30315416,6020649.472527537584
1655078400,2022-06-13 00:00:00,FLUX/USDT,0.5032,0.5085,0.4017,0.4254,17276719.76790954,7676840.239159654225
1654992000,2022-06-12 00:00:00,FLUX/USDT,0.5732,0.5751,0.5022,0.5034,8318793.25361134,4428722.126257478036
1654905600,2022-06-11 00:00:00,FLUX/USDT,0.5997,0.6244,0.5535,0.5719,7512202.60500198,4384552.609888643331
1654819200,2022-06-10 00:00:00,FLUX/USDT,0.6464,0.6487,0.585,0.5999,4074897.99438424,2498478.47934989818
1654732800,2022-06-09 00:00:00,FLUX/USDT,0.6529,0.6634,0.6422,0.6463,1788756.09176622,1164719.098463258097
1654646400,2022-06-08 00:00:00,FLUX/USDT,0.6603,0.6723,0.639,0.6525,3368297.57975287,2208950.490974664638
1654560000,2022-06-07 00:00:00,FLUX/USDT,0.6657,0.6788,0.636,0.6587,3439460.90462019,2257940.737969279617
1654473600,2022-06-06 00:00:00,FLUX/USDT,0.662,0.695,0.6556,0.666,2638530.32520654,1784496.776075215899
1654387200,2022-06-05 00:00:00,FLUX/USDT,0.6774,0.6779,0.6524,0.6617,1696273.34532267,1127770.833755614459
1654300800,2022-06-04 00:00:00,FLUX/USDT,0.6629,0.682,0.6502,0.6766,2475254.90814448,1647889.582843222994
1654214400,2022-06-03 00:00:00,FLUX/USDT,0.7302,0.7316,0.652,0.6613,5454457.30638446,3734708.792050936519
1654128000,2022-06-02 00:00:00,FLUX/USDT,0.6562,0.7569,0.649,0.7299,9254490.48676093,6561399.112460200996
1654041600,2022-06-01 00:00:00,FLUX/USDT,0.6958,0.7074,0.6399,0.6558,5138134.31003788,3464410.768604283168
1653955200,2022-05-31 00:00:00,FLUX/USDT,0.7225,0.7377,0.6812,0.6956,4623451.76802354,3301581.479679412991
1653868800,2022-05-30 00:00:00,FLUX/USDT,0.6801,0.734,0.6738,0.7218,3773992.84693408,2663077.598851088489
1653782400,2022-05-29 00:00:00,FLUX/USDT,0.6563,0.6812,0.6392,0.6792,1854464.49897251,1226609.118484097143
1653696000,2022-05-28 00:00:00,FLUX/USDT,0.6503,0.6621,0.6359,0.656,2401071.84845506,1560228.674170897762
1653609600,2022-05-27 00:00:00,FLUX/USDT,0.6676,0.6846,0.6285,0.6496,7285389.70310507,4783889.787480791592
