https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume BCH
1663545600000,2022-09-19 00:00:00,BCH/USDT,111.6101,113.2594,111.6101,113.1262,2046.6285807691897,18.09155245
1663459200000,2022-09-18 00:00:00,BCH/USDT,122.2441,122.2441,111.0,111.8358,71420.72759259964,638.62133228
1663372800000,2022-09-17 00:00:00,BCH/USDT,119.5352,123.3507,119.1921,122.2093,43787.48232872767,358.29910104
1663286400000,2022-09-16 00:00:00,BCH/USDT,117.4342,120.8865,116.153,119.4861,43263.84705265802,362.08267784
1663200000000,2022-09-15 00:00:00,BCH/USDT,119.8874,122.8568,116.1565,117.5714,60543.95425081347,514.95477855
1663113600000,2022-09-14 00:00:00,BCH/USDT,117.546,120.7018,116.2168,120.0496,39324.48250344116,327.56862583
1663027200000,2022-09-13 00:00:00,BCH/USDT,128.8261,133.638,116.3446,117.4476,76811.93281208613,654.01023786
1662940800000,2022-09-12 00:00:00,BCH/USDT,130.3266,132.89,126.4746,128.997,62297.23040067682,482.93549773
1662854400000,2022-09-11 00:00:00,BCH/USDT,132.6943,133.12,127.5869,130.3938,61694.20113736176,473.1375352
1662768000000,2022-09-10 00:00:00,BCH/USDT,132.6899,134.8294,130.5956,132.6762,48773.48082133577,367.61288627
1662681600000,2022-09-09 00:00:00,BCH/USDT,126.5816,138.6546,126.1016,132.7164,80930.80376933221,609.80258483
1662595200000,2022-09-08 00:00:00,BCH/USDT,118.6678,130.0,115.9953,126.5447,87775.41254226516,693.63167752
1662508800000,2022-09-07 00:00:00,BCH/USDT,112.2195,119.2813,110.5426,118.6414,49111.170494234066,413.94631633
1662422400000,2022-09-06 00:00:00,BCH/USDT,125.7788,127.8411,111.9567,112.2015,54501.34241178747,485.74522098
1662336000000,2022-09-05 00:00:00,BCH/USDT,118.3102,126.2322,117.178,125.6259,53585.62364434243,426.54917214
1662249600000,2022-09-04 00:00:00,BCH/USDT,117.6952,118.2614,115.9747,118.2614,46675.24928046464,394.67864646
1662163200000,2022-09-03 00:00:00,BCH/USDT,116.409,119.104,115.9097,117.6451,42210.22882445884,358.79291891
1662076800000,2022-09-02 00:00:00,BCH/USDT,116.6965,120.1136,114.815,116.3951,48486.68362575189,416.56980084
1661990400000,2022-09-01 00:00:00,BCH/USDT,115.0523,117.1112,113.1626,116.7005,89920.12888111845,770.52051089
