https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AXS,Volume USDT
1663459200,2022-09-18 00:00:00,AXS/USDT,13.165,13.17,13.096,13.122,100.77155321,1321.90133346286
1663372800,2022-09-17 00:00:00,AXS/USDT,12.813,13.218,12.779,13.151,10124.04671436,131506.91720009082
1663286400,2022-09-16 00:00:00,AXS/USDT,12.704,12.928,12.434,12.82,24538.6096264,311092.28644144371
1663200000,2022-09-15 00:00:00,AXS/USDT,13.312,13.386,12.567,12.704,23578.88497299,306237.11749842567
1663113600,2022-09-14 00:00:00,AXS/USDT,13.149,13.463,12.837,13.321,11069.56794818,146204.02477653999
1663027200,2022-09-13 00:00:00,AXS/USDT,14.234,14.492,13.025,13.158,40999.20256396,565593.52020461602
1662940800,2022-09-12 00:00:00,AXS/USDT,14.546,15.063,14.09,14.225,25711.80276569,376243.77532896709
1662854400,2022-09-11 00:00:00,AXS/USDT,14.689,14.8,14.093,14.558,26206.37196558,380338.88978174935
1662768000,2022-09-10 00:00:00,AXS/USDT,14.724,15.398,14.32,14.699,42804.44051989,627959.84226085629
1662681600,2022-09-09 00:00:00,AXS/USDT,13.843,15.254,13.803,14.726,58132.69294075,856109.19100945105
1662595200,2022-09-08 00:00:00,AXS/USDT,13.519,14.063,13.331,13.838,37547.45355941,514534.75522466196
1662508800,2022-09-07 00:00:00,AXS/USDT,13.126,13.732,12.837,13.508,29019.50984569,383947.63535808213
1662422400,2022-09-06 00:00:00,AXS/USDT,14.299,14.58,13,13.106,70987.04403812,988222.5132911493
1662336000,2022-09-05 00:00:00,AXS/USDT,14.56,14.761,13.83,14.29,57009.8185239,808871.91530614722
1662249600,2022-09-04 00:00:00,AXS/USDT,15.181,15.376,14.363,14.557,49259.40684916,721208.20100892394
1662163200,2022-09-03 00:00:00,AXS/USDT,14.04,15.407,13.972,15.177,56214.92726174,838300.67779077089
1662076800,2022-09-02 00:00:00,AXS/USDT,14.03,14.454,13.764,14.029,27061.77404273,379814.62996259304
1661990400,2022-09-01 00:00:00,AXS/USDT,14.115,14.237,13.517,14.023,30705.11509682,424929.56944039009
1661904000,2022-08-31 00:00:00,AXS/USDT,13.884,14.643,13.872,14.135,35691.59419841,508807.97967526361
1661817600,2022-08-30 00:00:00,AXS/USDT,13.844,14.076,13.06,13.868,22890.63796073,312673.1864972492
1661731200,2022-08-29 00:00:00,AXS/USDT,13.19,13.941,13.025,13.842,23415.63176829,314800.0240358148
1661644800,2022-08-28 00:00:00,AXS/USDT,13.81,13.994,13.13,13.203,20088.74557113,274879.47706606461
1661558400,2022-08-27 00:00:00,AXS/USDT,13.301,13.999,13.003,13.802,27108.13936586,367465.52425601353
1661472000,2022-08-26 00:00:00,AXS/USDT,14.725,14.868,13.064,13.32,27281.0770749,384921.62914776234
1661385600,2022-08-25 00:00:00,AXS/USDT,14.526,14.976,14.426,14.711,13982.83550747,204996.66582932657
1661299200,2022-08-24 00:00:00,AXS/USDT,14.7,15.026,14.188,14.55,28262.43532863,414819.29460197376
1661212800,2022-08-23 00:00:00,AXS/USDT,14.251,14.879,13.692,14.682,30331.862058,436258.26991798962
1661126400,2022-08-22 00:00:00,AXS/USDT,14.465,14.473,13.489,14.259,22743.20797838,316222.78399401327
