https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOLR,Volume USDT
1663459200,2022-09-18 00:00:00,SOLR/USDT,0.04722,0.04722,0.04717,0.04717,2484.8141,117.229719007
1663372800,2022-09-17 00:00:00,SOLR/USDT,0.04704,0.04834,0.04611,0.04717,113949.7213,5366.192696457
1663286400,2022-09-16 00:00:00,SOLR/USDT,0.04716,0.04839,0.0465,0.04714,72150.3989,3418.041481431
1663200000,2022-09-15 00:00:00,SOLR/USDT,0.04932,0.04993,0.0465,0.04714,175674.1721,8425.070995497
1663113600,2022-09-14 00:00:00,SOLR/USDT,0.0495,0.05111,0.04728,0.04932,180232.5181,8888.922400529
1663027200,2022-09-13 00:00:00,SOLR/USDT,0.05244,0.05354,0.04843,0.04951,202871.2352,10339.243684062
1662940800,2022-09-12 00:00:00,SOLR/USDT,0.05273,0.05689,0.05112,0.05199,351087.6114,18721.0680474
1662854400,2022-09-11 00:00:00,SOLR/USDT,0.05339,0.05568,0.05069,0.05261,356685.712,19114.765005434
1662768000,2022-09-10 00:00:00,SOLR/USDT,0.05316,0.0545,0.05198,0.05338,187181.0991,9959.965650939
1662681600,2022-09-09 00:00:00,SOLR/USDT,0.05,0.05684,0.04996,0.05317,582064.0497,30874.807096973
1662595200,2022-09-08 00:00:00,SOLR/USDT,0.05211,0.0547,0.0492,0.05,740338.3349,38233.524636576
1662508800,2022-09-07 00:00:00,SOLR/USDT,0.05,0.05521,0.04677,0.05211,1955976.8593,102258.733153579
1662422400,2022-09-06 00:00:00,SOLR/USDT,0.0523,0.05519,0.04894,0.05,264372.5209,13582.747055261
1662336000,2022-09-05 00:00:00,SOLR/USDT,0.05194,0.05262,0.05036,0.05184,77922.3406,4009.685803185
1662249600,2022-09-04 00:00:00,SOLR/USDT,0.05162,0.05307,0.05018,0.05194,150289.67,7733.275364161
1662163200,2022-09-03 00:00:00,SOLR/USDT,0.0526,0.054,0.05,0.05162,144238.512,7492.518874836
1662076800,2022-09-02 00:00:00,SOLR/USDT,0.05278,0.05354,0.05141,0.0526,177963.1231,9343.833758224
1661990400,2022-09-01 00:00:00,SOLR/USDT,0.05302,0.05415,0.05096,0.05278,178566.9324,9326.659517264
1661904000,2022-08-31 00:00:00,SOLR/USDT,0.05421,0.0569,0.053,0.05302,174361.439,9463.118098374
1661817600,2022-08-30 00:00:00,SOLR/USDT,0.05599,0.056,0.05281,0.05408,226890.9742,12262.605305295
1661731200,2022-08-29 00:00:00,SOLR/USDT,0.0544,0.05726,0.05269,0.05599,197774.0661,10731.58625125
1661644800,2022-08-28 00:00:00,SOLR/USDT,0.05951,0.0615,0.05328,0.0544,799878.1838,45522.428503393
1661558400,2022-08-27 00:00:00,SOLR/USDT,0.06199,0.06513,0.05793,0.05951,556086.3433,33985.288792761
1661472000,2022-08-26 00:00:00,SOLR/USDT,0.06051,0.0645,0.0596,0.06199,950508.7009,59117.663585993
1661385600,2022-08-25 00:00:00,SOLR/USDT,0.05825,0.06513,0.05735,0.06052,970493.1549,59505.472238251
1661299200,2022-08-24 00:00:00,SOLR/USDT,0.05864,0.05914,0.05653,0.0582,118050.9944,6815.062449207
1661212800,2022-08-23 00:00:00,SOLR/USDT,0.05731,0.05951,0.05575,0.05864,171948.4645,9930.665222344
1661126400,2022-08-22 00:00:00,SOLR/USDT,0.05792,0.06,0.05575,0.05731,411182.3283,23851.460764597
1661040000,2022-08-21 00:00:00,SOLR/USDT,0.05651,0.065,0.0565,0.05792,713740.0806,43269.512074777
1660953600,2022-08-20 00:00:00,SOLR/USDT,0.05775,0.0595,0.0556,0.05698,169255.8251,9753.566456051
1660867200,2022-08-19 00:00:00,SOLR/USDT,0.06256,0.0635,0.05539,0.05717,730023.9271,42578.544201687
1660780800,2022-08-18 00:00:00,SOLR/USDT,0.06196,0.06433,0.0602,0.06256,331763.7679,20600.552776079
1660694400,2022-08-17 00:00:00,SOLR/USDT,0.06541,0.067,0.061,0.06147,734455.9184,46848.650419542
1660608000,2022-08-16 00:00:00,SOLR/USDT,0.063,0.0737,0.06187,0.06601,1399114.393,92242.907276201
