https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1663549200000,2022-09-19 01:00:00,BTC/USD,21548.65,21595.45,21531.49,21595.45,23294.9585742385,1.07869753
1663545600000,2022-09-19 00:00:00,BTC/USD,21470.0,21596.54,21446.91,21555.04,107880.3603580976,5.00487869
1663542000000,2022-09-18 23:00:00,BTC/USD,21488.8,21574.51,21448.32,21463.04,102186.93283020801,4.7610652
1663538400000,2022-09-18 22:00:00,BTC/USD,21539.28,21545.83,21448.71,21499.14,153685.84724020318,7.14846488
1663534800000,2022-09-18 21:00:00,BTC/USD,21754.82,21770.43,21529.87,21546.59,139503.0918552856,6.47448584
1663531200000,2022-09-18 20:00:00,BTC/USD,21780.24,21806.07,21738.96,21773.11,115131.1697773881,5.28776871
1663527600000,2022-09-18 19:00:00,BTC/USD,21748.93,21789.31,21706.22,21787.91,96036.2317993793,4.40777623
1663524000000,2022-09-18 18:00:00,BTC/USD,21736.86,21783.48,21701.5,21761.95,125786.1177113975,5.78009405
1663520400000,2022-09-18 17:00:00,BTC/USD,21789.83,21813.91,21733.11,21739.47,120824.7013827915,5.55784945
1663516800000,2022-09-18 16:00:00,BTC/USD,21867.14,21896.99,21748.0,21789.59,121010.3698139924,5.55358636
1663513200000,2022-09-18 15:00:00,BTC/USD,21838.68,21897.75,21838.0,21867.77,100643.5955122571,4.60237123
1663509600000,2022-09-18 14:00:00,BTC/USD,21979.59,21979.59,21801.23,21840.08,98497.71728097761,4.50995222
1663506000000,2022-09-18 13:00:00,BTC/USD,22036.29,22037.45,21977.44,22003.36,123911.6483382352,5.63148757
1663502400000,2022-09-18 12:00:00,BTC/USD,21957.49,22058.78,21938.01,22031.7,97040.875391325,4.40460225
1663498800000,2022-09-18 11:00:00,BTC/USD,21946.17,21973.19,21938.0,21953.84,102541.18599484241,4.67076311
1663495200000,2022-09-18 10:00:00,BTC/USD,21849.53,22066.75,21838.0,21943.16,121517.120000554,5.53781315
1663491600000,2022-09-18 09:00:00,BTC/USD,22101.51,22111.61,21856.78,21868.3,110209.11518044799,5.03967456
1663488000000,2022-09-18 08:00:00,BTC/USD,22106.63,22136.9,22097.23,22104.61,104618.2526041752,4.73287032
1663484400000,2022-09-18 07:00:00,BTC/USD,22081.58,22142.64,22081.58,22102.23,108005.55434543609,4.88663607
1663480800000,2022-09-18 06:00:00,BTC/USD,22121.26,22144.03,22085.61,22093.52,97522.28903447039,4.41406752
