https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LOC,Volume USDT
1663372800,2022-09-17 00:00:00,LOC/USDT,0.81735,0.82347,0.80709,0.81313,1296.6487,1059.258584474
1663286400,2022-09-16 00:00:00,LOC/USDT,0.83662,0.8418,0.80697,0.80709,2605.1692,2148.016027651
1663200000,2022-09-15 00:00:00,LOC/USDT,0.90888,0.91111,0.83187,0.83191,9428.4454,8191.99618984
1663113600,2022-09-14 00:00:00,LOC/USDT,0.94388,0.94394,0.90888,0.90888,7854.7115,7279.224177272
1663027200,2022-09-13 00:00:00,LOC/USDT,0.8175,1.05701,0.79695,0.94388,77391.0896,69235.717277352
1662940800,2022-09-12 00:00:00,LOC/USDT,1.05039,1.07403,0.72398,0.82,104992.391,87737.540391655
1662854400,2022-09-11 00:00:00,LOC/USDT,1.05046,1.06231,1.0424,1.05039,2474.0929,2609.971169082
1662768000,2022-09-10 00:00:00,LOC/USDT,1.08813,1.09918,1.03167,1.05046,5808.7536,6104.001315778
1662681600,2022-09-09 00:00:00,LOC/USDT,1.0829,1.10397,1.07945,1.08813,1524.3744,1661.111230386
1662595200,2022-09-08 00:00:00,LOC/USDT,1.088,1.11548,0.97109,1.0829,30656.338,32114.143249442
1662508800,2022-09-07 00:00:00,LOC/USDT,1.06881,1.97,0.98255,1.07415,131821.2333,173997.209626413
1662422400,2022-09-06 00:00:00,LOC/USDT,1.05332,1.07712,1.05297,1.07712,1657.9019,1771.036386703
1662336000,2022-09-05 00:00:00,LOC/USDT,1.06895,1.06895,1.05332,1.05332,947.7637,1005.103009816
1662249600,2022-09-04 00:00:00,LOC/USDT,1.07739,1.08505,1.06895,1.06895,1265.6216,1358.992872471
1662163200,2022-09-03 00:00:00,LOC/USDT,1.07702,1.07739,1.06502,1.07739,586.581,631.330986276
1662076800,2022-09-02 00:00:00,LOC/USDT,1.07625,1.07702,1.07566,1.07702,134.213,144.529282767
1661990400,2022-09-01 00:00:00,LOC/USDT,1.07702,1.07702,1.06134,1.07625,320.3868,340.547244484
1661904000,2022-08-31 00:00:00,LOC/USDT,1.05426,1.10799,1.05426,1.07703,6700.4847,7208.486752709
1661817600,2022-08-30 00:00:00,LOC/USDT,1.07077,1.08651,1.04643,1.05426,3141.2387,3326.141074602
1661731200,2022-08-29 00:00:00,LOC/USDT,1.0449,1.08702,0.9796,1.07076,21575.4599,22327.719495035
1661644800,2022-08-28 00:00:00,LOC/USDT,1.05891,1.06876,1.04402,1.05878,1776.7099,1867.182315023
1661558400,2022-08-27 00:00:00,LOC/USDT,1.07499,1.07685,1.05886,1.06874,1455.5298,1555.489404927
1661472000,2022-08-26 00:00:00,LOC/USDT,1.07436,1.07684,1.06082,1.06082,362.5278,387.037645779
1661385600,2022-08-25 00:00:00,LOC/USDT,1.108,1.1183,1.06694,1.07436,2252.8211,2446.359560179
1661299200,2022-08-24 00:00:00,LOC/USDT,1.1,1.12136,1.1,1.1183,1742.4989,1940.201839008
1661212800,2022-08-23 00:00:00,LOC/USDT,1.08481,1.1,1.08481,1.1,280.3416,306.434441055
1661126400,2022-08-22 00:00:00,LOC/USDT,1.15013,1.15013,1.04998,1.08481,14646.8638,16037.043978098
1661040000,2022-08-21 00:00:00,LOC/USDT,1.16726,1.16726,1.15091,1.15091,1163.158,1341.493218835
1660953600,2022-08-20 00:00:00,LOC/USDT,1.1979,1.20444,1.15264,1.15277,7031.7945,8256.23783101
1660867200,2022-08-19 00:00:00,LOC/USDT,1.22488,1.22488,1.1979,1.1979,2603.0204,3153.843643745
1660780800,2022-08-18 00:00:00,LOC/USDT,1.22485,1.2413,1.22485,1.22485,1202.9957,1482.811140829
1660694400,2022-08-17 00:00:00,LOC/USDT,1.22485,1.2413,1.22485,1.22485,367.8782,454.180343074
1660608000,2022-08-16 00:00:00,LOC/USDT,1.20475,1.24315,1.20475,1.22485,3815.1003,4680.520399383
1660521600,2022-08-15 00:00:00,LOC/USDT,1.23292,1.26066,1.20448,1.21599,7636.1707,9363.873310063
1660435200,2022-08-14 00:00:00,LOC/USDT,1.27058,1.27061,1.23292,1.23292,1467.8094,1828.245038157
1660348800,2022-08-13 00:00:00,LOC/USDT,1.27526,1.27526,1.25428,1.27058,977.1959,1231.317883229
1660262400,2022-08-12 00:00:00,LOC/USDT,1.23341,1.28002,1.23341,1.27526,2427.5413,3059.176225384
1660176000,2022-08-11 00:00:00,LOC/USDT,1.21848,1.26442,1.21848,1.23341,7378.6886,9174.015447345
1660089600,2022-08-10 00:00:00,LOC/USDT,1.21429,1.21848,1.20033,1.21848,1041.4956,1265.135802784
1660003200,2022-08-09 00:00:00,LOC/USDT,1.20704,1.21848,1.20033,1.20033,919.7205,1111.437172382
1659916800,2022-08-08 00:00:00,LOC/USDT,1.20704,1.21848,1.20704,1.20704,343.905,417.327712988
1659830400,2022-08-07 00:00:00,LOC/USDT,1.23478,1.23478,1.18861,1.2075,3516.5089,4257.406380615
1659744000,2022-08-06 00:00:00,LOC/USDT,1.23478,1.237,1.23478,1.237,99.1289,122.550862736
1659657600,2022-08-05 00:00:00,LOC/USDT,1.23712,1.25345,1.23478,1.237,597.6508,739.317113487
1659571200,2022-08-04 00:00:00,LOC/USDT,1.22696,1.2943,1.22696,1.23712,6126.5456,7744.905319008
1659484800,2022-08-03 00:00:00,LOC/USDT,1.23856,1.23856,1.22155,1.23856,420.3,517.819081053
1659398400,2022-08-02 00:00:00,LOC/USDT,1.27684,1.27684,1.2269,1.23857,3015.646,3773.588820966
1659312000,2022-08-01 00:00:00,LOC/USDT,1.29196,1.34551,1.27508,1.28453,8249.8285,10797.215850762
1659225600,2022-07-31 00:00:00,LOC/USDT,1.26018,3.99,1.24433,1.27765,78645.44894385,125518.817801516398
1659139200,2022-07-30 00:00:00,LOC/USDT,1.27931,1.27931,1.2508,1.26018,2120.5896,2679.601562784
1659052800,2022-07-29 00:00:00,LOC/USDT,1.29884,1.30852,1.26595,1.26595,2276.2534,2919.250596353
1658966400,2022-07-28 00:00:00,LOC/USDT,1.29884,1.31452,1.29881,1.31449,329.9492,431.325159593
1658880000,2022-07-27 00:00:00,LOC/USDT,1.26645,1.31452,1.26645,1.31452,4298.167,5561.41041164
1658793600,2022-07-26 00:00:00,LOC/USDT,1.30534,1.31929,1.26645,1.2801,4930.0983,6343.453686878
