https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT
1663545600,2022-09-19 00:00:00,XRP/USDT,0.35646,0.35646,0.35646,0.35646,0.00000000,0.0
1663459200,2022-09-18 00:00:00,XRP/USDT,0.37300,0.39744,0.35646,0.35646,464284.12045606,165498.71757776715
1663372800,2022-09-17 00:00:00,XRP/USDT,0.34957,0.38227,0.34947,0.37288,392818.26345691,146474.07407781258
1663286400,2022-09-16 00:00:00,XRP/USDT,0.32497,0.35895,0.32303,0.35660,436332.57345214,155596.1956930331
1663200000,2022-09-15 00:00:00,XRP/USDT,0.34192,0.34192,0.32500,0.32500,211949.82755035,68883.69395386375
1663113600,2022-09-14 00:00:00,XRP/USDT,0.33176,0.34313,0.33176,0.34313,84795.22451238,29095.78538693295
1663027200,2022-09-13 00:00:00,XRP/USDT,0.36022,0.36025,0.33467,0.33892,378655.15026598,128333.80352814593
1662940800,2022-09-12 00:00:00,XRP/USDT,0.35533,0.35883,0.34920,0.35853,1027571.16346413,368415.08923679456
1662854400,2022-09-11 00:00:00,XRP/USDT,0.35673,0.35673,0.35239,0.35239,49725.96401556,17522.932459443186
1662768000,2022-09-10 00:00:00,XRP/USDT,0.35345,0.36096,0.35345,0.35449,117745.29357117,41739.529118044054
1662681600,2022-09-09 00:00:00,XRP/USDT,0.34021,0.35818,0.34021,0.35725,896167.73741331,320155.924190905
1662595200,2022-09-08 00:00:00,XRP/USDT,0.33208,0.34096,0.33066,0.34096,89100.85017031,30379.825874068898
1662508800,2022-09-07 00:00:00,XRP/USDT,0.32217,0.33564,0.31624,0.33564,5414.34469832,1817.270654544125
1662422400,2022-09-06 00:00:00,XRP/USDT,0.33321,0.34000,0.32301,0.32457,353148.63958875,114621.45395132061
1662336000,2022-09-05 00:00:00,XRP/USDT,0.33079,0.33198,0.32298,0.33082,484805.74579802,160383.43682490097
1662249600,2022-09-04 00:00:00,XRP/USDT,0.32971,0.33205,0.32971,0.33183,11268.22570948,3739.1353371767486
1662163200,2022-09-03 00:00:00,XRP/USDT,0.33167,0.33224,0.32805,0.33017,175393.48338750,57909.66641005087
1662076800,2022-09-02 00:00:00,XRP/USDT,0.33136,0.33509,0.32636,0.33068,548117.13576506,181251.37445479003
