https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GBP,Volume EUR
1663545600,2022-09-19 00:00:00,GBP/EUR,1.13991,1.13991,1.13991,1.13991,0.00000,0.0
1663459200,2022-09-18 00:00:00,GBP/EUR,1.14023,1.14046,1.13952,1.13991,1837.02966,2094.0484797306
1663372800,2022-09-17 00:00:00,GBP/EUR,1.14029,1.14248,1.13991,1.14027,682967.64606,778767.5177728361
1663286400,2022-09-16 00:00:00,GBP/EUR,1.14543,1.14543,1.14061,1.14145,25659.39853,29288.9204520685
1663200000,2022-09-15 00:00:00,GBP/EUR,1.15668,1.15668,1.14646,1.14657,14922.81533,17110.0523729181
1663113600,2022-09-14 00:00:00,GBP/EUR,1.15262,1.15777,1.15223,1.15601,29359.32921,33939.6781600521
1663027200,2022-09-13 00:00:00,GBP/EUR,1.15338,1.15483,1.15079,1.15392,29856.72652,34452.2738659584
1662940800,2022-09-12 00:00:00,GBP/EUR,1.15220,1.15500,1.14571,1.15460,9542.52844,11017.803336824001
1662854400,2022-09-11 00:00:00,GBP/EUR,1.15351,1.15378,1.15132,1.15171,9702.71251,11174.7110248921
1662768000,2022-09-10 00:00:00,GBP/EUR,1.15319,1.15353,1.15223,1.15352,4668.56508,5385.283191081601
1662681600,2022-09-09 00:00:00,GBP/EUR,1.14864,1.15456,1.14864,1.15456,7136.55255,8239.578112128
1662595200,2022-09-08 00:00:00,GBP/EUR,1.15239,1.15453,1.14999,1.15183,24999.44911,28795.1154683713
1662508800,2022-09-07 00:00:00,GBP/EUR,1.16249,1.16249,1.15050,1.15216,26429.94319,30451.523345790403
1662422400,2022-09-06 00:00:00,GBP/EUR,1.16233,1.16619,1.15963,1.16364,17381.24222,20225.5086968808
1662336000,2022-09-05 00:00:00,GBP/EUR,1.15707,1.16171,1.15655,1.16171,20217.20804,23486.532752148403
1662249600,2022-09-04 00:00:00,GBP/EUR,1.15656,1.15823,1.15582,1.15781,12785.26178,14802.903941501801
1662163200,2022-09-03 00:00:00,GBP/EUR,1.15642,1.15645,1.15642,1.15645,204.50933,236.5048146785
1662076800,2022-09-02 00:00:00,GBP/EUR,1.15516,1.15665,1.15449,1.15665,8736.20896,10104.736093583999
1661990400,2022-09-01 00:00:00,GBP/EUR,1.15423,1.15955,1.15403,1.15955,2272.49033,2635.0661621515
1661904000,2022-08-31 00:00:00,GBP/EUR,1.16343,1.16488,1.15403,1.15403,15683.36268,18099.071033600398
1661817600,2022-08-30 00:00:00,GBP/EUR,1.17222,1.17222,1.16181,1.16266,4845.46270,5633.625662782
1661731200,2022-08-29 00:00:00,GBP/EUR,1.17642,1.17642,1.17019,1.17065,10668.97715,12489.6381006475
1661644800,2022-08-28 00:00:00,GBP/EUR,1.17815,1.17824,1.17782,1.17782,8484.07143,9992.7090116826
1661558400,2022-08-27 00:00:00,GBP/EUR,1.17919,1.17919,1.17846,1.17846,210.54913,248.1237277398
1661472000,2022-08-26 00:00:00,GBP/EUR,1.18531,1.18531,1.17640,1.17836,10911.60041,12857.793459127599
1661385600,2022-08-25 00:00:00,GBP/EUR,1.18362,1.18743,1.18360,1.18743,3821.80751,4538.1288915993
1661299200,2022-08-24 00:00:00,GBP/EUR,1.18757,1.18757,1.18311,1.18434,5814.19502,6885.9837299867995
1661212800,2022-08-23 00:00:00,GBP/EUR,1.18356,1.18777,1.18306,1.18576,35862.39953,42524.1988666928
1661126400,2022-08-22 00:00:00,GBP/EUR,1.17935,1.18478,1.17935,1.18478,2507.60208,2970.9567923424
1661040000,2022-08-21 00:00:00,GBP/EUR,1.17900,1.17900,1.17763,1.17763,1045.55023,1231.2713173549
1660953600,2022-08-20 00:00:00,GBP/EUR,1.17868,1.17868,1.17792,1.17792,465.02463,547.7618121696
1660867200,2022-08-19 00:00:00,GBP/EUR,1.18065,1.18185,1.17560,1.17678,11904.39004,14008.8481112712
1660780800,2022-08-18 00:00:00,GBP/EUR,1.18125,1.18262,1.18125,1.18262,4658.75891,5509.5414621442
1660694400,2022-08-17 00:00:00,GBP/EUR,1.19056,1.19057,1.18338,1.18338,2847.70936,3369.9223024368002
1660608000,2022-08-16 00:00:00,GBP/EUR,1.18655,1.18874,1.18655,1.18874,510.94846,607.3848723404
1660521600,2022-08-15 00:00:00,GBP/EUR,1.18236,1.18335,1.18236,1.18296,8145.46628,9635.7607905888
1660435200,2022-08-14 00:00:00,GBP/EUR,1.18358,1.18418,1.18331,1.18418,8113.20685,9607.497287633
1660348800,2022-08-13 00:00:00,GBP/EUR,1.18215,1.18310,1.18096,1.18310,1678.76488,1986.146729528
