https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT
1663545600000.0,2022-09-19 00:00:00,DOT/USDT,6.447,6.458,6.427,6.438,477.5455576265921,3074.4383
1663459200000.0,2022-09-18 00:00:00,DOT/USDT,7.059,7.06,6.33,6.447,42360.57176981541,273098.6062
1663372800000.0,2022-09-17 00:00:00,DOT/USDT,6.906,7.157,6.902,7.059,19480.758946026348,137514.6774
1663286400000.0,2022-09-16 00:00:00,DOT/USDT,6.929,6.973,6.704,6.907,23703.87314318807,163722.6518
1663200000000.0,2022-09-15 00:00:00,DOT/USDT,7.198,7.233,6.879,6.929,91431.90519555492,633531.6711
1663113600000.0,2022-09-14 00:00:00,DOT/USDT,7.066,7.301,7.025,7.198,58587.2044873576,421710.6979
1663027200000.0,2022-09-13 00:00:00,DOT/USDT,7.665,7.949,7.031,7.066,137883.5867534673,974285.424
1662940800000.0,2022-09-12 00:00:00,DOT/USDT,7.701,8.044,7.567,7.665,113043.38605348988,866477.5541
1662854400000.0,2022-09-11 00:00:00,DOT/USDT,7.777,7.892,7.548,7.701,31582.9271133619,243220.1217
1662768000000.0,2022-09-10 00:00:00,DOT/USDT,7.755,7.873,7.593,7.777,36244.731194548025,281875.2745
1662681600000.0,2022-09-09 00:00:00,DOT/USDT,7.389,7.932,7.359,7.755,65975.99295938104,511643.8254
1662595200000.0,2022-09-08 00:00:00,DOT/USDT,7.195,7.448,7.039,7.389,32866.937528758965,242853.8014
1662508800000.0,2022-09-07 00:00:00,DOT/USDT,6.874,7.291,6.756,7.195,51215.58532314107,368496.1364
1662422400000.0,2022-09-06 00:00:00,DOT/USDT,7.364,7.687,6.821,6.874,100987.10765202212,694185.378
1662336000000.0,2022-09-05 00:00:00,DOT/USDT,7.374,7.633,7.259,7.364,95806.96425855513,705522.4848
1662249600000.0,2022-09-04 00:00:00,DOT/USDT,7.285,7.417,7.149,7.374,49223.21361540548,362971.9772
1662163200000.0,2022-09-03 00:00:00,DOT/USDT,7.301,7.306,7.177,7.285,23661.361482498283,172373.0184
1662076800000.0,2022-09-02 00:00:00,DOT/USDT,7.187,7.574,7.126,7.301,31677.70890289001,231278.9527
1661990400000.0,2022-09-01 00:00:00,DOT/USDT,7.028,7.2,6.865,7.187,34333.964741895084,246758.2046
1661904000000.0,2022-08-31 00:00:00,DOT/USDT,7.01,7.291,6.983,7.028,23003.678073420608,161669.8495
1661817600000.0,2022-08-30 00:00:00,DOT/USDT,7.275,7.376,6.89,7.01,26371.848074179743,184866.655
1661731200000.0,2022-08-29 00:00:00,DOT/USDT,6.856,7.312,6.797,7.275,48246.27261855669,350991.6333
1661644800000.0,2022-08-28 00:00:00,DOT/USDT,7.041,7.148,6.82,6.856,24536.595347141192,168222.8977
