https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZEC,Volume BTC
1663462800,2022-09-18 01:00:00,ZEC/BTC,0.0029241,0.0029247,0.0029211,0.0029247,13.0993,0.03831141933
1663459200,2022-09-18 00:00:00,ZEC/BTC,0.0029251,0.0029275,0.0029121,0.0029246,17.2368,0.05041275141
1663455600,2022-09-17 23:00:00,ZEC/BTC,0.0029169,0.0029251,0.0029156,0.0029251,0.0608,0.00017741253
1663452000,2022-09-17 22:00:00,ZEC/BTC,0.0029184,0.0029195,0.0029103,0.0029195,1.8871,0.00550885933
1663448400,2022-09-17 21:00:00,ZEC/BTC,0.0029171,0.0029267,0.0029152,0.0029209,12.4887,0.03644018448
1663444800,2022-09-17 20:00:00,ZEC/BTC,0.0029171,0.0029204,0.0029138,0.002916,17.24598786,0.050364400856344
1663441200,2022-09-17 19:00:00,ZEC/BTC,0.0029193,0.0029204,0.0029147,0.0029194,0.8468,0.0024687549
1663437600,2022-09-17 18:00:00,ZEC/BTC,0.0029117,0.0029197,0.0029098,0.0029153,1.1458,0.00333585273
1663434000,2022-09-17 17:00:00,ZEC/BTC,0.0029043,0.002918,0.0029043,0.0029145,35.6957,0.10404793043
1663430400,2022-09-17 16:00:00,ZEC/BTC,0.0029005,0.0029178,0.0028844,0.0029127,91.498,0.26586416936
1663426800,2022-09-17 15:00:00,ZEC/BTC,0.0029081,0.0029081,0.0028943,0.0028989,100.764,0.29254312849
1663423200,2022-09-17 14:00:00,ZEC/BTC,0.0028973,0.0029063,0.0028955,0.0028987,11.40391489,0.033115078040797
1663419600,2022-09-17 13:00:00,ZEC/BTC,0.0028928,0.0028997,0.0028913,0.0028916,9.0661,0.02621444632
1663416000,2022-09-17 12:00:00,ZEC/BTC,0.0028762,0.0029004,0.0028754,0.0028984,3.988,0.01154482265
1663412400,2022-09-17 11:00:00,ZEC/BTC,0.0028766,0.0028793,0.0028731,0.0028739,15.268,0.04387936947
1663408800,2022-09-17 10:00:00,ZEC/BTC,0.0028799,0.0028799,0.0028724,0.0028724,4.0709,0.01171868404
1663405200,2022-09-17 09:00:00,ZEC/BTC,0.0028764,0.0028799,0.0028764,0.0028799,0.168,0.0004834335
1663401600,2022-09-17 08:00:00,ZEC/BTC,0.0028678,0.0028789,0.0028667,0.0028764,36.0135,0.10360527102
1663398000,2022-09-17 07:00:00,ZEC/BTC,0.0028706,0.0028711,0.0028654,0.0028691,3.3,0.00946579045
1663394400,2022-09-17 06:00:00,ZEC/BTC,0.0028654,0.0028719,0.0028654,0.0028719,31.62528514,0.090774254684467
1663390800,2022-09-17 05:00:00,ZEC/BTC,0.0028713,0.0028764,0.0028621,0.0028622,10.0336,0.0288062162
1663387200,2022-09-17 04:00:00,ZEC/BTC,0.002868,0.0028736,0.0028648,0.002871,32.3559,0.09287327641
1663383600,2022-09-17 03:00:00,ZEC/BTC,0.0028628,0.0028681,0.0028628,0.0028637,6.652,0.01904999184
1663380000,2022-09-17 02:00:00,ZEC/BTC,0.0028595,0.0028702,0.0028595,0.0028647,49.6888,0.14219981708
1663376400,2022-09-17 01:00:00,ZEC/BTC,0.0028521,0.0028578,0.0028512,0.0028578,61.7932,0.17643334726
1663372800,2022-09-17 00:00:00,ZEC/BTC,0.0028657,0.0028779,0.0028515,0.0028515,405.2841,1.15976072418
1663369200,2022-09-16 23:00:00,ZEC/BTC,0.0028667,0.0028725,0.0028657,0.0028658,5.9591,0.01709812649
1663365600,2022-09-16 22:00:00,ZEC/BTC,0.0028622,0.0028675,0.0028595,0.002864,25.6156,0.07337247833
1663362000,2022-09-16 21:00:00,ZEC/BTC,0.0028697,0.0028697,0.0028597,0.0028605,14.8557,0.0425350786
1663358400,2022-09-16 20:00:00,ZEC/BTC,0.0028727,0.0028748,0.002867,0.002867,21.9842,0.06309200091
1663354800,2022-09-16 19:00:00,ZEC/BTC,0.0028727,0.002875,0.0028727,0.0028727,6.6417,0.01909449613
1663351200,2022-09-16 18:00:00,ZEC/BTC,0.0028803,0.0028856,0.0028738,0.0028738,0.2927,0.00084401695
