https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETC,Volume USDT
1663462800,2022-09-18 01:00:00,ETC/USDT,34.1369,34.1586,34.1322,34.1586,20.71910654,707.505386863826
1663459200,2022-09-18 00:00:00,ETC/USDT,34.453,34.4728,34.0649,34.1339,4507.49904853,154072.214894332848
1663455600,2022-09-17 23:00:00,ETC/USDT,34.4027,34.5271,34.2939,34.4446,1848.91318077,63711.763652569793
1663452000,2022-09-17 22:00:00,ETC/USDT,34.1768,34.4269,34.1475,34.3934,1603.58657828,54954.235017662271
1663448400,2022-09-17 21:00:00,ETC/USDT,34.3844,34.3844,34.0765,34.1662,4878.31050565,166852.245111350163
1663444800,2022-09-17 20:00:00,ETC/USDT,34.254,34.4069,34.0785,34.3906,6755.00967349,231377.268047350916
1663441200,2022-09-17 19:00:00,ETC/USDT,34.3832,34.4113,34.2193,34.2287,3170.02673145,108695.180055872284
1663437600,2022-09-17 18:00:00,ETC/USDT,34.4185,34.5755,34.3618,34.4004,7261.76984535,250451.179432534503
1663434000,2022-09-17 17:00:00,ETC/USDT,34.4338,34.6882,34.194,34.4317,18095.10854144,621257.928259825849
1663430400,2022-09-17 16:00:00,ETC/USDT,34.2151,34.5197,34.2151,34.4296,9006.91313543,309666.187251726579
1663426800,2022-09-17 15:00:00,ETC/USDT,34.4559,34.4559,34.12,34.214,9230.16119839,316070.74048724577
1663423200,2022-09-17 14:00:00,ETC/USDT,33.8099,34.4942,33.7867,34.4474,12126.0483996,413050.137947518818
1663419600,2022-09-17 13:00:00,ETC/USDT,33.8491,33.9052,33.6601,33.83,3232.25016437,109159.624726931296
1663416000,2022-09-17 12:00:00,ETC/USDT,33.7574,33.8536,33.5666,33.8482,8961.80330132,302006.059348440227
1663412400,2022-09-17 11:00:00,ETC/USDT,33.7437,33.9019,33.651,33.7736,4592.65250389,155081.563721913725
1663408800,2022-09-17 10:00:00,ETC/USDT,33.9328,33.9988,33.5162,33.7276,7750.43668743,261329.659710149688
1663405200,2022-09-17 09:00:00,ETC/USDT,34.0454,34.0612,33.7669,33.9398,4766.7905816,161818.292993687794
1663401600,2022-09-17 08:00:00,ETC/USDT,34.0028,34.1574,33.8802,34.05,3990.02996239,135708.918917726172
1663398000,2022-09-17 07:00:00,ETC/USDT,34.0881,34.101,33.7623,34.0108,15258.50431527,517742.247061229238
1663394400,2022-09-17 06:00:00,ETC/USDT,34.0835,34.1011,33.6851,34.0539,5451.94313696,184913.642589738528
1663390800,2022-09-17 05:00:00,ETC/USDT,34.3892,34.3928,33.9765,34.0705,12765.20878101,435622.314097390872
1663387200,2022-09-17 04:00:00,ETC/USDT,34.4531,34.6692,34.348,34.3886,4501.38611733,155253.826267645382
1663383600,2022-09-17 03:00:00,ETC/USDT,34.432,34.6182,34.3596,34.4277,7523.97693734,259339.136119693682
1663380000,2022-09-17 02:00:00,ETC/USDT,34.4759,34.5033,34.3158,34.4396,5303.8935322,182484.193067131945
