https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAG,Volume BTC
1663459200,2022-09-18 00:00:00,DAG/BTC,0.0000037529,0.0000037764,0.0000037516,0.0000037516,97.165,0.00036588271409
1663372800,2022-09-17 00:00:00,DAG/BTC,0.0000037516,0.0000038782,0.0000036652,0.0000037644,236596.7777,0.88938297394071
1663286400,2022-09-16 00:00:00,DAG/BTC,0.000003807,0.00000387,0.0000037018,0.0000037531,388834.5157,1.47343438658439
1663200000,2022-09-15 00:00:00,DAG/BTC,0.0000037545,0.000003859,0.0000036908,0.0000038059,434674.3445,1.64063205673815
1663113600,2022-09-14 00:00:00,DAG/BTC,0.0000037421,0.0000041613,0.0000036881,0.0000037745,1392267.4073,5.26418960517071
1663027200,2022-09-13 00:00:00,DAG/BTC,0.0000035617,0.0000037671,0.0000034955,0.0000037435,621183.8954,2.2545441053385
1662940800,2022-09-12 00:00:00,DAG/BTC,0.0000036257,0.00000369,0.000003482,0.0000035679,696511.7947,2.48144475974966
1662854400,2022-09-11 00:00:00,DAG/BTC,0.000003446,0.0000036949,0.000003446,0.0000036257,783069.4571,2.79528367370542
1662768000,2022-09-10 00:00:00,DAG/BTC,0.0000035349,0.0000036765,0.0000034223,0.000003472,495921.9207,1.75479244821306
1662681600,2022-09-09 00:00:00,DAG/BTC,0.0000037233,0.0000037293,0.0000034885,0.0000035351,603181.3359,2.15869104984401
1662595200,2022-09-08 00:00:00,DAG/BTC,0.0000038704,0.0000039364,0.00000369,0.0000037233,730987.1959,2.77200800570468
1662508800,2022-09-07 00:00:00,DAG/BTC,0.0000038852,0.0000043266,0.0000038294,0.0000038804,1148485.846,4.54181875394487
1662422400,2022-09-06 00:00:00,DAG/BTC,0.0000037946,0.0000039301,0.0000037362,0.0000038672,786165.4593,3.01636919463465
1662336000,2022-09-05 00:00:00,DAG/BTC,0.0000037614,0.000003815,0.0000036328,0.0000037946,409419.2937,1.53099553912935
1662249600,2022-09-04 00:00:00,DAG/BTC,0.000003891,0.0000039834,0.0000037199,0.00000376,500621.3838,1.93094079735981
1662163200,2022-09-03 00:00:00,DAG/BTC,0.0000039301,0.0000039563,0.000003832,0.0000038693,483989.1323,1.88211323572662
1662076800,2022-09-02 00:00:00,DAG/BTC,0.0000037542,0.0000040296,0.000003692,0.0000039304,1739002.6065,6.70383442565155
