https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZIL,Volume USDT
1663459200,2022-09-18 00:00:00,ZIL/USDT,0.0348,0.0348,0.03451,0.03459,474879.82175803,16420.0531441977427
1663372800,2022-09-17 00:00:00,ZIL/USDT,0.03387,0.03484,0.03386,0.03481,10734955.27464539,368119.3879181324218
1663286400,2022-09-16 00:00:00,ZIL/USDT,0.03364,0.0342,0.03321,0.0339,9248563.04284824,311710.888511926884
1663200000,2022-09-15 00:00:00,ZIL/USDT,0.03492,0.03498,0.03334,0.03358,25432034.25814099,866650.2182266732958
1663113600,2022-09-14 00:00:00,ZIL/USDT,0.03426,0.03521,0.034,0.03497,14282395.26364223,494581.5536624710115
1663027200,2022-09-13 00:00:00,ZIL/USDT,0.0376,0.03812,0.03418,0.03435,47150739.1093503,1690193.4643538913224
1662940800,2022-09-12 00:00:00,ZIL/USDT,0.0374,0.03831,0.03676,0.03762,24517108.27501125,920544.9744617743088
1662854400,2022-09-11 00:00:00,ZIL/USDT,0.03752,0.03774,0.03633,0.03741,13275296.63640377,493003.4412783428294
1662768000,2022-09-10 00:00:00,ZIL/USDT,0.03719,0.03845,0.03653,0.0375,36732619.95928719,1378442.4124822077322
1662681600,2022-09-09 00:00:00,ZIL/USDT,0.03545,0.03763,0.03535,0.03721,29150481.35385965,1070293.2631257369249
1662595200,2022-09-08 00:00:00,ZIL/USDT,0.03477,0.03555,0.03403,0.03543,18004527.6960654,624839.5657840270988
1662508800,2022-09-07 00:00:00,ZIL/USDT,0.03381,0.03505,0.0329,0.03479,20972349.28400383,716849.8713516198292
1662422400,2022-09-06 00:00:00,ZIL/USDT,0.03632,0.03702,0.0332,0.0338,31974864.52612091,1122148.5962030815573
1662336000,2022-09-05 00:00:00,ZIL/USDT,0.03655,0.03676,0.03528,0.03625,8390319.96836381,300568.4200154017969
1662249600,2022-09-04 00:00:00,ZIL/USDT,0.0357,0.03654,0.03553,0.03654,6999428.75247719,252226.4357044734961
1662163200,2022-09-03 00:00:00,ZIL/USDT,0.03575,0.03593,0.03527,0.03566,6346982.02654489,226330.3847687266747
1662076800,2022-09-02 00:00:00,ZIL/USDT,0.03645,0.03685,0.03526,0.03574,27780545.3500306,998038.6267306064129
1661990400,2022-09-01 00:00:00,ZIL/USDT,0.0361,0.03644,0.03479,0.03643,11923028.94757714,425315.9345997313573
1661904000,2022-08-31 00:00:00,ZIL/USDT,0.03609,0.03696,0.03576,0.03616,14489523.11871761,529246.2721215303974
1661817600,2022-08-30 00:00:00,ZIL/USDT,0.03708,0.03747,0.03497,0.03602,19219847.29766211,698014.2981253006627
