https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AGIX,Volume USDT
1663459200,2022-09-18 00:00:00,AGIX/USDT,0.05974,0.05975,0.05842,0.05857,25081.1699,1475.449874797
1663372800,2022-09-17 00:00:00,AGIX/USDT,0.0646,0.06878,0.05727,0.05969,5597204.1528,357065.833017118
1663286400,2022-09-16 00:00:00,AGIX/USDT,0.05392,0.06753,0.05173,0.06472,8659099.3608,526235.180111271
1663200000,2022-09-15 00:00:00,AGIX/USDT,0.04973,0.05678,0.0477,0.05392,5116221.3078,270725.580921415
1663113600,2022-09-14 00:00:00,AGIX/USDT,0.0496,0.05107,0.04794,0.04974,2023067.5358,99583.741817016
1663027200,2022-09-13 00:00:00,AGIX/USDT,0.05176,0.05929,0.04895,0.04971,4697192.3223,250359.182213941
1662940800,2022-09-12 00:00:00,AGIX/USDT,0.04841,0.056,0.04811,0.05165,3562627.6614,185267.834182113
1662854400,2022-09-11 00:00:00,AGIX/USDT,0.04496,0.05172,0.04446,0.04823,2291587.0141,110110.556885688
1662768000,2022-09-10 00:00:00,AGIX/USDT,0.0449,0.0476,0.04415,0.04507,1549386.504,70569.533222009
1662681600,2022-09-09 00:00:00,AGIX/USDT,0.04414,0.04601,0.0435,0.04476,1509791.1355,67425.137563647
1662595200,2022-09-08 00:00:00,AGIX/USDT,0.04053,0.04873,0.04014,0.04414,3840403.98,172492.887994501
1662508800,2022-09-07 00:00:00,AGIX/USDT,0.03957,0.04178,0.03865,0.04041,2201843.2598,88026.174427516
1662422400,2022-09-06 00:00:00,AGIX/USDT,0.04148,0.04359,0.03908,0.03962,1789516.4159,73347.654005095
1662336000,2022-09-05 00:00:00,AGIX/USDT,0.04192,0.04325,0.0412,0.04168,1117310.4801,46403.858724281
1662249600,2022-09-04 00:00:00,AGIX/USDT,0.04147,0.0428,0.04144,0.04187,667953.6612,28121.065740734
1662163200,2022-09-03 00:00:00,AGIX/USDT,0.04236,0.04266,0.04102,0.04145,895380.5949,37325.25463348
1662076800,2022-09-02 00:00:00,AGIX/USDT,0.04287,0.04425,0.04218,0.04224,813220.9521,34950.017798979
1661990400,2022-09-01 00:00:00,AGIX/USDT,0.04253,0.04485,0.04131,0.04271,2261610.614,97107.103482615
1661904000,2022-08-31 00:00:00,AGIX/USDT,0.04201,0.04448,0.04177,0.04255,1145527.5527,49095.50257446
1661817600,2022-08-30 00:00:00,AGIX/USDT,0.04456,0.04506,0.0415,0.04179,950013.4672,40877.682037587
1661731200,2022-08-29 00:00:00,AGIX/USDT,0.04199,0.04741,0.04199,0.0448,1754268.4587,77603.854628184
1661644800,2022-08-28 00:00:00,AGIX/USDT,0.04246,0.04627,0.04124,0.04199,1832310.8397,80153.523084494
1661558400,2022-08-27 00:00:00,AGIX/USDT,0.04001,0.05178,0.03924,0.0427,7129897.9291,322456.023362487
1661472000,2022-08-26 00:00:00,AGIX/USDT,0.04337,0.04386,0.03976,0.03977,1531174.9361,63983.54114999
1661385600,2022-08-25 00:00:00,AGIX/USDT,0.04327,0.04471,0.04266,0.0431,598673.5995,25966.581385106
1661299200,2022-08-24 00:00:00,AGIX/USDT,0.04376,0.0447,0.04255,0.04318,687526.9256,29910.794704641
1661212800,2022-08-23 00:00:00,AGIX/USDT,0.04387,0.045,0.04298,0.04385,982035.1687,42995.259498886
1661126400,2022-08-22 00:00:00,AGIX/USDT,0.04234,0.04454,0.04048,0.04408,1048898.3549,44816.97045074
1661040000,2022-08-21 00:00:00,AGIX/USDT,0.04125,0.0431,0.0408,0.0425,715881.6831,30113.169614376
1660953600,2022-08-20 00:00:00,AGIX/USDT,0.04153,0.04249,0.04083,0.04147,808708.8891,33720.528930961
1660867200,2022-08-19 00:00:00,AGIX/USDT,0.04573,0.046,0.04136,0.04145,1813082.2321,77896.188992627
1660780800,2022-08-18 00:00:00,AGIX/USDT,0.0457,0.04748,0.04557,0.04569,997034.8937,46297.335851964
1660694400,2022-08-17 00:00:00,AGIX/USDT,0.04786,0.05005,0.04563,0.0458,1475547.5061,70229.608203774
1660608000,2022-08-16 00:00:00,AGIX/USDT,0.05135,0.05178,0.0469,0.04812,1553252.2091,76618.432786975
1660521600,2022-08-15 00:00:00,AGIX/USDT,0.05506,0.05596,0.05111,0.0513,2394572.2321,128293.177167257
