https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADS,Volume USDT
1663459200,2022-09-18 00:00:00,ADS/USDT,0.1378,0.1394,0.137,0.1378,7752.0471,1068.65044185
1663372800,2022-09-17 00:00:00,ADS/USDT,0.1216,0.1383,0.1203,0.1377,997128.4086,128009.68537389
1663286400,2022-09-16 00:00:00,ADS/USDT,0.1166,0.1228,0.1158,0.1211,667069.9964,80102.10882216
1663200000,2022-09-15 00:00:00,ADS/USDT,0.1179,0.1182,0.115,0.1168,593792.5396,69146.97089812
1663113600,2022-09-14 00:00:00,ADS/USDT,0.1218,0.1219,0.117,0.1179,697253.1305,83201.47949129
1663027200,2022-09-13 00:00:00,ADS/USDT,0.1317,0.1328,0.1211,0.1219,835425.7688,105580.1641199
1662940800,2022-09-12 00:00:00,ADS/USDT,0.1347,0.1361,0.1296,0.131,935624.3811,123333.6173825
1662854400,2022-09-11 00:00:00,ADS/USDT,0.1329,0.1347,0.1297,0.1347,177382.2746,23567.97562199
1662768000,2022-09-10 00:00:00,ADS/USDT,0.1294,0.1334,0.1285,0.1319,506629.6212,66739.55481198
1662681600,2022-09-09 00:00:00,ADS/USDT,0.1207,0.1294,0.1198,0.1293,1060922.7367,130472.52602459
1662595200,2022-09-08 00:00:00,ADS/USDT,0.1248,0.1255,0.1195,0.1201,398575.7792,48459.20181417
1662508800,2022-09-07 00:00:00,ADS/USDT,0.1193,0.1249,0.118,0.1243,591065.6656,71720.95014738
1662422400,2022-09-06 00:00:00,ADS/USDT,0.127,0.1336,0.118,0.1185,329059.6637,41074.51114545
1662336000,2022-09-05 00:00:00,ADS/USDT,0.1337,0.1348,0.1201,0.126,228417.1121,28909.20482412
1662249600,2022-09-04 00:00:00,ADS/USDT,0.1252,0.1389,0.1239,0.1347,218699.2656,28497.73457715
1662163200,2022-09-03 00:00:00,ADS/USDT,0.1237,0.1389,0.1223,0.1253,190202.3095,24321.01568523
1662076800,2022-09-02 00:00:00,ADS/USDT,0.1313,0.1389,0.1201,0.1243,353939.7705,45378.33062018
1661990400,2022-09-01 00:00:00,ADS/USDT,0.1373,0.1447,0.115,0.1313,751095.1057,94698.95133408
1661904000,2022-08-31 00:00:00,ADS/USDT,0.1169,0.17,0.1168,0.1372,1474909.7382,217496.56821641
1661817600,2022-08-30 00:00:00,ADS/USDT,0.1153,0.1379,0.111,0.1168,655547.879,80053.94556744
1661731200,2022-08-29 00:00:00,ADS/USDT,0.1053,0.1269,0.105,0.1153,425700.48,47964.88371346
