https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT
1663462800,2022-09-18 01:00:00,ADA/USDT,0.481934,0.482938,0.481934,0.482937,12353.49922247,5959.41559804954181
1663459200,2022-09-18 00:00:00,ADA/USDT,0.485995,0.486238,0.480738,0.481933,989310.03864863,477547.09660654796008
1663455600,2022-09-17 23:00:00,ADA/USDT,0.483889,0.488299,0.482896,0.485965,1371161.08793476,666112.70492380484504
1663452000,2022-09-17 22:00:00,ADA/USDT,0.482943,0.485299,0.482919,0.483864,210654.26060933,102047.77586924830776
1663448400,2022-09-17 21:00:00,ADA/USDT,0.484741,0.48543,0.48229,0.482919,332173.50533704,160734.74037550704341
1663444800,2022-09-17 20:00:00,ADA/USDT,0.48296,0.48492,0.482301,0.484699,483717.55830492,233844.00833096519238
1663441200,2022-09-17 19:00:00,ADA/USDT,0.481975,0.48296,0.479601,0.482743,545892.06370817,262890.1552073670754
1663437600,2022-09-17 18:00:00,ADA/USDT,0.4828,0.483509,0.481067,0.482004,394893.69857282,190533.28128541782751
1663434000,2022-09-17 17:00:00,ADA/USDT,0.483277,0.484414,0.480949,0.482819,566917.37929577,273334.16227275293027
1663430400,2022-09-17 16:00:00,ADA/USDT,0.480946,0.48491,0.480946,0.483204,3011441.68658201,1455736.40623104588437
1663426800,2022-09-17 15:00:00,ADA/USDT,0.480593,0.482845,0.479352,0.480965,822574.18833884,395737.8930331292469
1663423200,2022-09-17 14:00:00,ADA/USDT,0.48208,0.486219,0.480288,0.480617,2012258.72385745,972201.0052903902172
1663419600,2022-09-17 13:00:00,ADA/USDT,0.476941,0.482073,0.476141,0.481983,667023.68634257,319849.57206496926679
1663416000,2022-09-17 12:00:00,ADA/USDT,0.476275,0.477619,0.473862,0.477,428752.39629784,204058.87194770815423
1663412400,2022-09-17 11:00:00,ADA/USDT,0.475817,0.477189,0.475645,0.476276,220441.68868128,105028.36630158614847
