https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KAI,Volume BTC
1663372800,2022-09-17 00:00:00,KAI/BTC,0.0000004153,0.0000004153,0.0000004153,0.0000004153,957.6953,0.00039773085809
1663286400,2022-09-16 00:00:00,KAI/BTC,0.0000004201,0.0000004264,0.0000004065,0.0000004155,221134.2369,0.09026533522767
1663200000,2022-09-15 00:00:00,KAI/BTC,0.0000004205,0.0000004262,0.0000004093,0.0000004212,60581.3003,0.02522523735815
1663113600,2022-09-14 00:00:00,KAI/BTC,0.0000004274,0.0000004277,0.0000004091,0.0000004152,96376.7191,0.04038043844397
1663027200,2022-09-13 00:00:00,KAI/BTC,0.0000003879,0.0000004278,0.0000003785,0.0000004273,225523.8184,0.09175911465789
1662940800,2022-09-12 00:00:00,KAI/BTC,0.000000399,0.000000409,0.0000003802,0.0000003834,57324.5075,0.02244832884669
1662854400,2022-09-11 00:00:00,KAI/BTC,0.0000004056,0.0000004139,0.0000003916,0.0000003987,316456.3882,0.12690922682091
1662768000,2022-09-10 00:00:00,KAI/BTC,0.0000003947,0.0000004196,0.0000003893,0.0000004072,270015.8429,0.10781627312146
1662681600,2022-09-09 00:00:00,KAI/BTC,0.00000041,0.0000004139,0.0000003806,0.0000003969,394211.286,0.15490107110053
1662595200,2022-09-08 00:00:00,KAI/BTC,0.00000041,0.0000004186,0.0000003939,0.0000004088,389729.2701,0.1562536728533
1662508800,2022-09-07 00:00:00,KAI/BTC,0.0000004222,0.0000004345,0.0000004058,0.0000004102,252365.7229,0.10512262928053
1662422400,2022-09-06 00:00:00,KAI/BTC,0.0000004087,0.00000043,0.0000004067,0.0000004298,316469.865,0.13339825518123
1662336000,2022-09-05 00:00:00,KAI/BTC,0.000000414,0.0000004175,0.0000004057,0.0000004104,122419.7292,0.0502197809038
1662249600,2022-09-04 00:00:00,KAI/BTC,0.0000004088,0.000000423,0.0000004071,0.0000004164,67812.5964,0.0283592946003
1662163200,2022-09-03 00:00:00,KAI/BTC,0.0000004141,0.0000004176,0.0000004043,0.0000004081,124307.8894,0.05111229625948
1662076800,2022-09-02 00:00:00,KAI/BTC,0.0000004091,0.0000004205,0.0000003967,0.0000004152,180154.9818,0.07268084561259
