https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume BCH
1663549200000,2022-09-19 01:00:00,BCH/ETH,0.083669,0.084297,0.083602,0.083885,0.313478245,3.737
1663545600000,2022-09-19 00:00:00,BCH/ETH,0.0836,0.083913,0.083332,0.083913,1.02507530220306,12.21592962
1663542000000,2022-09-18 23:00:00,BCH/ETH,0.083958,0.083958,0.083437,0.083575,1.2878824710605,15.40990094
1663538400000,2022-09-18 22:00:00,BCH/ETH,0.084288,0.084288,0.083813,0.083889,1.1679865470000002,13.923
1663534800000,2022-09-18 21:00:00,BCH/ETH,0.084085,0.084385,0.082683,0.084224,3.47057411923712,41.20647463
1663531200000,2022-09-18 20:00:00,BCH/ETH,0.084097,0.084339,0.083803,0.084239,2.48466234269341,29.49539219
1663527600000,2022-09-18 19:00:00,BCH/ETH,0.083888,0.084093,0.083626,0.084062,1.17500969096258,13.97789359
1663524000000,2022-09-18 18:00:00,BCH/ETH,0.083965,0.084195,0.083681,0.083919,1.3496391198681599,16.08264064
1663520400000,2022-09-18 17:00:00,BCH/ETH,0.08383,0.084048,0.083628,0.083927,1.3082316246882302,15.58773249
1663516800000,2022-09-18 16:00:00,BCH/ETH,0.083379,0.084073,0.08303,0.083864,1.16609724792176,13.90462234
1663513200000,2022-09-18 15:00:00,BCH/ETH,0.083492,0.083498,0.083181,0.083365,1.1541887784676,13.84500424
1663509600000,2022-09-18 14:00:00,BCH/ETH,0.083628,0.083842,0.083361,0.083421,1.21779067113522,14.59813082
1663506000000,2022-09-18 13:00:00,BCH/ETH,0.083588,0.08379,0.08349,0.08379,1.17021114,13.966
1663502400000,2022-09-18 12:00:00,BCH/ETH,0.083522,0.083847,0.083522,0.083592,1.176640992,14.076
1663498800000,2022-09-18 11:00:00,BCH/ETH,0.08372,0.083862,0.083538,0.08363,1.23747311,14.797
1663495200000,2022-09-18 10:00:00,BCH/ETH,0.083835,0.084151,0.083457,0.083741,1.3415098051960501,16.01974905
1663491600000,2022-09-18 09:00:00,BCH/ETH,0.083413,0.08402,0.083283,0.08402,1.2840407155657998,15.28256029
1663488000000,2022-09-18 08:00:00,BCH/ETH,0.083659,0.083706,0.083291,0.083366,1.220561606,14.641
1663484400000,2022-09-18 07:00:00,BCH/ETH,0.083472,0.083605,0.083248,0.083388,1.185527196,14.217
1663480800000,2022-09-18 06:00:00,BCH/ETH,0.083689,0.083776,0.083146,0.083535,1.4067294,16.84
1663477200000,2022-09-18 05:00:00,BCH/ETH,0.083501,0.083825,0.083291,0.08368,1.1535149626752,13.78483464
1663473600000,2022-09-18 04:00:00,BCH/ETH,0.083451,0.083657,0.083247,0.083542,1.24840021620312,14.94338436
1663470000000,2022-09-18 03:00:00,BCH/ETH,0.083221,0.083556,0.083221,0.083453,1.2341953765140798,14.78910736
1663466400000,2022-09-18 02:00:00,BCH/ETH,0.082956,0.083413,0.082933,0.083297,1.135421407,13.631
1663462800000,2022-09-18 01:00:00,BCH/ETH,0.083148,0.083164,0.082716,0.082939,1.1613550137445101,14.00252009
1663459200000,2022-09-18 00:00:00,BCH/ETH,0.08322,0.083611,0.083054,0.083225,1.25811144531175,15.11698943
1663455600000,2022-09-17 23:00:00,BCH/ETH,0.083331,0.083517,0.083072,0.083173,1.13123975071766,13.60104542
1663452000000,2022-09-17 22:00:00,BCH/ETH,0.08395,0.08417,0.083277,0.083375,1.2282861178075002,14.73206738
1663448400000,2022-09-17 21:00:00,BCH/ETH,0.083585,0.084204,0.083426,0.084162,1.325617020117,15.7507785
