https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AOA,Volume USDT
1663462800,2022-09-18 01:00:00,AOA/USDT,0.0002625,0.0002625,0.0002625,0.0002625,618912,162.4644
1663459200,2022-09-18 00:00:00,AOA/USDT,0.0002676,0.0002682,0.000262,0.0002626,14994129.8164,4013.91522664875
1663455600,2022-09-17 23:00:00,AOA/USDT,0.0002613,0.0002682,0.0002609,0.000267,17199784.5028,4519.9069175696
1663452000,2022-09-17 22:00:00,AOA/USDT,0.000264,0.0002699,0.0002589,0.0002613,19597191.4159,5205.94141739068
1663448400,2022-09-17 21:00:00,AOA/USDT,0.000262,0.00027,0.0002581,0.000264,20760228.0799,5517.34867439709
1663444800,2022-09-17 20:00:00,AOA/USDT,0.000259,0.0002624,0.0002581,0.000262,16539074.7854,4295.62937189379
1663441200,2022-09-17 19:00:00,AOA/USDT,0.000259,0.0002615,0.0002581,0.000259,18273644.2795,4729.27877164475
1663437600,2022-09-17 18:00:00,AOA/USDT,0.0002581,0.000261,0.0002581,0.000259,17881314.147,4638.2834999262
1663434000,2022-09-17 17:00:00,AOA/USDT,0.000264,0.0002659,0.000258,0.0002582,16224669.2723,4251.73214004076
1663430400,2022-09-17 16:00:00,AOA/USDT,0.000261,0.0002652,0.0002579,0.000264,18414878.1255,4801.79033445146
1663426800,2022-09-17 15:00:00,AOA/USDT,0.000261,0.000262,0.000261,0.000261,18065918.9597,4717.78218738918
1663423200,2022-09-17 14:00:00,AOA/USDT,0.000259,0.0002614,0.000259,0.000261,16431884.851,4279.82742398807
1663419600,2022-09-17 13:00:00,AOA/USDT,0.000259,0.0002613,0.000258,0.000259,16470092.0371,4276.45067589157
1663416000,2022-09-17 12:00:00,AOA/USDT,0.000259,0.0002592,0.000258,0.000258,16522352.3458,4267.80814646922
1663412400,2022-09-17 11:00:00,AOA/USDT,0.000258,0.0002618,0.0002573,0.000259,17596359.9011,4550.03642219123
1663408800,2022-09-17 10:00:00,AOA/USDT,0.000258,0.000258,0.000258,0.000258,13740193,3544.969794
1663405200,2022-09-17 09:00:00,AOA/USDT,0.000257,0.0002587,0.000256,0.000258,15945131.1925,4110.46933017126
1663401600,2022-09-17 08:00:00,AOA/USDT,0.000257,0.000257,0.000256,0.000256,15788211.2,4048.1501592
1663398000,2022-09-17 07:00:00,AOA/USDT,0.000258,0.000258,0.0002556,0.000257,17368563.4823,4465.55737123878
1663394400,2022-09-17 06:00:00,AOA/USDT,0.000258,0.000258,0.000257,0.000258,13762082.3,3548.7809949
1663390800,2022-09-17 05:00:00,AOA/USDT,0.000258,0.000259,0.000258,0.000258,13734354.5745,3543.7706615955
1663387200,2022-09-17 04:00:00,AOA/USDT,0.000257,0.0002593,0.000257,0.000258,11208272.7713,2894.59926238766
1663383600,2022-09-17 03:00:00,AOA/USDT,0.000258,0.000258,0.000258,0.000258,0,0
1663380000,2022-09-17 02:00:00,AOA/USDT,0.000258,0.000258,0.000258,0.000258,1936.12,0.49951896
1663376400,2022-09-17 01:00:00,AOA/USDT,0.000257,0.000258,0.0002561,0.000257,17293902.6929,4451.6520156845
1663372800,2022-09-17 00:00:00,AOA/USDT,0.000257,0.0002582,0.000257,0.000258,13624602.3025,3503.35008888044
1663369200,2022-09-16 23:00:00,AOA/USDT,0.000258,0.0002633,0.0002564,0.000257,16145502.869,4169.51529115157
1663365600,2022-09-16 22:00:00,AOA/USDT,0.000258,0.0002598,0.000255,0.000258,17911822.3247,4608.95569979133
1663362000,2022-09-16 21:00:00,AOA/USDT,0.000257,0.0002582,0.0002569,0.000258,20169913.0521,5199.63055834834
1663358400,2022-09-16 20:00:00,AOA/USDT,0.000258,0.0002585,0.0002562,0.000258,17507459.171,4511.80183215417
1663354800,2022-09-16 19:00:00,AOA/USDT,0.000257,0.0002593,0.0002535,0.000258,17530803.1467,4516.27623790093
1663351200,2022-09-16 18:00:00,AOA/USDT,0.000257,0.000257,0.0002559,0.000257,6146127.2285,1579.55333688315
1663347600,2022-09-16 17:00:00,AOA/USDT,0.000257,0.000258,0.0002556,0.000258,5569724.2047,1431.41744768919
1663344000,2022-09-16 16:00:00,AOA/USDT,0.000254,0.0002579,0.0002535,0.000257,15600801.8243,3982.1129874522
1663340400,2022-09-16 15:00:00,AOA/USDT,0.000257,0.000258,0.0002533,0.0002556,16875867.8587,4327.78315301768
1663336800,2022-09-16 14:00:00,AOA/USDT,0.0002568,0.0002577,0.0002556,0.000257,16575615.8463,4259.90761305269
1663333200,2022-09-16 13:00:00,AOA/USDT,0.0002586,0.0002586,0.0002568,0.000257,15713195.7388,4052.3404422625
1663329600,2022-09-16 12:00:00,AOA/USDT,0.000257,0.0002592,0.0002566,0.000258,16188818.7187,4176.71927190639
1663326000,2022-09-16 11:00:00,AOA/USDT,0.000257,0.0002591,0.0002563,0.000257,16430097.614,4223.96763866149
1663322400,2022-09-16 10:00:00,AOA/USDT,0.0002568,0.000258,0.000256,0.000258,16412435.3748,4217.93508149711
1663318800,2022-09-16 09:00:00,AOA/USDT,0.000259,0.000261,0.0002536,0.000256,15472407.7284,4008.83321767267
1663315200,2022-09-16 08:00:00,AOA/USDT,0.000255,0.00026,0.000255,0.000259,17492544.9723,4504.34760182537
1663311600,2022-09-16 07:00:00,AOA/USDT,0.000255,0.0002578,0.0002543,0.000255,15105684.4642,3861.44046688323
1663308000,2022-09-16 06:00:00,AOA/USDT,0.000256,0.000257,0.0002543,0.000255,15871599.9775,4053.45915669731
1663304400,2022-09-16 05:00:00,AOA/USDT,0.000256,0.0002582,0.0002551,0.000256,19380693.077,4972.8800598202
1663300800,2022-09-16 04:00:00,AOA/USDT,0.000259,0.000259,0.0002552,0.000256,18607425.4657,4781.11601933089
1663297200,2022-09-16 03:00:00,AOA/USDT,0.000257,0.0002598,0.000257,0.000259,17258928.1263,4468.52903575069
1663293600,2022-09-16 02:00:00,AOA/USDT,0.000262,0.000262,0.0002563,0.000257,15730382.7399,4082.48242472914
1663290000,2022-09-16 01:00:00,AOA/USDT,0.000262,0.0002628,0.000261,0.000262,12259520.9761,3209.85965743908
1663286400,2022-09-16 00:00:00,AOA/USDT,0.00026,0.0002627,0.0002589,0.000262,15747841.4267,4098.82208514919
1663282800,2022-09-15 23:00:00,AOA/USDT,0.000261,0.0002633,0.000259,0.00026,15101780.9147,3932.67264750965
1663279200,2022-09-15 22:00:00,AOA/USDT,0.000263,0.000263,0.00026,0.000261,20046366.6225,5261.89682523702
1663275600,2022-09-15 21:00:00,AOA/USDT,0.0002638,0.0002651,0.0002616,0.000263,19238370.2991,5061.19871110277
1663272000,2022-09-15 20:00:00,AOA/USDT,0.000261,0.000263,0.0002591,0.000263,18398297.2569,4801.76311294688
1663268400,2022-09-15 19:00:00,AOA/USDT,0.0002655,0.000266,0.00026,0.000261,16342880.3161,4266.987429851
1663264800,2022-09-15 18:00:00,AOA/USDT,0.000261,0.0002688,0.0002603,0.0002662,16220972.4522,4287.39629876264
1663261200,2022-09-15 17:00:00,AOA/USDT,0.000263,0.0002688,0.0002604,0.000261,17212162.3582,4525.186995689
1663257600,2022-09-15 16:00:00,AOA/USDT,0.000264,0.0002641,0.000263,0.000264,17924475.9559,4726.95848712087
1663254000,2022-09-15 15:00:00,AOA/USDT,0.000263,0.0002652,0.0002628,0.000264,18766256.9566,4954.0030832752
1663250400,2022-09-15 14:00:00,AOA/USDT,0.000265,0.000266,0.000263,0.000264,12622843.2378,3343.66683385031
1663246800,2022-09-15 13:00:00,AOA/USDT,0.000266,0.000266,0.000265,0.0002651,15646069.1597,4159.90734305842
1663243200,2022-09-15 12:00:00,AOA/USDT,0.000266,0.0002668,0.000265,0.000266,16181470.2728,4301.65296308969
1663239600,2022-09-15 11:00:00,AOA/USDT,0.000266,0.0002662,0.0002643,0.000266,15906183.725,4226.12252289732
1663236000,2022-09-15 10:00:00,AOA/USDT,0.000266,0.0002661,0.000266,0.000266,849170.6187,225.88005956056
1663232400,2022-09-15 09:00:00,AOA/USDT,0.000267,0.000267,0.000266,0.000267,965825.2034,257.8147511974
1663228800,2022-09-15 08:00:00,AOA/USDT,0.000267,0.000267,0.000266,0.000267,4961951.695,1324.2548967491
1663225200,2022-09-15 07:00:00,AOA/USDT,0.000267,0.0002687,0.000266,0.000267,17354829.7769,4633.27671589134
1663221600,2022-09-15 06:00:00,AOA/USDT,0.000267,0.0002676,0.000266,0.000267,17369508.8661,4633.22938853198
1663218000,2022-09-15 05:00:00,AOA/USDT,0.000266,0.000267,0.000265,0.000267,8934244.1655,2377.25844971964
