https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WNXM,Volume USDT
1663462800,2022-09-18 01:00:00,WNXM/USDT,15.9015,15.9015,15.9015,15.9015,4.8861,77.69631915
1663459200,2022-09-18 00:00:00,WNXM/USDT,15.9041,15.9563,15.9015,15.906,17.5212,278.62206381
1663455600,2022-09-17 23:00:00,WNXM/USDT,15.9652,15.9818,15.9652,15.9818,20.4125,326.22799284
1663452000,2022-09-17 22:00:00,WNXM/USDT,15.9772,15.9818,15.9602,15.98,1.9942,31.86991832
1663448400,2022-09-17 21:00:00,WNXM/USDT,15.972,15.972,15.9141,15.9141,6.3512,101.2545114
1663444800,2022-09-17 20:00:00,WNXM/USDT,15.9719,15.9719,15.9719,15.9719,9.5249,152.13075031
1663441200,2022-09-17 19:00:00,WNXM/USDT,15.9341,15.9341,15.851,15.851,24.3986,387.93054146
1663437600,2022-09-17 18:00:00,WNXM/USDT,16.0385,16.0385,15.9818,15.9837,17.6177,281.65367365
1663434000,2022-09-17 17:00:00,WNXM/USDT,15.9999,15.9999,15.9818,15.9818,4.2024,67.19281302
1663430400,2022-09-17 16:00:00,WNXM/USDT,15.9909,16.0838,15.9818,15.9818,75.9782,1218.10763645
1663426800,2022-09-17 15:00:00,WNXM/USDT,15.9525,15.9909,15.9525,15.9909,26.3687,421.34344424
1663423200,2022-09-17 14:00:00,WNXM/USDT,15.9389,15.9525,15.9389,15.9525,0.8147,12.98976709
1663419600,2022-09-17 13:00:00,WNXM/USDT,15.9329,15.9329,15.8344,15.8344,0.1325,2.1060168
1663416000,2022-09-17 12:00:00,WNXM/USDT,15.741,15.9308,15.7409,15.9308,29.8749,475.02378362
1663412400,2022-09-17 11:00:00,WNXM/USDT,15.6808,15.8571,15.6808,15.7409,138.6541,2187.3623944
1663408800,2022-09-17 10:00:00,WNXM/USDT,15.655,15.6773,15.5803,15.6146,53.8374,842.98356469
1663405200,2022-09-17 09:00:00,WNXM/USDT,15.6331,15.6331,15.6331,15.6331,0,0
1663401600,2022-09-17 08:00:00,WNXM/USDT,15.6043,15.6331,15.5747,15.6331,0.3744,5.83575656
1663398000,2022-09-17 07:00:00,WNXM/USDT,15.5802,15.5946,15.5802,15.5946,16.7923,261.62903608
