https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WSIENNA,Volume USDT
1663462800,2022-09-18 01:00:00,WSIENNA/USDT,0.7749,0.7749,0.7749,0.7749,0.1837,0.14234913
1663459200,2022-09-18 00:00:00,WSIENNA/USDT,0.7718,0.7914,0.761,0.7719,10292.0505,7951.67296708
1663455600,2022-09-17 23:00:00,WSIENNA/USDT,0.781,0.7812,0.7488,0.7718,38720.8212,29761.07660813
1663452000,2022-09-17 22:00:00,WSIENNA/USDT,0.7558,0.7845,0.7558,0.7844,11798.0731,9074.59019984
1663448400,2022-09-17 21:00:00,WSIENNA/USDT,0.7405,0.7647,0.7405,0.7595,13219.5559,9973.73157538
1663444800,2022-09-17 20:00:00,WSIENNA/USDT,0.7345,0.7499,0.725,0.7421,8785.9972,6486.66759323
1663441200,2022-09-17 19:00:00,WSIENNA/USDT,0.7444,0.7451,0.731,0.7361,50369.934,37070.73600846
1663437600,2022-09-17 18:00:00,WSIENNA/USDT,0.7458,0.7523,0.7349,0.7468,44383.2319,33065.27341393
1663434000,2022-09-17 17:00:00,WSIENNA/USDT,0.7517,0.7517,0.739,0.7439,31574.7202,23530.55339286
1663430400,2022-09-17 16:00:00,WSIENNA/USDT,0.7398,0.7548,0.7388,0.752,37967.8173,28365.91455048
1663426800,2022-09-17 15:00:00,WSIENNA/USDT,0.7485,0.7518,0.728,0.7442,23629.4485,17485.15868401
1663423200,2022-09-17 14:00:00,WSIENNA/USDT,0.7362,0.7517,0.731,0.7517,9134.9863,6755.58549967
1663419600,2022-09-17 13:00:00,WSIENNA/USDT,0.7394,0.749,0.7285,0.7397,19577.483,14489.99070038
1663416000,2022-09-17 12:00:00,WSIENNA/USDT,0.7402,0.742,0.7247,0.7395,16989.6899,12488.89950878
1663412400,2022-09-17 11:00:00,WSIENNA/USDT,0.7359,0.7419,0.7314,0.7397,11879.2748,8748.50351214
1663408800,2022-09-17 10:00:00,WSIENNA/USDT,0.7361,0.7443,0.7314,0.7392,15663.7895,11543.57838455
1663405200,2022-09-17 09:00:00,WSIENNA/USDT,0.7302,0.7429,0.7197,0.74,9198.2499,6736.60629634
1663401600,2022-09-17 08:00:00,WSIENNA/USDT,0.7337,0.7429,0.7267,0.735,7144.3133,5241.75208081
1663398000,2022-09-17 07:00:00,WSIENNA/USDT,0.7359,0.7422,0.7237,0.7383,10151.503,7446.19796784
1663394400,2022-09-17 06:00:00,WSIENNA/USDT,0.7306,0.7396,0.723,0.7353,3936.8088,2876.02222319
1663390800,2022-09-17 05:00:00,WSIENNA/USDT,0.7269,0.7352,0.7182,0.7308,17431.6458,12683.15920972
1663387200,2022-09-17 04:00:00,WSIENNA/USDT,0.7246,0.7362,0.7179,0.7315,13668.2759,9948.37477235
1663383600,2022-09-17 03:00:00,WSIENNA/USDT,0.7265,0.7358,0.7176,0.7246,14766.2694,10728.77625168
1663380000,2022-09-17 02:00:00,WSIENNA/USDT,0.7309,0.7358,0.7226,0.7316,10359.8892,7546.49533189
1663376400,2022-09-17 01:00:00,WSIENNA/USDT,0.723,0.735,0.7129,0.7306,16011.9072,11611.86125193
1663372800,2022-09-17 00:00:00,WSIENNA/USDT,0.7118,0.7323,0.703,0.7273,14201.8182,10220.63969238
