https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RUNE,Volume USDT
1663459200,2022-09-18 00:00:00,RUNE/USDT,1.8002,1.8002,1.78,1.7816,30951.73522841,55208.449385381738
1663372800,2022-09-17 00:00:00,RUNE/USDT,1.7255,1.98,1.725,1.7999,612502.33263282,1104203.001680684649
1663286400,2022-09-16 00:00:00,RUNE/USDT,1.7087,1.879,1.6732,1.7245,420757.44242372,720367.050516500632
1663200000,2022-09-15 00:00:00,RUNE/USDT,1.8,1.8111,1.6669,1.7078,540154.77564226,936784.025919077725
1663113600,2022-09-14 00:00:00,RUNE/USDT,1.7783,1.8248,1.731,1.8006,518860.49739024,929067.549579708891
1663027200,2022-09-13 00:00:00,RUNE/USDT,1.9471,1.9709,1.768,1.7763,904882.7939009,1686382.012841213222
1662940800,2022-09-12 00:00:00,RUNE/USDT,2.0097,2.0891,1.926,1.9465,686523.54867322,1386840.453355968069
1662854400,2022-09-11 00:00:00,RUNE/USDT,2.0317,2.046,1.9738,2.0092,533098.25303532,1073236.517796493654
1662768000,2022-09-10 00:00:00,RUNE/USDT,2.0099,2.0523,1.9695,2.03,558984.90171327,1124252.249125727269
1662681600,2022-09-09 00:00:00,RUNE/USDT,1.8442,2.0353,1.84,2.005,1119799.13039457,2198381.900143376795
1662595200,2022-09-08 00:00:00,RUNE/USDT,1.834,1.8855,1.8033,1.8424,818434.62430825,1508391.010704611249
1662508800,2022-09-07 00:00:00,RUNE/USDT,1.7556,1.8625,1.7248,1.8319,606921.84293605,1087651.914802664514
1662422400,2022-09-06 00:00:00,RUNE/USDT,1.9132,1.9757,1.7523,1.7545,954268.67693558,1794754.51513307015
1662336000,2022-09-05 00:00:00,RUNE/USDT,1.945,1.9643,1.8586,1.9112,450478.03090348,854165.908222943505
1662249600,2022-09-04 00:00:00,RUNE/USDT,1.8919,1.9464,1.8786,1.9427,253419.54099755,486238.036567804555
1662163200,2022-09-03 00:00:00,RUNE/USDT,1.9011,1.916,1.8594,1.8919,247292.09060035,466621.02965676733
1662076800,2022-09-02 00:00:00,RUNE/USDT,1.9368,1.9821,1.8761,1.9047,781740.7469602,1517216.732328722878
1661990400,2022-09-01 00:00:00,RUNE/USDT,1.9123,1.9423,1.8452,1.9358,715682.22195569,1357376.559881567636
1661904000,2022-08-31 00:00:00,RUNE/USDT,1.8905,1.9891,1.8887,1.9126,716907.18482395,1398221.587756604546
1661817600,2022-08-30 00:00:00,RUNE/USDT,1.9628,1.9979,1.8428,1.8845,503494.55864794,965252.297176067537
1661731200,2022-08-29 00:00:00,RUNE/USDT,1.8443,1.9692,1.8302,1.9615,426873.19463196,815380.164598179813
1661644800,2022-08-28 00:00:00,RUNE/USDT,1.9456,1.9716,1.841,1.8436,480293.64437351,920609.113597416237
1661558400,2022-08-27 00:00:00,RUNE/USDT,1.9487,1.9771,1.9014,1.9469,597977.44333497,1162277.597188215356
1661472000,2022-08-26 00:00:00,RUNE/USDT,2.1836,2.2006,1.927,1.9497,1033103.77398528,2154585.60606142779
1661385600,2022-08-25 00:00:00,RUNE/USDT,2.1816,2.2821,2.1537,2.189,552916.59254224,1222457.104899308525
1661299200,2022-08-24 00:00:00,RUNE/USDT,2.171,2.2605,2.092,2.1822,968056.67742383,2101550.105758554734
1661212800,2022-08-23 00:00:00,RUNE/USDT,2.1257,2.1972,2.05,2.1683,1336355.55822778,2869757.819514812523
1661126400,2022-08-22 00:00:00,RUNE/USDT,2.1711,2.1711,2.0338,2.125,755893.4887372,1585510.021632568284
1661040000,2022-08-21 00:00:00,RUNE/USDT,2.0907,2.2014,2.082,2.1705,807417.04517469,1735824.043360410522
1660953600,2022-08-20 00:00:00,RUNE/USDT,2.0851,2.1986,2.024,2.0904,923720.75722635,1943870.864596314122
1660867200,2022-08-19 00:00:00,RUNE/USDT,2.393,2.395,2.0804,2.0868,1636461.7313906,3590544.062787983549
1660780800,2022-08-18 00:00:00,RUNE/USDT,2.4864,2.5784,2.3877,2.3925,962811.86996272,2410479.939802780109
1660694400,2022-08-17 00:00:00,RUNE/USDT,2.6338,2.8001,2.4659,2.4861,2267197.25160764,5897360.484867839426
1660608000,2022-08-16 00:00:00,RUNE/USDT,2.7,2.744,2.5841,2.6329,1375674.12361201,3649757.572187535548
1660521600,2022-08-15 00:00:00,RUNE/USDT,2.8,2.99,2.6501,2.7,1493629.49978669,4150783.3216775092
1660435200,2022-08-14 00:00:00,RUNE/USDT,2.9147,3.0218,2.7759,2.7952,1553565.4849844,4498995.305934281139
1660348800,2022-08-13 00:00:00,RUNE/USDT,2.9716,3.0121,2.8002,2.9163,909115.96699409,2651915.146674592762
1660262400,2022-08-12 00:00:00,RUNE/USDT,2.8589,2.98,2.81,2.9685,1112951.11872753,3216969.516600832592
