https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume APL,Volume USDT
1663459200,2022-09-18 00:00:00,APL/USDT,0.0008072,0.0008115,0.0008,0.0008,1141935.6323,924.55716232352
1663372800,2022-09-17 00:00:00,APL/USDT,0.0008438,0.000848,0.000786,0.0008069,19237392.536,15487.27445939843
1663286400,2022-09-16 00:00:00,APL/USDT,0.0008567,0.0008688,0.00082,0.0008438,16436487.799,13779.66477199948
1663200000,2022-09-15 00:00:00,APL/USDT,0.0008662,0.000915,0.000849,0.0008624,14258120.8159,12460.08088540718
1663113600,2022-09-14 00:00:00,APL/USDT,0.000866,0.0009094,0.0008285,0.0008645,19478444.5913,16737.26715580485
1663027200,2022-09-13 00:00:00,APL/USDT,0.0009715,0.000984,0.0008234,0.0008664,19905234.8666,17958.58953937217
1662940800,2022-09-12 00:00:00,APL/USDT,0.0009715,0.001023,0.0009424,0.0009785,17759380.501,17511.09613161713
1662854400,2022-09-11 00:00:00,APL/USDT,0.0009738,0.0010203,0.0009179,0.0009785,23518644.5449,22779.77184070632
1662768000,2022-09-10 00:00:00,APL/USDT,0.000987,0.0010003,0.0008794,0.000969,46613920.1647,43683.10153767036
1662681600,2022-09-09 00:00:00,APL/USDT,0.0010495,0.001109,0.0009558,0.0009862,104102764.8926,107823.17284721059
1662595200,2022-09-08 00:00:00,APL/USDT,0.0010465,0.0011191,0.0009313,0.0010579,186779947.3711,186717.8598147553
1662508800,2022-09-07 00:00:00,APL/USDT,0.0010883,0.0010968,0.000993,0.0010411,164369996.2413,171117.70684107443
1662422400,2022-09-06 00:00:00,APL/USDT,0.001107,0.0012124,0.001,0.0010889,116562621.6721,129911.55901489802
1662336000,2022-09-05 00:00:00,APL/USDT,0.001002,0.00112,0.0009885,0.0011064,121313811.2316,125954.64211042612
1662249600,2022-09-04 00:00:00,APL/USDT,0.0010778,0.0010818,0.00098,0.0010007,143472239.7145,147880.48848515185
1662163200,2022-09-03 00:00:00,APL/USDT,0.0011287,0.0011498,0.00105,0.0010779,102326814.4447,111919.60089593436
1662076800,2022-09-02 00:00:00,APL/USDT,0.0011244,0.0011872,0.001002,0.0011283,153550794.2548,170330.93088649476
1661990400,2022-09-01 00:00:00,APL/USDT,0.0009698,0.0011791,0.0009642,0.0011251,119393608.1529,124539.86573051223
1661904000,2022-08-31 00:00:00,APL/USDT,0.0010454,0.0010638,0.0009618,0.0009698,106555492.4144,107636.49338867468
1661817600,2022-08-30 00:00:00,APL/USDT,0.0010223,0.0010795,0.0010051,0.0010468,49691684.6789,51870.84097195433
