https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LPOOL,Volume USDT
1663459200,2022-09-18 00:00:00,LPOOL/USDT,0.129,0.1299,0.129,0.129,66911.335,8645.17148287
1663372800,2022-09-17 00:00:00,LPOOL/USDT,0.1223,0.1303,0.121,0.129,1726442.1157,217017.89754613
1663286400,2022-09-16 00:00:00,LPOOL/USDT,0.1315,0.1393,0.1196,0.1229,1050057.7382,133821.14328418
1663200000,2022-09-15 00:00:00,LPOOL/USDT,0.1302,0.1497,0.1277,0.1313,1699822.657,226377.06313792
1663113600,2022-09-14 00:00:00,LPOOL/USDT,0.1323,0.1384,0.1279,0.1294,1102901.139,144658.51725412
1663027200,2022-09-13 00:00:00,LPOOL/USDT,0.1451,0.1579,0.1311,0.133,1777704.8479,247200.40136914
1662940800,2022-09-12 00:00:00,LPOOL/USDT,0.1283,0.169,0.1241,0.145,1896927.757,268303.3703392
1662854400,2022-09-11 00:00:00,LPOOL/USDT,0.1338,0.1456,0.1279,0.1291,857063.6381,116483.51466806
1662768000,2022-09-10 00:00:00,LPOOL/USDT,0.1346,0.1431,0.1268,0.1336,1323868.7154,175260.9139848
1662681600,2022-09-09 00:00:00,LPOOL/USDT,0.1292,0.159,0.1234,0.1339,1286838.9863,169018.88179331
1662595200,2022-09-08 00:00:00,LPOOL/USDT,0.1305,0.16,0.1231,0.1288,2020701.6586,264427.20385165
1662508800,2022-09-07 00:00:00,LPOOL/USDT,0.1176,0.1442,0.1153,0.1306,1276540.3146,159408.31435487
1662422400,2022-09-06 00:00:00,LPOOL/USDT,0.1261,0.1285,0.1149,0.117,1250921.955,153645.61350237
1662336000,2022-09-05 00:00:00,LPOOL/USDT,0.1263,0.1287,0.1138,0.1256,1423378.6236,170913.11929182
1662249600,2022-09-04 00:00:00,LPOOL/USDT,0.1299,0.1348,0.1207,0.1268,1335312.2516,167761.47893687
1662163200,2022-09-03 00:00:00,LPOOL/USDT,0.1313,0.1348,0.1249,0.1303,1212249.6325,156689.02579349
1662076800,2022-09-02 00:00:00,LPOOL/USDT,0.1225,0.142,0.1217,0.1311,1516501.3847,195271.99089531
1661990400,2022-09-01 00:00:00,LPOOL/USDT,0.1234,0.127,0.1186,0.1218,1776340.7468,217646.49757715
1661904000,2022-08-31 00:00:00,LPOOL/USDT,0.1311,0.1333,0.1201,0.1234,1031387.8046,129408.22802992
1661817600,2022-08-30 00:00:00,LPOOL/USDT,0.1272,0.1397,0.1221,0.1303,1038691.4816,133927.89293437
1661731200,2022-08-29 00:00:00,LPOOL/USDT,0.1258,0.1345,0.1215,0.1274,503402.0449,64271.09935597
1661644800,2022-08-28 00:00:00,LPOOL/USDT,0.142,0.1455,0.1247,0.1247,813479.6001,111726.41602523
1661558400,2022-08-27 00:00:00,LPOOL/USDT,0.1394,0.1453,0.135,0.1418,206627.7322,29000.82609005
1661472000,2022-08-26 00:00:00,LPOOL/USDT,0.1455,0.1488,0.1372,0.1396,409598.438,58768.10553821
1661385600,2022-08-25 00:00:00,LPOOL/USDT,0.1384,0.147,0.1355,0.1446,396743.5288,56366.0225825
1661299200,2022-08-24 00:00:00,LPOOL/USDT,0.1582,0.1611,0.1357,0.1374,634611.995,93021.62736511
1661212800,2022-08-23 00:00:00,LPOOL/USDT,0.1466,0.1583,0.1459,0.157,421454.984,63824.38447472
1661126400,2022-08-22 00:00:00,LPOOL/USDT,0.1538,0.1583,0.1373,0.1466,639922.3707,94659.82773064
1661040000,2022-08-21 00:00:00,LPOOL/USDT,0.1424,0.1595,0.1401,0.1528,614157.0681,90104.55463678
1660953600,2022-08-20 00:00:00,LPOOL/USDT,0.1559,0.1658,0.14,0.1424,859534.3278,129206.42722135
1660867200,2022-08-19 00:00:00,LPOOL/USDT,0.1892,0.1912,0.156,0.1571,577306.984,95233.03095673
1660780800,2022-08-18 00:00:00,LPOOL/USDT,0.2057,0.22,0.1788,0.1892,780310.7073,151738.38951686
1660694400,2022-08-17 00:00:00,LPOOL/USDT,0.1836,0.2165,0.1801,0.2056,1476370.4872,282420.38241126
1660608000,2022-08-16 00:00:00,LPOOL/USDT,0.1726,0.2,0.1596,0.1836,1366989.9635,243718.76669045
1660521600,2022-08-15 00:00:00,LPOOL/USDT,0.1579,0.1849,0.1552,0.1729,1137061.1644,192615.02413909
1660435200,2022-08-14 00:00:00,LPOOL/USDT,0.1621,0.1671,0.1574,0.1588,773531.2113,124902.06820855
1660348800,2022-08-13 00:00:00,LPOOL/USDT,0.1636,0.1773,0.1585,0.1631,676833.6035,112280.51215125
