https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ALPHA,Volume BTC
1663459200,2022-09-18 00:00:00,ALPHA/BTC,0.00000572,0.00000572,0.00000572,0.00000572,1.2988,0.000007429136
1663372800,2022-09-17 00:00:00,ALPHA/BTC,0.00000567,0.00000577,0.00000564,0.00000577,1025.8494,0.00586917815
1663286400,2022-09-16 00:00:00,ALPHA/BTC,0.00000563,0.00000573,0.00000559,0.00000571,8334.9289,0.04724439735
1663200000,2022-09-15 00:00:00,ALPHA/BTC,0.00000583,0.00000583,0.00000562,0.00000562,29045.1666,0.166178095545
1663113600,2022-09-14 00:00:00,ALPHA/BTC,0.00000575,0.00000594,0.00000575,0.00000588,9091.9617,0.053563992006
1663027200,2022-09-13 00:00:00,ALPHA/BTC,0.00000566,0.00000588,0.00000554,0.00000581,3730.0122,0.021289326986
1662940800,2022-09-12 00:00:00,ALPHA/BTC,0.00000593,0.00000603,0.00000563,0.00000575,5176.8256,0.030364798793
1662854400,2022-09-11 00:00:00,ALPHA/BTC,0.00000598,0.00000608,0.00000592,0.00000593,8310.1767,0.050071810263
1662768000,2022-09-10 00:00:00,ALPHA/BTC,0.00000613,0.00000617,0.00000589,0.00000594,7345.8623,0.044882230856
1662681600,2022-09-09 00:00:00,ALPHA/BTC,0.00000613,0.0000062,0.00000597,0.00000599,1893.9933,0.011480833175
1662595200,2022-09-08 00:00:00,ALPHA/BTC,0.00000607,0.00000617,0.000006,0.00000612,987.8854,0.006021779706
1662508800,2022-09-07 00:00:00,ALPHA/BTC,0.00000575,0.00000618,0.00000575,0.00000609,5022.7698,0.030104899398
1662422400,2022-09-06 00:00:00,ALPHA/BTC,0.00000603,0.00000643,0.00000575,0.00000575,18232.5924,0.112002115981
1662336000,2022-09-05 00:00:00,ALPHA/BTC,0.00000598,0.00000604,0.00000589,0.00000593,2685.8904,0.016043616658
1662249600,2022-09-04 00:00:00,ALPHA/BTC,0.00000596,0.00000604,0.00000596,0.000006,7731.5344,0.046400188301
1662163200,2022-09-03 00:00:00,ALPHA/BTC,0.00000603,0.00000608,0.00000597,0.00000597,826.8037,0.004950812768
1662076800,2022-09-02 00:00:00,ALPHA/BTC,0.0000061,0.00000614,0.00000603,0.00000607,1231.5746,0.00748414949
1661990400,2022-09-01 00:00:00,ALPHA/BTC,0.00000608,0.00000612,0.000006,0.00000612,3495.2723,0.021139916502
1661904000,2022-08-31 00:00:00,ALPHA/BTC,0.00000614,0.00000623,0.00000611,0.00000611,2332.7618,0.014334137027
1661817600,2022-08-30 00:00:00,ALPHA/BTC,0.00000619,0.00000625,0.000006,0.00000614,3782.2458,0.023000235861
1661731200,2022-08-29 00:00:00,ALPHA/BTC,0.00000583,0.00000615,0.00000583,0.00000615,406.0664,0.00239493265
1661644800,2022-08-28 00:00:00,ALPHA/BTC,0.00000593,0.00000603,0.00000586,0.00000586,16507.4013,0.098860279589
1661558400,2022-08-27 00:00:00,ALPHA/BTC,0.00000589,0.00000603,0.00000588,0.00000597,6353.8601,0.038009777676
1661472000,2022-08-26 00:00:00,ALPHA/BTC,0.00000615,0.00000626,0.0000059,0.0000059,10903.2413,0.066016549209
1661385600,2022-08-25 00:00:00,ALPHA/BTC,0.00000619,0.00000623,0.00000612,0.00000618,2037.4936,0.012610982031
1661299200,2022-08-24 00:00:00,ALPHA/BTC,0.00000606,0.00000621,0.00000606,0.00000614,5222.9878,0.032183908233
1661212800,2022-08-23 00:00:00,ALPHA/BTC,0.00000598,0.00000611,0.00000596,0.00000604,4423.5657,0.02699983115
1661126400,2022-08-22 00:00:00,ALPHA/BTC,0.00000599,0.00000602,0.00000581,0.00000597,1291.5697,0.007652613584
1661040000,2022-08-21 00:00:00,ALPHA/BTC,0.00000589,0.00000606,0.00000589,0.00000601,4790.6915,0.028727175403
1660953600,2022-08-20 00:00:00,ALPHA/BTC,0.00000595,0.00000604,0.00000573,0.00000589,6804.4094,0.040555688849
1660867200,2022-08-19 00:00:00,ALPHA/BTC,0.00000598,0.00000598,0.00000569,0.00000595,24179.4667,0.14233611619
1660780800,2022-08-18 00:00:00,ALPHA/BTC,0.00000615,0.00000629,0.00000596,0.00000596,493.0404,0.002998602794
1660694400,2022-08-17 00:00:00,ALPHA/BTC,0.00000649,0.00000651,0.00000609,0.00000609,12790.4118,0.080378337502
