https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume INJ,Volume USDT
1663459200,2022-09-18 00:00:00,INJ/USDT,1.696,1.696,1.663,1.666,1390.5412077,2328.33654611504
1663372800,2022-09-17 00:00:00,INJ/USDT,1.679,1.717,1.641,1.696,96289.95908782,161381.68101518348
1663286400,2022-09-16 00:00:00,INJ/USDT,1.632,1.687,1.587,1.685,181723.53747092,296631.14533624841
1663200000,2022-09-15 00:00:00,INJ/USDT,1.653,1.663,1.542,1.627,245133.26655289,393400.37038256417
1663113600,2022-09-14 00:00:00,INJ/USDT,1.648,1.757,1.616,1.655,327848.78380953,554297.62393248088
1663027200,2022-09-13 00:00:00,INJ/USDT,1.812,2.058,1.644,1.651,647777.24597312,1220976.7201713754
1662940800,2022-09-12 00:00:00,INJ/USDT,1.871,1.936,1.751,1.812,523705.34505288,965298.83870746372
1662854400,2022-09-11 00:00:00,INJ/USDT,1.637,2.071,1.615,1.872,784309.05494096,1450343.56780854252
1662768000,2022-09-10 00:00:00,INJ/USDT,1.682,1.737,1.6,1.63,199389.11412819,328681.46057655083
1662681600,2022-09-09 00:00:00,INJ/USDT,1.529,1.729,1.524,1.68,317822.72408152,513070.56747790991
1662595200,2022-09-08 00:00:00,INJ/USDT,1.553,1.597,1.487,1.532,132547.20754387,203594.27724705958
1662508800,2022-09-07 00:00:00,INJ/USDT,1.456,1.576,1.429,1.554,222937.04408282,337351.63088268578
1662422400,2022-09-06 00:00:00,INJ/USDT,1.607,1.655,1.45,1.454,241952.34891766,374448.86270363173
1662336000,2022-09-05 00:00:00,INJ/USDT,1.598,1.63,1.531,1.606,162117.56743313,256952.34716807301
1662249600,2022-09-04 00:00:00,INJ/USDT,1.528,1.629,1.513,1.598,109896.12890919,172249.07568393768
1662163200,2022-09-03 00:00:00,INJ/USDT,1.534,1.56,1.511,1.524,50483.09443585,77352.9050111972
1662076800,2022-09-02 00:00:00,INJ/USDT,1.524,1.578,1.498,1.531,106698.23723059,163669.93629033107
1661990400,2022-09-01 00:00:00,INJ/USDT,1.556,1.575,1.464,1.523,106445.31389288,161216.68689038272
1661904000,2022-08-31 00:00:00,INJ/USDT,1.524,1.599,1.522,1.555,117579.25761067,184352.48088177046
1661817600,2022-08-30 00:00:00,INJ/USDT,1.614,1.638,1.492,1.522,104734.81893536,163741.57448162216
1661731200,2022-08-29 00:00:00,INJ/USDT,1.503,1.614,1.477,1.613,183620.78375908,285042.91275386757
1661644800,2022-08-28 00:00:00,INJ/USDT,1.565,1.619,1.49,1.504,87928.77646918,137235.43355097805
1661558400,2022-08-27 00:00:00,INJ/USDT,1.59,1.625,1.546,1.566,110871.42109396,175616.2431244572
1661472000,2022-08-26 00:00:00,INJ/USDT,1.772,1.825,1.579,1.592,181998.38291876,307009.08114373858
1661385600,2022-08-25 00:00:00,INJ/USDT,1.772,1.853,1.765,1.777,134814.37030786,242848.47997327732
1661299200,2022-08-24 00:00:00,INJ/USDT,1.821,1.888,1.755,1.77,258399.73482831,468027.36622716107
1661212800,2022-08-23 00:00:00,INJ/USDT,1.77,1.891,1.747,1.82,326780.51918871,592661.89979950768
1661126400,2022-08-22 00:00:00,INJ/USDT,1.837,1.862,1.66,1.771,318632.24474011,557039.77163008498
1661040000,2022-08-21 00:00:00,INJ/USDT,1.602,1.929,1.595,1.838,389768.97665313,688686.38281962014
1660953600,2022-08-20 00:00:00,INJ/USDT,1.67,1.75,1.542,1.597,279216.95087531,462119.46237175272
1660867200,2022-08-19 00:00:00,INJ/USDT,1.782,1.782,1.56,1.674,446167.3439426,734207.09222117769
1660780800,2022-08-18 00:00:00,INJ/USDT,1.91,1.963,1.756,1.781,256426.52220852,485381.71235170231
1660694400,2022-08-17 00:00:00,INJ/USDT,1.919,2.197,1.868,1.911,651970.09787015,1337168.55593197042
1660608000,2022-08-16 00:00:00,INJ/USDT,1.782,2.09,1.76,1.916,377824.11150239,740628.7968520979
1660521600,2022-08-15 00:00:00,INJ/USDT,1.824,1.923,1.727,1.783,162149.08744323,291293.2320207862
1660435200,2022-08-14 00:00:00,INJ/USDT,1.898,1.949,1.802,1.832,166609.70740069,312822.15941278306
1660348800,2022-08-13 00:00:00,INJ/USDT,1.97,2.088,1.89,1.903,253533.54189849,496066.28745713012
1660262400,2022-08-12 00:00:00,INJ/USDT,2.094,2.173,1.831,1.97,727423.14582883,1447057.74367193874
1660176000,2022-08-11 00:00:00,INJ/USDT,1.83,2.523,1.784,2.092,1611022.79145556,3466241.45308972008
