https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDJ,Volume USDT
1663462800,2022-09-18 01:00:00,USDJ/USDT,0.99739841,0.99739841,0.9973984,0.99739841,18.6763,18.627711857993
1663459200,2022-09-18 00:00:00,USDJ/USDT,0.99700002,0.99739886,0.99700001,0.99739841,798.1438,795.891038349329
1663455600,2022-09-17 23:00:00,USDJ/USDT,0.99700464,0.99710031,0.99700003,0.99700005,526.5972,525.019116349376
1663452000,2022-09-17 22:00:00,USDJ/USDT,0.99737654,0.99739699,0.99700002,0.99700464,1456.6098,1452.490750377839
1663448400,2022-09-17 21:00:00,USDJ/USDT,0.99700002,0.99738887,0.99700001,0.99738887,546.3781,544.822801256966
1663444800,2022-09-17 20:00:00,USDJ/USDT,0.99700002,0.99700002,0.99700001,0.99700002,325.044,324.068872342426
1663441200,2022-09-17 19:00:00,USDJ/USDT,0.99700752,0.99701469,0.99700001,0.99700001,744.6493,742.416756690678
1663437600,2022-09-17 18:00:00,USDJ/USDT,0.99701752,0.99705251,0.99700001,0.99700502,1344.9577,1340.94594281384
1663434000,2022-09-17 17:00:00,USDJ/USDT,0.99703754,0.99740121,0.99700001,0.99701752,1291.0603,1287.236319637437
1663430400,2022-09-17 16:00:00,USDJ/USDT,0.99705625,0.99707422,0.99700001,0.99701502,905.2898,902.587846339159
1663426800,2022-09-17 15:00:00,USDJ/USDT,0.9970553,0.99715,0.99700001,0.99706249,4328.8636,4316.075376296259
1663423200,2022-09-17 14:00:00,USDJ/USDT,0.9972444,0.99762234,0.99700012,0.99707158,1141.7633,1138.529442204389
1663419600,2022-09-17 13:00:00,USDJ/USDT,0.99911175,0.99950703,0.99700001,0.99712227,1389.3505,1386.758065923003
1663416000,2022-09-17 12:00:00,USDJ/USDT,0.9993335,0.99950699,0.999106,0.99911175,914.5669,913.883058634596
1663412400,2022-09-17 11:00:00,USDJ/USDT,0.99948057,0.99950702,0.99906001,0.99950702,7136.7249,7131.454296616128
1663408800,2022-09-17 10:00:00,USDJ/USDT,0.99906002,0.99948057,0.99906001,0.99930031,695.188,694.649623663345
1663405200,2022-09-17 09:00:00,USDJ/USDT,0.99906001,0.99930102,0.99906001,0.99906001,768.6437,767.943671517891
1663401600,2022-09-17 08:00:00,USDJ/USDT,0.99904501,1.00034545,0.99902,0.99910019,4018.3095,4014.61125991445
1663398000,2022-09-17 07:00:00,USDJ/USDT,0.99867274,0.99906992,0.99867273,0.99904501,5921.5733,5915.889715683377
1663394400,2022-09-17 06:00:00,USDJ/USDT,0.99867274,0.99867274,0.99867273,0.99867273,356.6403,356.166943748326
1663390800,2022-09-17 05:00:00,USDJ/USDT,0.99891,1.00034546,0.99700001,0.99867274,812.4204,811.755448848705
1663387200,2022-09-17 04:00:00,USDJ/USDT,0.99755895,1.00034545,0.99755895,0.99891,3958.2649,3954.165618660225
1663383600,2022-09-17 03:00:00,USDJ/USDT,0.99730439,0.99760874,0.99700001,0.99755894,2045.1783,2039.712007944386
1663380000,2022-09-17 02:00:00,USDJ/USDT,0.99730439,0.99730439,0.99730438,0.99730439,269.065,268.339704376098
1663376400,2022-09-17 01:00:00,USDJ/USDT,0.99730439,0.99730439,0.99730438,0.99730439,270.3788,269.649962863647
1663372800,2022-09-17 00:00:00,USDJ/USDT,0.99730438,0.99757071,0.99700002,0.99730439,928.6594,926.231016500497
1663369200,2022-09-16 23:00:00,USDJ/USDT,0.99738048,0.99760873,0.9971522,0.99730439,465.1615,463.931624162933
1663365600,2022-09-16 22:00:00,USDJ/USDT,0.99760737,0.99760875,0.99700001,0.99715222,1621.796,1617.58952034707
