https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PAXG,Volume USDT
1663462800,2022-09-18 01:00:00,PAXG/USDT,1665.88,1665.89,1665.88,1665.89,0.0125056,20.832939984
1663459200,2022-09-18 00:00:00,PAXG/USDT,1665.82,1665.96,1663.92,1665.96,0.21132605,351.837533174
1663455600,2022-09-17 23:00:00,PAXG/USDT,1667.07,1667.08,1665.63,1667.08,2.2879,3812.619357
1663452000,2022-09-17 22:00:00,PAXG/USDT,1665.4,1666.76,1665.4,1666.76,0.25789396,429.4998687696
1663448400,2022-09-17 21:00:00,PAXG/USDT,1665.3,1665.41,1663.45,1663.45,2.17439625,3620.0212657125
1663444800,2022-09-17 20:00:00,PAXG/USDT,1663.65,1665.41,1663.45,1663.71,0.93704415,1559.3174878515
1663441200,2022-09-17 19:00:00,PAXG/USDT,1665.57,1665.57,1663.64,1665.38,0.44883987,747.2572994362
1663437600,2022-09-17 18:00:00,PAXG/USDT,1665.55,1668.21,1665.55,1666.07,2.12513661,3542.8831655596
1663434000,2022-09-17 17:00:00,PAXG/USDT,1665.5,1666.34,1662,1665.55,9.78298601,16275.912790235
1663430400,2022-09-17 16:00:00,PAXG/USDT,1666.78,1669.13,1664.69,1665.5,4.033,6719.3402360648
1663426800,2022-09-17 15:00:00,PAXG/USDT,1666.82,1666.82,1664.63,1666.78,2.98995742,4980.9448482452
1663423200,2022-09-17 14:00:00,PAXG/USDT,1665.26,1667.84,1664.81,1667.84,0.66839372,1113.1507274768
1663419600,2022-09-17 13:00:00,PAXG/USDT,1664.12,1665.25,1664.12,1665.25,0.50339654,838.076416235
1663416000,2022-09-17 12:00:00,PAXG/USDT,1662.65,1664.89,1662.63,1664.39,2.6417,4396.480750908
1663412400,2022-09-17 11:00:00,PAXG/USDT,1664.48,1664.49,1662.72,1663,0.31379477,522.1642777173
1663408800,2022-09-17 10:00:00,PAXG/USDT,1666.06,1666.06,1662.63,1664.07,1.83369443,3050.4238080458
1663405200,2022-09-17 09:00:00,PAXG/USDT,1665.78,1666.06,1663.22,1666.06,0.07022702,116.9730220008
1663401600,2022-09-17 08:00:00,PAXG/USDT,1665.58,1667.54,1664.29,1666.91,1.38149034,2301.4506099206
1663398000,2022-09-17 07:00:00,PAXG/USDT,1666.15,1666.15,1663.63,1665.59,0.2059,342.571306
1663394400,2022-09-17 06:00:00,PAXG/USDT,1663.27,1665.73,1663.27,1665.73,0.62559433,1041.0027713109
1663390800,2022-09-17 05:00:00,PAXG/USDT,1664.67,1666.66,1664.2,1665.22,0.0747966,124.527714252
1663387200,2022-09-17 04:00:00,PAXG/USDT,1666.99,1667.67,1664.64,1667.67,4.8451,8066.445573
