https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume BTC
1663545600000,2022-09-19 00:00:00,BTC/EUR,19377.0,19482.0,19361.121852,19427.52968176,2660845.21108703,136.96261206
1663542000000,2022-09-18 23:00:00,BTC/EUR,19426.0,19493.0,19351.0,19383.0,1783224.42195261,91.99940267
1663538400000,2022-09-18 22:00:00,BTC/EUR,19424.12807742,19452.0,19331.0,19427.0,545112.55808158,28.05953354
1663534800000,2022-09-18 21:00:00,BTC/EUR,19693.0,19693.76313504,19382.413422,19446.0,371355.1515912,19.0967372
1663531200000,2022-09-18 20:00:00,BTC/EUR,19697.0,19715.870004,19651.0,19695.902544,236402.58249672948,12.00262755
1663527600000,2022-09-18 19:00:00,BTC/EUR,19611.08517529,19712.874885,19567.0,19712.874885,131410.62319424943,6.66623331
1663524000000,2022-09-18 18:00:00,BTC/EUR,19616.0,19688.0,19546.146594,19637.99691,63164.24868539031,3.2164303199999997
1663520400000,2022-09-18 17:00:00,BTC/EUR,19718.865123,19730.0,19583.0,19608.04572,151131.64496311836,7.70763426
1663516800000,2022-09-18 16:00:00,BTC/EUR,19786.3897368,19843.661748,19608.0,19712.0,679682.91716864,34.48066747
1663513200000,2022-09-18 15:00:00,BTC/EUR,19777.76913,19842.28325142,19749.0,19784.757741,46959.913097182834,2.37353996
1663509600000,2022-09-18 14:00:00,BTC/EUR,19931.518572,19931.518572,19707.88302,19769.0,229851.25636393,11.62685297
1663506000000,2022-09-18 13:00:00,BTC/EUR,19972.0,19981.98320742,19930.04200454,19956.477897,13029.362502917085,0.65288888
1663502400000,2022-09-18 12:00:00,BTC/EUR,19901.53957046,19999.0,19846.0,19974.0,48856.5318336,2.4460064
1663498800000,2022-09-18 11:00:00,BTC/EUR,19889.0,19916.542977,19860.4442457,19902.0,191667.62662926,9.63057113
1663495200000,2022-09-18 10:00:00,BTC/EUR,19793.0,20019.0,19750.0,19863.0,77685.51190320001,3.9110664
