https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume PAX
1655078400,2022-06-13 00:00:00,BTC/PAX,26625.6,26723.7,26356.5,26430.3,0.07669136,2030.560774983
1655074800,2022-06-12 23:00:00,BTC/PAX,27068.8,27068.8,26735.8,26825.2,0.01813398,486.93920913
1655071200,2022-06-12 22:00:00,BTC/PAX,27153.7,27193.2,26910,26949.8,0.0981398,2652.330004795
1655067600,2022-06-12 21:00:00,BTC/PAX,27454.4,27454.4,27355.2,27355.2,0.00384127,105.155869201
1655064000,2022-06-12 20:00:00,BTC/PAX,27403.5,27403.5,27399.6,27399.6,0.00009055,2.4810954
1655060400,2022-06-12 19:00:00,BTC/PAX,27641,27641,27588.5,27591.3,0.02266702,625.765750061
1655056800,2022-06-12 18:00:00,BTC/PAX,27947.4,27947.4,27848.3,27848.3,0.01157786,323.496462351
1655053200,2022-06-12 17:00:00,BTC/PAX,27848.3,27848.3,27848.3,27848.3,0,0
1655049600,2022-06-12 16:00:00,BTC/PAX,27983.9,27983.9,27826.2,27848.3,0.02501283,696.495035001
1655046000,2022-06-12 15:00:00,BTC/PAX,27850,28149,27850,28021.1,1.69272783,47439.50375275
1655042400,2022-06-12 14:00:00,BTC/PAX,27126.2,27938.8,26900,27814.3,0.20150708,5475.714244656
1655038800,2022-06-12 13:00:00,BTC/PAX,27375.3,27375.3,27258.1,27258.1,0.00105329,28.832916717
1655035200,2022-06-12 12:00:00,BTC/PAX,27500,27500,27389.4,27389.4,0.00260851,71.664684518
1655031600,2022-06-12 11:00:00,BTC/PAX,27406.1,27417.9,27406.1,27417.9,0.00840022,230.31583746
1655028000,2022-06-12 10:00:00,BTC/PAX,27406.1,27463.7,27406.1,27406.1,0.00229738,62.963607842
1655024400,2022-06-12 09:00:00,BTC/PAX,27500.5,27514.7,27500.5,27514.7,0.00341383,93.885055379
1655020800,2022-06-12 08:00:00,BTC/PAX,27605.9,27605.9,27547.4,27574.4,0.00714395,197.207730535
1655017200,2022-06-12 07:00:00,BTC/PAX,27447.3,27447.3,27447.3,27447.3,0,0
1655013600,2022-06-12 06:00:00,BTC/PAX,27447.3,27447.3,27447.3,27447.3,0.0004958,13.60837134
1655010000,2022-06-12 05:00:00,BTC/PAX,27395.6,27395.6,27200,27370.9,0.92165061,25173.092780314
1655006400,2022-06-12 04:00:00,BTC/PAX,27584.9,27584.9,27443.8,27443.8,0.01859541,512.805768643
1655002800,2022-06-12 03:00:00,BTC/PAX,27465.8,27700.1,27465.8,27555.9,0.0020624,56.665720551
1654999200,2022-06-12 02:00:00,BTC/PAX,28198.1,28269,27300,27300,0.07566381,2095.013756845
1654995600,2022-06-12 01:00:00,BTC/PAX,28379.3,28379.3,28252.7,28252.7,0.00110827,31.356950225
1654992000,2022-06-12 00:00:00,BTC/PAX,28410.8,28410.8,28410.8,28410.8,0,0
1654988400,2022-06-11 23:00:00,BTC/PAX,28507.7,28507.7,28410.8,28410.8,0.0142101,403.731750861
1654984800,2022-06-11 22:00:00,BTC/PAX,28603.5,28603.5,28603.5,28603.5,0.00288233,82.444726155
1654981200,2022-06-11 21:00:00,BTC/PAX,28434.9,28434.9,28434.9,28434.9,0.00104203,29.630018847
1654977600,2022-06-11 20:00:00,BTC/PAX,28588.2,28588.2,28456,28468.2,0.05009236,1425.434148504
1654974000,2022-06-11 19:00:00,BTC/PAX,28583.8,28583.8,28583.8,28583.8,0,0
1654970400,2022-06-11 18:00:00,BTC/PAX,28488.4,28583.9,28482.4,28583.8,0.01883902,538.134981742
1654966800,2022-06-11 17:00:00,BTC/PAX,28506.9,28524.7,28461.6,28524.7,0.00187602,53.496637701
1654963200,2022-06-11 16:00:00,BTC/PAX,28217.2,28434.8,28151.3,28434.8,0.02451806,692.486959413
1654959600,2022-06-11 15:00:00,BTC/PAX,28537,28537,28239.5,28320.8,0.0303623,861.428892802
1654956000,2022-06-11 14:00:00,BTC/PAX,28634.1,28634.1,28405.4,28410.9,0.02040048,582.279300662
1654952400,2022-06-11 13:00:00,BTC/PAX,28512,28781.5,28374.5,28781.5,0.01313591,376.872900885
1654948800,2022-06-11 12:00:00,BTC/PAX,28768.9,28768.9,28474.9,28474.9,0.01552492,444.483438123
1654945200,2022-06-11 11:00:00,BTC/PAX,28892.8,28920.9,28626.5,28626.5,0.14742253,4252.290528134
1654941600,2022-06-11 10:00:00,BTC/PAX,28922,28922,28922,28922,0.00076347,22.08107934
1654938000,2022-06-11 09:00:00,BTC/PAX,28920,29048.4,28812.8,29048.4,0.06481901,1872.89724486
1654934400,2022-06-11 08:00:00,BTC/PAX,29185.5,29185.5,29110.7,29110.7,0.28782563,8400.175932477
1654930800,2022-06-11 07:00:00,BTC/PAX,29263.4,29263.4,29263.4,29263.4,0.00003406,0.996711404
1654927200,2022-06-11 06:00:00,BTC/PAX,29274.5,29274.5,29274.5,29274.5,0.00715705,209.519060225
1654923600,2022-06-11 05:00:00,BTC/PAX,29241.5,29241.5,29241.5,29241.5,0,0
1654920000,2022-06-11 04:00:00,BTC/PAX,29241.5,29241.5,29241.5,29241.5,0,0
1654916400,2022-06-11 03:00:00,BTC/PAX,29241.5,29241.5,29241.5,29241.5,0,0
1654912800,2022-06-11 02:00:00,BTC/PAX,29213.5,29241.5,29213.5,29241.5,0.1430635,4183.386436049
1654909200,2022-06-11 01:00:00,BTC/PAX,29153.7,29153.7,29153.7,29153.7,0,0
1654905600,2022-06-11 00:00:00,BTC/PAX,29153.7,29153.7,29153.7,29153.7,0.0006432,18.75165984
1654902000,2022-06-10 23:00:00,BTC/PAX,29078,29078.1,29060.1,29060.1,0.00013971,4.062285607
1654898400,2022-06-10 22:00:00,BTC/PAX,29160.2,29160.2,29107,29107,0.24795418,7220.545866782
1654894800,2022-06-10 21:00:00,BTC/PAX,29212.6,29276.3,29212.6,29276.3,0.00047857,14.008984209
1654891200,2022-06-10 20:00:00,BTC/PAX,29189.2,29220.3,29189.2,29220.3,0.02192691,640.073337376
1654887600,2022-06-10 19:00:00,BTC/PAX,28971.4,28971.4,28971.4,28971.4,0.01380671,399.999718094
1654884000,2022-06-10 18:00:00,BTC/PAX,29006.3,29006.3,29006.3,29006.3,0.0001883,5.46188629
1654880400,2022-06-10 17:00:00,BTC/PAX,29137.3,29137.3,29137.3,29137.3,0.00003052,0.889270396
1654876800,2022-06-10 16:00:00,BTC/PAX,29300.8,29300.8,28917.3,28917.3,3.35457927,98143.865981101
1654873200,2022-06-10 15:00:00,BTC/PAX,29522.8,29585.2,29378.7,29378.7,0.00369329,109.138669993
1654869600,2022-06-10 14:00:00,BTC/PAX,29212,29581.1,29212,29581.1,0.00818372,241.699165991
1654866000,2022-06-10 13:00:00,BTC/PAX,29586.1,29586.1,29313,29313,0.03242544,953.60657928
1654862400,2022-06-10 12:00:00,BTC/PAX,29924.3,29924.3,29531.3,29635.7,0.07556919,2241.218564344
