https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume BRL,tradecount
1663545600000,2022-09-19 00:00:00,ETH/BRL,7053.49000000,7080.86000000,7035.84000000,7043.39000000,39.88640000,281358.84594200,302
1663542000000,2022-09-18 23:00:00,ETH/BRL,7080.97000000,7159.03000000,7028.93000000,7046.60000000,140.84740000,998230.77897100,731
1663538400000,2022-09-18 22:00:00,ETH/BRL,7033.03000000,7097.61000000,7014.03000000,7086.81000000,171.80530000,1211225.70991500,975
1663534800000,2022-09-18 21:00:00,ETH/BRL,7242.20000000,7242.52000000,7002.01000000,7038.13000000,235.25680000,1664536.55544700,1326
1663531200000,2022-09-18 20:00:00,ETH/BRL,7290.59000000,7294.62000000,7220.09000000,7246.53000000,70.95800000,515242.84824000,602
1663527600000,2022-09-18 19:00:00,ETH/BRL,7255.74000000,7328.45000000,7220.53000000,7292.23000000,83.04160000,605045.92671700,596
1663524000000,2022-09-18 18:00:00,ETH/BRL,7270.21000000,7315.34000000,7216.81000000,7255.80000000,127.37100000,925498.97721900,862
1663520400000,2022-09-18 17:00:00,ETH/BRL,7362.48000000,7375.20000000,7248.00000000,7266.07000000,161.23230000,1179334.01957200,1067
1663516800000,2022-09-18 16:00:00,ETH/BRL,7472.61000000,7506.11000000,7313.77000000,7369.95000000,300.86590000,2222654.73209000,1832
1663513200000,2022-09-18 15:00:00,ETH/BRL,7492.72000000,7520.85000000,7450.23000000,7470.65000000,47.41740000,355137.78275200,422
1663509600000,2022-09-18 14:00:00,ETH/BRL,7563.34000000,7565.38000000,7444.75000000,7493.46000000,117.03760000,877134.05317400,712
1663506000000,2022-09-18 13:00:00,ETH/BRL,7582.46000000,7584.99000000,7550.00000000,7564.53000000,50.34130000,380955.42468600,383
1663502400000,2022-09-18 12:00:00,ETH/BRL,7558.76000000,7589.03000000,7522.72000000,7580.69000000,55.05320000,415964.24513200,395
1663498800000,2022-09-18 11:00:00,ETH/BRL,7551.52000000,7566.07000000,7542.96000000,7561.63000000,24.95690000,188561.35612800,218
1663495200000,2022-09-18 10:00:00,ETH/BRL,7511.48000000,7616.90000000,7481.81000000,7542.93000000,65.90590000,497344.23886900,463
1663491600000,2022-09-18 09:00:00,ETH/BRL,7665.13000000,7685.52000000,7510.86000000,7511.66000000,46.97290000,356334.21239800,235
1663488000000,2022-09-18 08:00:00,ETH/BRL,7652.39000000,7681.06000000,7647.36000000,7663.01000000,6.93250000,53143.25708200,60
1663484400000,2022-09-18 07:00:00,ETH/BRL,7663.97000000,7673.46000000,7648.70000000,7653.16000000,9.98450000,76514.29770900,87
1663480800000,2022-09-18 06:00:00,ETH/BRL,7683.71000000,7691.91000000,7645.31000000,7661.48000000,4.97540000,38188.71630800,48
1663477200000,2022-09-18 05:00:00,ETH/BRL,7660.18000000,7692.51000000,7657.43000000,7687.91000000,6.90460000,52958.34026600,72
1663473600000,2022-09-18 04:00:00,ETH/BRL,7651.70000000,7679.82000000,7639.30000000,7665.86000000,13.59990000,104246.14590300,140
1663470000000,2022-09-18 03:00:00,ETH/BRL,7667.95000000,7667.96000000,7629.52000000,7651.00000000,33.82670000,258559.41179700,200
1663466400000,2022-09-18 02:00:00,ETH/BRL,7658.48000000,7676.39000000,7651.04000000,7671.99000000,10.44400000,80062.94058700,167
1663462800000,2022-09-18 01:00:00,ETH/BRL,7646.54000000,7678.88000000,7641.91000000,7653.19000000,32.27550000,247041.47961500,237
1663459200000,2022-09-18 00:00:00,ETH/BRL,7736.20000000,7736.20000000,7632.16000000,7644.09000000,118.37620000,908643.10476200,692
1663455600000,2022-09-17 23:00:00,ETH/BRL,7715.59000000,7761.15000000,7699.28000000,7736.20000000,55.89340000,432205.49635100,431
1663452000000,2022-09-17 22:00:00,ETH/BRL,7661.28000000,7727.89000000,7653.55000000,7713.92000000,143.47210000,1104052.64171200,592
1663448400000,2022-09-17 21:00:00,ETH/BRL,7697.15000000,7703.71000000,7626.02000000,7660.00000000,138.40440000,1061672.64321200,507
1663444800000,2022-09-17 20:00:00,ETH/BRL,7714.08000000,7721.67000000,7693.53000000,7698.37000000,94.70700000,729271.77611700,445
1663441200000,2022-09-17 19:00:00,ETH/BRL,7744.78000000,7744.78000000,7686.44000000,7712.72000000,130.07720000,1003030.39366200,590
1663437600000,2022-09-17 18:00:00,ETH/BRL,7750.00000000,7778.88000000,7724.33000000,7741.57000000,93.14780000,721448.90020900,620
1663434000000,2022-09-17 17:00:00,ETH/BRL,7738.34000000,7770.51000000,7711.25000000,7755.11000000,104.57910000,808821.62912400,692
1663430400000,2022-09-17 16:00:00,ETH/BRL,7618.10000000,7748.61000000,7605.51000000,7730.71000000,232.86880000,1792646.59153400,1179
1663426800000,2022-09-17 15:00:00,ETH/BRL,7612.85000000,7644.37000000,7574.82000000,7618.10000000,68.44070000,520479.66930700,533
1663423200000,2022-09-17 14:00:00,ETH/BRL,7490.23000000,7610.31000000,7485.95000000,7610.30000000,81.39930000,614575.81636400,581
1663419600000,2022-09-17 13:00:00,ETH/BRL,7504.65000000,7528.26000000,7480.41000000,7494.52000000,31.45320000,236164.98605600,333
1663416000000,2022-09-17 12:00:00,ETH/BRL,7491.50000000,7525.61000000,7439.84000000,7507.13000000,76.34210000,571223.26076700,581
