https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NFT,Volume USDT
1663459200,2022-09-18 00:00:00,NFT/USDT,0.0000005729,0.0000005733,0.0000005699,0.0000005702,21038615150.58578771,12006.677322273595640525
1663372800,2022-09-17 00:00:00,NFT/USDT,0.00000055,0.0000005788,0.0000005496,0.0000005727,852562860148.95470838,475522.421723579809278743
1663286400,2022-09-16 00:00:00,NFT/USDT,0.0000005557,0.000000558,0.0000005466,0.0000005498,731707791109.84022869,404645.829274186277675994
1663200000,2022-09-15 00:00:00,NFT/USDT,0.000000562,0.0000005732,0.0000005497,0.0000005554,1307452629581.50869936,730498.327296183569378717
1663113600,2022-09-14 00:00:00,NFT/USDT,0.0000005439,0.000000563,0.000000543,0.0000005622,1150538900098.53823747,635157.001033353164083661
1663027200,2022-09-13 00:00:00,NFT/USDT,0.0000005798,0.0000005828,0.0000005376,0.0000005435,1149185094125.92473816,650750.21547550811310966
1662940800,2022-09-12 00:00:00,NFT/USDT,0.0000005836,0.0000005917,0.0000005774,0.0000005797,1215592991558.95109541,708913.041703308583795686
1662854400,2022-09-11 00:00:00,NFT/USDT,0.0000005843,0.000000591,0.0000005758,0.0000005837,933519160988.44452146,543908.985336550610677179
1662768000,2022-09-10 00:00:00,NFT/USDT,0.0000005901,0.0000005918,0.0000005749,0.0000005842,1156376699107.18185265,675236.170152727078256112
1662681600,2022-09-09 00:00:00,NFT/USDT,0.00000057,0.000000592,0.000000569,0.0000005904,1284392485333.72328697,748091.075530475563973887
1662595200,2022-09-08 00:00:00,NFT/USDT,0.0000005747,0.0000005747,0.0000005618,0.0000005697,1048185746679.62863224,595872.177445174714089593
1662508800,2022-09-07 00:00:00,NFT/USDT,0.0000005677,0.0000005776,0.0000005615,0.0000005749,938205236091.89511669,532925.415207547835345455
1662422400,2022-09-06 00:00:00,NFT/USDT,0.0000005797,0.000000587,0.0000005653,0.0000005681,1112860043128.26604838,643116.850508062337741804
