https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CRPT,Volume USDT
1663459200,2022-09-18 00:00:00,CRPT/USDT,0.13701,0.138,0.1349,0.13569,40787.5774,5555.945948733
1663372800,2022-09-17 00:00:00,CRPT/USDT,0.1205,0.16682,0.12048,0.13703,4370092.5182,610301.530615984
1663286400,2022-09-16 00:00:00,CRPT/USDT,0.12214,0.12599,0.11521,0.1205,6263589.536,756876.121998018
1663200000,2022-09-15 00:00:00,CRPT/USDT,0.12819,0.132,0.121,0.12213,7308240.4898,917236.281650566
1663113600,2022-09-14 00:00:00,CRPT/USDT,0.12942,0.13496,0.126,0.12821,5645607.5042,729360.886287608
1663027200,2022-09-13 00:00:00,CRPT/USDT,0.13373,0.13471,0.12712,0.12951,6529104.0817,862399.069699386
1662940800,2022-09-12 00:00:00,CRPT/USDT,0.13516,0.13783,0.13201,0.13373,5534439.9975,744321.714373693
1662854400,2022-09-11 00:00:00,CRPT/USDT,0.1348,0.13599,0.126,0.13581,2860323.1339,382863.595271282
1662768000,2022-09-10 00:00:00,CRPT/USDT,0.13487,0.13897,0.13234,0.13472,2933951.5465,398989.46092391
1662681600,2022-09-09 00:00:00,CRPT/USDT,0.1273,0.13799,0.12601,0.13488,3243351.9025,430349.244652575
1662595200,2022-09-08 00:00:00,CRPT/USDT,0.12982,0.13184,0.12403,0.12729,3716338.7081,475133.864039838
1662508800,2022-09-07 00:00:00,CRPT/USDT,0.12815,0.13132,0.128,0.12982,3126502.1959,402361.90719908
1662422400,2022-09-06 00:00:00,CRPT/USDT,0.13342,0.13661,0.12733,0.1283,2459426.9213,320135.552218808
1662336000,2022-09-05 00:00:00,CRPT/USDT,0.13155,0.136,0.129,0.13339,1239645.4874,164791.975562378
1662249600,2022-09-04 00:00:00,CRPT/USDT,0.13234,0.13965,0.128,0.13148,1199394.1082,161057.3620982
1662163200,2022-09-03 00:00:00,CRPT/USDT,0.13312,0.14323,0.12835,0.13234,1074784.1875,146247.187701471
1662076800,2022-09-02 00:00:00,CRPT/USDT,0.13433,0.141,0.12865,0.13405,762442.857,101805.386997424
1661990400,2022-09-01 00:00:00,CRPT/USDT,0.13888,0.14,0.13202,0.13433,1328108.9861,178820.517582016
1661904000,2022-08-31 00:00:00,CRPT/USDT,0.13689,0.14088,0.13604,0.13798,1266022.6515,176076.156847554
1661817600,2022-08-30 00:00:00,CRPT/USDT,0.14241,0.14399,0.13601,0.13601,601768.1054,85058.654870796
1661731200,2022-08-29 00:00:00,CRPT/USDT,0.136,0.1469,0.13496,0.14213,1068907.7297,149457.330154574
1661644800,2022-08-28 00:00:00,CRPT/USDT,0.13739,0.14138,0.136,0.136,856796.7267,119340.194554431
1661558400,2022-08-27 00:00:00,CRPT/USDT,0.1381,0.14073,0.134,0.13737,704024.6205,96733.033311875
1661472000,2022-08-26 00:00:00,CRPT/USDT,0.14386,0.14566,0.13245,0.1381,1092289.0765,152205.716421678
