https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SPI,Volume USDT
1661472000,2022-08-26 00:00:00,SPI/USDT,4.405,4.429,4.36,4.429,1.9431,8.5068426
1661385600,2022-08-25 00:00:00,SPI/USDT,4.318,5.005,4.169,4.36,10605.1477,49393.9953299
1661299200,2022-08-24 00:00:00,SPI/USDT,4.142,4.556,4.085,4.32,3852.099,16675.5438942
1661212800,2022-08-23 00:00:00,SPI/USDT,3.937,4.184,3.9,4.184,1128.0715,4520.137746
1661126400,2022-08-22 00:00:00,SPI/USDT,4.06,4.092,3.938,3.938,771.1337,3087.0388465
1661040000,2022-08-21 00:00:00,SPI/USDT,3.944,4.137,3.943,4.06,1828.1372,7397.6728861
1660953600,2022-08-20 00:00:00,SPI/USDT,4.027,4.185,3.896,3.95,2259.5348,9044.0854495
1660867200,2022-08-19 00:00:00,SPI/USDT,4.78,4.992,3.989,4.027,5589.6976,24696.0266635
1660780800,2022-08-18 00:00:00,SPI/USDT,4.27,4.857,4.21,4.78,2643.2698,12011.1515401
1660694400,2022-08-17 00:00:00,SPI/USDT,4.459,4.575,4.222,4.279,1712.1153,7586.8880155
1660608000,2022-08-16 00:00:00,SPI/USDT,4.616,4.71,4.411,4.459,1213.7833,5540.556916
1660521600,2022-08-15 00:00:00,SPI/USDT,4.714,4.785,4.589,4.616,1016.1329,4715.4008197
1660435200,2022-08-14 00:00:00,SPI/USDT,5.081,5.148,4.565,4.715,3488.1298,16596.075558
1660348800,2022-08-13 00:00:00,SPI/USDT,4.854,5.183,4.79,5.019,1976.8454,9896.1371332
1660262400,2022-08-12 00:00:00,SPI/USDT,4.878,5.073,4.704,4.918,2545.2086,12502.1008663
1660176000,2022-08-11 00:00:00,SPI/USDT,4.964,5.829,4.772,4.879,6892.0669,35864.9777806
1660089600,2022-08-10 00:00:00,SPI/USDT,4.713,5.434,4.686,4.979,7568.5148,38060.5684759
1660003200,2022-08-09 00:00:00,SPI/USDT,4.731,5.499,4.41,4.714,11961.2295,56533.0959511
1659916800,2022-08-08 00:00:00,SPI/USDT,4.853,5.111,4.523,4.779,4823.4057,23378.775607
1659830400,2022-08-07 00:00:00,SPI/USDT,4.8,5.29,4.726,4.853,2141.0121,10502.9716758
1659744000,2022-08-06 00:00:00,SPI/USDT,5.126,5.211,4.8,4.8,3740.0541,18586.1436243
1659657600,2022-08-05 00:00:00,SPI/USDT,5.002,5.624,4.968,5.085,7163.8233,38114.1846052
1659571200,2022-08-04 00:00:00,SPI/USDT,4.89,5.369,4.881,4.962,3792.4567,19313.1804271
1659484800,2022-08-03 00:00:00,SPI/USDT,4.95,6.196,4.781,4.899,15469.442,81389.1364025
1659398400,2022-08-02 00:00:00,SPI/USDT,4.674,5.138,4.612,4.867,3146.2874,15273.2220365
1659312000,2022-08-01 00:00:00,SPI/USDT,4.79,5.299,4.625,4.684,3394.7835,16379.3596645
1659225600,2022-07-31 00:00:00,SPI/USDT,5,5.133,4.693,4.782,1531.2103,7508.3249022
1659139200,2022-07-30 00:00:00,SPI/USDT,5.419,5.899,5,5.038,8617.3705,46289.7940139
1659052800,2022-07-29 00:00:00,SPI/USDT,5.433,5.702,5.056,5.391,3168.7073,16991.1339095
1658966400,2022-07-28 00:00:00,SPI/USDT,5.141,6,4.998,5.433,10326.4151,55861.608551
1658880000,2022-07-27 00:00:00,SPI/USDT,4.46,5.599,4.402,5.055,8494.3005,42868.4349874
1658793600,2022-07-26 00:00:00,SPI/USDT,4.52,4.748,4.224,4.46,7895.1144,34971.5026247
1658707200,2022-07-25 00:00:00,SPI/USDT,4.853,4.89,4.5,4.501,1163.5841,5331.6075235
1658620800,2022-07-24 00:00:00,SPI/USDT,4.524,4.854,4.523,4.764,3850.252,17971.1487037
1658534400,2022-07-23 00:00:00,SPI/USDT,4.791,5.183,4.523,4.526,3556.3221,16626.8480825
1658448000,2022-07-22 00:00:00,SPI/USDT,4.617,5.9,4.382,4.907,11534.1798,56825.5703439
1658361600,2022-07-21 00:00:00,SPI/USDT,4.557,4.729,4.21,4.557,2930.0612,12962.3462503
1658275200,2022-07-20 00:00:00,SPI/USDT,4.696,5.425,4.415,4.569,8514.3018,40812.0988246
1658188800,2022-07-19 00:00:00,SPI/USDT,4.866,4.999,4.442,4.758,8123.0108,38863.4133962
1658102400,2022-07-18 00:00:00,SPI/USDT,4.275,6.399,4.108,4.874,80030.9244,414573.8811501
1658016000,2022-07-17 00:00:00,SPI/USDT,3.93,5.149,3.81,4.305,14878.0836,65552.1735112
1657929600,2022-07-16 00:00:00,SPI/USDT,3.884,4.004,3.411,3.93,5699.44592162,21414.19930181282
1657843200,2022-07-15 00:00:00,SPI/USDT,4.013,4.171,3.785,3.813,3235.371,12825.5913259
1657756800,2022-07-14 00:00:00,SPI/USDT,3.834,4.185,3.81,4.011,3372.0779,13483.003219
1657670400,2022-07-13 00:00:00,SPI/USDT,3.707,4,3.5,3.887,6189.1952,23064.6833404
1657584000,2022-07-12 00:00:00,SPI/USDT,3.802,4.012,3.65,3.714,6356.1263,24478.1713993
1657497600,2022-07-11 00:00:00,SPI/USDT,4.467,5.41,3.729,3.852,18552.0999,80531.7070183
