https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume BTC
1663459200,2022-09-18 00:00:00,ADA/BTC,0.00002416,0.00002419,0.00002405,0.00002409,9034.9707,0.217910691612
1663372800,2022-09-17 00:00:00,ADA/BTC,0.00002397,0.00002439,0.0000237,0.00002417,428435.81426656,10.317242558882532
1663286400,2022-09-16 00:00:00,ADA/BTC,0.00002366,0.00002441,0.00002325,0.00002399,360867.51235635,8.5130236976395662
1663200000,2022-09-15 00:00:00,ADA/BTC,0.00002377,0.00002384,0.00002323,0.00002364,603139.68640951,14.2456487323179655
1663113600,2022-09-14 00:00:00,ADA/BTC,0.00002299,0.0000242,0.00002296,0.00002378,324052.58453376,7.6627908215031264
1663027200,2022-09-13 00:00:00,ADA/BTC,0.0000224,0.00002341,0.00002186,0.00002298,662140.08671222,14.9827396124213042
1662940800,2022-09-12 00:00:00,ADA/BTC,0.00002334,0.00002343,0.00002238,0.00002239,431645.79497898,9.8797177762461161
1662854400,2022-09-11 00:00:00,ADA/BTC,0.00002365,0.00002406,0.00002322,0.00002335,436758.08509996,10.3534670756005579
1662768000,2022-09-10 00:00:00,ADA/BTC,0.00002349,0.00002463,0.00002331,0.00002364,768360.33510716,18.4834676651422642
1662681600,2022-09-09 00:00:00,ADA/BTC,0.0000248,0.00002517,0.00002296,0.00002353,806621.77644101,19.272275845214605
1662595200,2022-09-08 00:00:00,ADA/BTC,0.00002483,0.0000249,0.00002425,0.00002479,515001.88054554,12.6806270188105184
1662508800,2022-09-07 00:00:00,ADA/BTC,0.00002459,0.00002499,0.00002426,0.00002483,597832.52160942,14.7459606695934475
1662422400,2022-09-06 00:00:00,ADA/BTC,0.0000252,0.00002587,0.00002437,0.00002461,805957.95410833,20.1934166498971429
1662336000,2022-09-05 00:00:00,ADA/BTC,0.00002518,0.00002532,0.00002453,0.00002517,569373.76525845,14.1128518664598115
1662249600,2022-09-04 00:00:00,ADA/BTC,0.00002422,0.00002585,0.00002402,0.00002519,662360.5925006,16.6322544396910665
1662163200,2022-09-03 00:00:00,ADA/BTC,0.00002278,0.00002455,0.00002275,0.00002422,826477.31230755,19.5780502845513225
1662076800,2022-09-02 00:00:00,ADA/BTC,0.00002273,0.00002303,0.00002257,0.00002276,227595.09816459,5.1816619061774852
1661990400,2022-09-01 00:00:00,ADA/BTC,0.00002224,0.0000231,0.00002214,0.00002273,372826.93396579,8.4259498449349302
1661904000,2022-08-31 00:00:00,ADA/BTC,0.00002288,0.00002295,0.00002225,0.00002225,229920.83251193,5.1711408976308762
1661817600,2022-08-30 00:00:00,ADA/BTC,0.00002221,0.00002289,0.00002211,0.00002288,464002.00880366,10.406060336129026
1661731200,2022-08-29 00:00:00,ADA/BTC,0.00002194,0.00002229,0.00002167,0.00002219,203814.31928662,4.4644728615112014
1661644800,2022-08-28 00:00:00,ADA/BTC,0.00002246,0.0000226,0.00002173,0.00002193,576456.6993383,12.7940743982705107
1661558400,2022-08-27 00:00:00,ADA/BTC,0.00002133,0.00002251,0.00002115,0.00002245,439631.37775281,9.6111978099762946
1661472000,2022-08-26 00:00:00,ADA/BTC,0.00002155,0.00002254,0.00002109,0.00002132,788341.98343657,17.2614511425225236
1661385600,2022-08-25 00:00:00,ADA/BTC,0.00002142,0.00002188,0.00002133,0.00002153,562724.6855057,12.1033322588596942
1661299200,2022-08-24 00:00:00,ADA/BTC,0.00002164,0.00002167,0.00002075,0.00002141,708705.20374901,15.1644573222924484
1661212800,2022-08-23 00:00:00,ADA/BTC,0.00002156,0.00002175,0.00002122,0.00002158,298259.65637246,6.4023266072989551
1661126400,2022-08-22 00:00:00,ADA/BTC,0.00002151,0.00002162,0.00002089,0.00002158,376930.75868414,7.974237989925168
1661040000,2022-08-21 00:00:00,ADA/BTC,0.00002132,0.00002184,0.00002118,0.0000215,578159.60422012,12.4720592995891472
1660953600,2022-08-20 00:00:00,ADA/BTC,0.0000216,0.0000218,0.00002071,0.00002132,604819.92447489,12.8780938281991385
1660867200,2022-08-19 00:00:00,ADA/BTC,0.00002207,0.00002211,0.00002125,0.00002163,740725.50032349,16.0465856010941524
1660780800,2022-08-18 00:00:00,ADA/BTC,0.00002306,0.0000231,0.0000219,0.00002207,464149.70724671,10.5215656677485551
1660694400,2022-08-17 00:00:00,ADA/BTC,0.00002335,0.00002418,0.00002273,0.00002306,719993.48646255,16.8617201551370761
1660608000,2022-08-16 00:00:00,ADA/BTC,0.00002283,0.00002368,0.00002281,0.00002337,468866.06946098,10.9613295905648106
